"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",13569,249308,5442.7
,"Alabama","01","2019","2019",13458,256847,5239.7
,"Alabama","01","2020","2020",16328,263668,6192.6
,"Alabama","01","2021 (provisional)","2021",16768,263668,6359.5
,"Alabama","01","2022 (provisional and partial)","2022",15145,263668,5744.0
"Total","Alabama","01",,,75268,1297159,5802.5
,"Alaska","02","2018","2018",923,21603,4272.6
,"Alaska","02","2019","2019",979,23107,4236.8
,"Alaska","02","2020","2020",1094,24379,4487.5
,"Alaska","02","2021 (provisional)","2021",1278,24379,5242.2
,"Alaska","02","2022 (provisional and partial)","2022",1086,24379,4454.7
"Total","Alaska","02",,,5360,117847,4548.3
,"Arizona","04","2018","2018",14893,389813,3820.5
,"Arizona","04","2019","2019",15418,411197,3749.5
,"Arizona","04","2020","2020",19322,434972,4442.1
,"Arizona","04","2021 (provisional)","2021",20705,434972,4760.1
,"Arizona","04","2022 (provisional and partial)","2022",18677,434972,4293.8
"Total","Arizona","04",,,89015,2105926,4226.9
,"Arkansas","05","2018","2018",8262,156799,5269.2
,"Arkansas","05","2019","2019",8445,161141,5240.8
,"Arkansas","05","2020","2020",9587,164712,5820.5
,"Arkansas","05","2021 (provisional)","2021",9828,164712,5966.8
,"Arkansas","05","2022 (provisional and partial)","2022",9589,164712,5821.7
"Total","Arkansas","05",,,45711,812076,5628.9
,"California","06","2018","2018",61739,1640026,3764.5
,"California","06","2019","2019",62369,1701599,3665.3
,"California","06","2020","2020",73450,1750249,4196.5
,"California","06","2021 (provisional)","2021",75686,1750249,4324.3
,"California","06","2022 (provisional and partial)","2022",70266,1750249,4014.6
"Total","California","06",,,343510,8592372,3997.8
,"Colorado","08","2018","2018",8708,219067,3975.0
,"Colorado","08","2019","2019",9058,230360,3932.1
,"Colorado","08","2020","2020",10903,241734,4510.3
,"Colorado","08","2021 (provisional)","2021",11183,241734,4626.2
,"Colorado","08","2022 (provisional and partial)","2022",10569,241734,4372.2
"Total","Colorado","08",,,50421,1174629,4292.5
,"Connecticut","09","2018","2018",7029,179680,3912.0
,"Connecticut","09","2019","2019",7209,186095,3873.8
,"Connecticut","09","2020","2020",8838,191658,4611.3
,"Connecticut","09","2021 (provisional)","2021",8091,191658,4221.6
,"Connecticut","09","2022 (provisional and partial)","2022",7795,191658,4067.1
"Total","Connecticut","09",,,38962,940749,4141.6
,"Delaware","10","2018","2018",2307,53055,4348.3
,"Delaware","10","2019","2019",2283,55794,4091.8
,"Delaware","10","2020","2020",2816,58528,4811.4
,"Delaware","10","2021 (provisional)","2021",2850,58528,4869.5
,"Delaware","10","2022 (provisional and partial)","2022",2834,58528,4842.1
"Total","Delaware","10",,,13090,284433,4602.1
,"District of Columbia","11","2018","2018",913,24046,3796.9
,"District of Columbia","11","2019","2019",957,24882,3846.2
,"District of Columbia","11","2020","2020",1170,25986,4502.4
,"District of Columbia","11","2021 (provisional)","2021",1106,25986,4256.1
,"District of Columbia","11","2022 (provisional and partial)","2022",1027,25986,3952.1
"Total","District of Columbia","11",,,5173,126886,4076.9
,"Florida","12","2018","2018",50628,1388750,3645.6
,"Florida","12","2019","2019",51798,1450514,3571.0
,"Florida","12","2020","2020",60965,1502209,4058.4
,"Florida","12","2021 (provisional)","2021",65643,1502209,4369.8
,"Florida","12","2022 (provisional and partial)","2022",60014,1502209,3995.0
"Total","Florida","12",,,289048,7345891,3934.8
,"Georgia","13","2018","2018",20187,418357,4825.3
,"Georgia","13","2019","2019",20400,439884,4637.6
,"Georgia","13","2020","2020",24929,459814,5421.5
,"Georgia","13","2021 (provisional)","2021",26657,459814,5797.3
,"Georgia","13","2022 (provisional and partial)","2022",23964,459814,5211.7
"Total","Georgia","13",,,116137,2237683,5190.1
,"Hawaii","15","2018","2018",2334,70990,3287.8
,"Hawaii","15","2019","2019",2392,74688,3202.7
,"Hawaii","15","2020","2020",2563,78228,3276.3
,"Hawaii","15","2021 (provisional)","2021",2746,78228,3510.3
,"Hawaii","15","2022 (provisional and partial)","2022",2927,78228,3741.6
"Total","Hawaii","15",,,12962,380362,3407.8
,"Idaho","16","2018","2018",3538,80622,4388.4
,"Idaho","16","2019","2019",3890,85030,4574.9
,"Idaho","16","2020","2020",4380,89638,4886.3
,"Idaho","16","2021 (provisional)","2021",4720,89638,5265.6
,"Idaho","16","2022 (provisional and partial)","2022",4493,89638,5012.4
"Total","Idaho","16",,,21021,434566,4837.2
,"Illinois","17","2018","2018",25838,584034,4424.1
,"Illinois","17","2019","2019",25963,600230,4325.5
,"Illinois","17","2020","2020",31661,610637,5184.9
,"Illinois","17","2021 (provisional)","2021",29580,610637,4844.1
,"Illinois","17","2022 (provisional and partial)","2022",28750,610637,4708.2
"Total","Illinois","17",,,141792,3016175,4701.1
,"Indiana","18","2018","2018",15762,308630,5107.1
,"Indiana","18","2019","2019",16045,317937,5046.6
,"Indiana","18","2020","2020",19196,325212,5902.6
,"Indiana","18","2021 (provisional)","2021",18786,325212,5776.5
,"Indiana","18","2022 (provisional and partial)","2022",17925,325212,5511.8
"Total","Indiana","18",,,87714,1602203,5474.6
,"Iowa","19","2018","2018",7263,159866,4543.2
,"Iowa","19","2019","2019",7473,162833,4589.4
,"Iowa","19","2020","2020",8730,164692,5300.8
,"Iowa","19","2021 (provisional)","2021",8483,164692,5150.8
,"Iowa","19","2022 (provisional and partial)","2022",8112,164692,4925.6
"Total","Iowa","19",,,40061,816775,4904.8
,"Kansas","20","2018","2018",6425,133848,4800.2
,"Kansas","20","2019","2019",6594,137573,4793.1
,"Kansas","20","2020","2020",7722,140371,5501.1
,"Kansas","20","2021 (provisional)","2021",7618,140371,5427.0
,"Kansas","20","2022 (provisional and partial)","2022",7377,140371,5255.4
"Total","Kansas","20",,,35736,692534,5160.2
,"Kentucky","21","2018","2018",11894,214803,5537.2
,"Kentucky","21","2019","2019",12161,220820,5507.2
,"Kentucky","21","2020","2020",13661,226031,6043.9
,"Kentucky","21","2021 (provisional)","2021",14577,226031,6449.1
,"Kentucky","21","2022 (provisional and partial)","2022",13792,226031,6101.8
"Total","Kentucky","21",,,66085,1113716,5933.7
,"Louisiana","22","2018","2018",10732,209437,5124.2
,"Louisiana","22","2019","2019",10761,216431,4972.0
,"Louisiana","22","2020","2020",13495,222201,6073.3
,"Louisiana","22","2021 (provisional)","2021",13067,222201,5880.7
,"Louisiana","22","2022 (provisional and partial)","2022",11619,222201,5229.0
"Total","Louisiana","22",,,59674,1092471,5462.3
,"Maine","23","2018","2018",3764,79213,4751.7
,"Maine","23","2019","2019",3871,82386,4698.6
,"Maine","23","2020","2020",3979,84783,4693.2
,"Maine","23","2021 (provisional)","2021",4434,84783,5229.8
,"Maine","23","2022 (provisional and partial)","2022",4265,84783,5030.5
"Total","Maine","23",,,20313,415948,4883.5
,"Maryland","24","2018","2018",11554,267281,4322.8
,"Maryland","24","2019","2019",11641,278421,4181.1
,"Maryland","24","2020","2020",13969,288312,4845.1
,"Maryland","24","2021 (provisional)","2021",13620,288312,4724.0
,"Maryland","24","2022 (provisional and partial)","2022",13095,288312,4542.0
"Total","Maryland","24",,,63879,1410638,4528.4
,"Massachusetts","25","2018","2018",13801,325419,4241.0
,"Massachusetts","25","2019","2019",13570,336504,4032.6
,"Massachusetts","25","2020","2020",16375,346191,4730.0
,"Massachusetts","25","2021 (provisional)","2021",15309,346191,4422.1
,"Massachusetts","25","2022 (provisional and partial)","2022",15085,346191,4357.4
"Total","Massachusetts","25",,,74140,1700496,4359.9
,"Michigan","26","2018","2018",23445,497916,4708.6
,"Michigan","26","2019","2019",23742,514685,4612.9
,"Michigan","26","2020","2020",28704,525966,5457.4
,"Michigan","26","2021 (provisional)","2021",28367,525966,5393.3
,"Michigan","26","2022 (provisional and partial)","2022",26354,525966,5010.6
"Total","Michigan","26",,,130612,2590499,5042.0
,"Minnesota","27","2018","2018",10576,257938,4100.2
,"Minnesota","27","2019","2019",10916,266713,4092.8
,"Minnesota","27","2020","2020",12960,273886,4731.9
,"Minnesota","27","2021 (provisional)","2021",12603,273886,4601.5
,"Minnesota","27","2022 (provisional and partial)","2022",12192,273886,4451.5
"Total","Minnesota","27",,,59247,1346309,4400.7
