"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",1271,1542498,82.4
,"Alabama","01","2019","2019",1311,1538530,85.2
,"Alabama","01","2020","2020",1326,1534925,86.4
,"Alabama","01","2021 (provisional)","2021",1477,1534925,96.2
,"Alabama","01","2022 (provisional and partial)","2022",1177,1534925,76.7
"Total","Alabama","01",,,6562,7685803,85.4
,"Alaska","02","2018","2018",194,254193,76.3
,"Alaska","02","2019","2019",213,248135,85.8
,"Alaska","02","2020","2020",224,245821,91.1
,"Alaska","02","2021 (provisional)","2021",236,245821,96.0
,"Alaska","02","2022 (provisional and partial)","2022",187,245821,76.1
"Total","Alaska","02",,,1054,1239791,85.0
,"Arizona","04","2018","2018",1555,2330053,66.7
,"Arizona","04","2019","2019",1498,2334080,64.2
,"Arizona","04","2020","2020",1731,2348087,73.7
,"Arizona","04","2021 (provisional)","2021",1816,2348087,77.3
,"Arizona","04","2022 (provisional and partial)","2022",1566,2348087,66.7
"Total","Arizona","04",,,8166,11708394,69.7
,"Arkansas","05","2018","2018",784,983758,79.7
,"Arkansas","05","2019","2019",764,979215,78.0
,"Arkansas","05","2020","2020",820,978346,83.8
,"Arkansas","05","2021 (provisional)","2021",882,978346,90.2
,"Arkansas","05","2022 (provisional and partial)","2022",776,978346,79.3
"Total","Arkansas","05",,,4026,4898011,82.2
,"California","06","2018","2018",5644,12735350,44.3
,"California","06","2019","2019",5587,12572676,44.4
,"California","06","2020","2020",6309,12395737,50.9
,"California","06","2021 (provisional)","2021",6393,12395737,51.6
,"California","06","2022 (provisional and partial)","2022",5436,12395737,43.9
"Total","California","06",,,29369,62495237,47.0
,"Colorado","08","2018","2018",1018,1792063,56.8
,"Colorado","08","2019","2019",1028,1785736,57.6
,"Colorado","08","2020","2020",1145,1777514,64.4
,"Colorado","08","2021 (provisional)","2021",1218,1777514,68.5
,"Colorado","08","2022 (provisional and partial)","2022",1074,1777514,60.4
"Total","Colorado","08",,,5483,8910341,61.5
,"Connecticut","09","2018","2018",467,1082062,43.2
,"Connecticut","09","2019","2019",446,1069513,41.7
,"Connecticut","09","2020","2020",479,1056772,45.3
,"Connecticut","09","2021 (provisional)","2021",522,1056772,49.4
,"Connecticut","09","2022 (provisional and partial)","2022",470,1056772,44.5
"Total","Connecticut","09",,,2384,5321891,44.8
,"Delaware","10","2018","2018",194,287424,67.5
,"Delaware","10","2019","2019",184,286066,64.3
,"Delaware","10","2020","2020",192,287399,66.8
,"Delaware","10","2021 (provisional)","2021",202,287399,70.3
,"Delaware","10","2022 (provisional and partial)","2022",187,287399,65.1
"Total","Delaware","10",,,959,1435687,66.8
,"District of Columbia","11","2018","2018",155,201636,76.9
,"District of Columbia","11","2019","2019",160,200734,79.7
,"District of Columbia","11","2020","2020",163,201411,80.9
,"District of Columbia","11","2021 (provisional)","2021",157,201411,78.0
,"District of Columbia","11","2022 (provisional and partial)","2022",130,201411,64.5
"Total","District of Columbia","11",,,765,1006603,76.0
,"Florida","12","2018","2018",3740,5983262,62.5
,"Florida","12","2019","2019",3718,5972697,62.2
,"Florida","12","2020","2020",3961,5992365,66.1
,"Florida","12","2021 (provisional)","2021",4213,5992365,70.3
,"Florida","12","2022 (provisional and partial)","2022",3742,5992365,62.4
"Total","Florida","12",,,19374,29933054,64.7
,"Georgia","13","2018","2018",2337,3516098,66.5
,"Georgia","13","2019","2019",2349,3519069,66.8
,"Georgia","13","2020","2020",2467,3519835,70.1
,"Georgia","13","2021 (provisional)","2021",2720,3519835,77.3
,"Georgia","13","2022 (provisional and partial)","2022",2278,3519835,64.7
"Total","Georgia","13",,,12151,17594672,69.1
,"Hawaii","15","2018","2018",232,424657,54.6
,"Hawaii","15","2019","2019",210,418742,50.2
,"Hawaii","15","2020","2020",192,412100,46.6
,"Hawaii","15","2021 (provisional)","2021",184,412100,44.6
,"Hawaii","15","2022 (provisional and partial)","2022",209,412100,50.7
"Total","Hawaii","15",,,1027,2079699,49.4
,"Idaho","16","2018","2018",392,609740,64.3
,"Idaho","16","2019","2019",343,612607,56.0
,"Idaho","16","2020","2020",361,618788,58.3
,"Idaho","16","2021 (provisional)","2021",406,618788,65.6
,"Idaho","16","2022 (provisional and partial)","2022",347,618788,56.1
"Total","Idaho","16",,,1849,3078711,60.1
,"Illinois","17","2018","2018",2466,4033576,61.1
,"Illinois","17","2019","2019",2201,3975286,55.4
,"Illinois","17","2020","2020",2494,3916396,63.7
,"Illinois","17","2021 (provisional)","2021",2559,3916396,65.3
,"Illinois","17","2022 (provisional and partial)","2022",2251,3916396,57.5
"Total","Illinois","17",,,11971,19758050,60.6
,"Indiana","18","2018","2018",1561,2224107,70.2
