GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1989;14626460;      Rietschen;14,7
1989;14626470;      Rosenbach;10,4
1989;14626480;      Rothenburg/O.L., Stadt;13,2
1989;14626490;      Schleife;13,1
1989;14626500;      Schönau-Berzdorf a. d. Eigen;9,6
1989;14626510;      Schönbach;11,6
1989;14626520;      Schöpstal;12,8
1989;14626530;      Seifhennersdorf, Stadt;16,4
1989;14626560;      Trebendorf;16,1
1989;14626570;      Vierkirchen;7,1
1989;14626580;      Waldhufen;15,5
1989;14626590;      Weißkeißel;13,9
1989;14626600;      Weißwasser/O.L., Stadt;8,4
1989;14626610;      Zittau, Stadt;14,7
1989;14627;    Meißen, Landkreis;13,4
1989;14627010;      Coswig, Stadt;13,3
1989;14627020;      Diera-Zehren;14,8
1989;14627030;      Ebersbach (Landkreis Meißen);16,8
1989;14627040;      Glaubitz;20,3
1989;14627050;      Gröditz, Stadt;12,0
1989;14627060;      Großenhain, Stadt;13,4
1989;14627070;      Hirschstein;14,2
1989;14627080;      Käbschütztal;11,8
1989;14627100;      Klipphausen;13,0
1989;14627110;      Lampertswalde;11,4
1989;14627130;      Lommatzsch, Stadt;12,1
1989;14627140;      Meißen, Stadt;15,4
1989;14627150;      Moritzburg;13,1
1989;14627170;      Niederau;13,7
1989;14627180;      Nossen, Stadt;13,9
1989;14627190;      Nünchritz;11,5
1989;14627200;      Priestewitz;13,6
1989;14627210;      Radebeul, Stadt;15,4
1989;14627220;      Radeburg, Stadt;13,7
1989;14627230;      Riesa, Stadt;11,3
1989;14627240;      Röderaue;15,2
1989;14627250;      Schönfeld;10,6
1989;14627260;      Stauchitz;13,2
1989;14627270;      Strehla, Stadt;18,0
1989;14627290;      Thiendorf;11,0
1989;14627310;      Weinböhla;12,5
1989;14627340;      Wülknitz;12,0
1989;14627360;      Zeithain;9,3
1989;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;14,0
1989;14628010;      Altenberg, Stadt;11,5
1989;14628020;      Bad Gottleuba-Berggießhübel, Stadt;20,7
1989;14628030;      Bad Schandau, Stadt;12,7
1989;14628040;      Bahretal;8,2
1989;14628050;      Bannewitz;13,4
1989;14628060;      Dippoldiswalde, Stadt;15,2
1989;14628070;      Dohma;9,8
1989;14628080;      Dohna, Stadt;18,0
1989;14628090;      Dorfhain;11,4
1989;14628100;      Dürrröhrsdorf-Dittersbach;11,5
1989;14628110;      Freital, Stadt;16,0
1989;14628130;      Glashütte, Stadt;12,3
1989;14628140;      Gohrisch;14,8
1989;14628150;      Hartmannsdorf-Reichenau;10,5
1989;14628160;      Heidenau, Stadt;12,8
1989;14628170;      Hermsdorf/Erzgeb.;11,3
1989;14628190;      Hohnstein, Stadt;10,6
1989;14628205;      Klingenberg;13,3
1989;14628210;      Königstein/Sächs. Schw., Stadt;12,7
1989;14628220;      Kreischa;17,3
1989;14628230;      Liebstadt, Stadt;12,6
1989;14628240;      Lohmen;13,6
1989;14628250;      Müglitztal;13,0
1989;14628260;      Neustadt in Sachsen, Stadt;10,3
1989;14628270;      Pirna, Stadt;13,7
1989;14628300;      Rabenau, Stadt;16,2
1989;14628310;      Rathen, Kurort;11,6
1989;14628320;      Rathmannsdorf;17,7
1989;14628330;      Reinhardtsdorf-Schöna;15,5
1989;14628340;      Rosenthal-Bielatal;23,3
1989;14628360;      Sebnitz, Stadt;14,4
1989;14628370;      Stadt Wehlen, Stadt;15,4
1989;14628380;      Stolpen, Stadt;14,0
1989;14628390;      Struppen;13,1
1989;14628400;      Tharandt, Stadt;12,9
1989;14628410;      Wilsdruff, Stadt;14,5
1989;147;  Leipzig, NUTS 2-Region;13,4
1989;14713;    Leipzig, Stadt;13,3
1989;14713000;      Leipzig, Stadt;13,3
1989;14729;    Leipzig, Landkreis;14,3
1989;14729010;      Bad Lausick, Stadt;13,0
1989;14729020;      Belgershain;12,3
1989;14729030;      Bennewitz;15,5
1989;14729040;      Böhlen, Stadt;12,4
1989;14729050;      Borna, Stadt;13,8
1989;14729060;      Borsdorf;10,5
1989;14729070;      Brandis, Stadt;30,2
1989;14729080;      Colditz, Stadt;15,5
1989;14729100;      Elstertrebnitz;13,8
1989;14729140;      Frohburg, Stadt;16,0
1989;14729150;      Geithain, Stadt;12,8
1989;14729160;      Grimma, Stadt;10,9
1989;14729170;      Groitzsch, Stadt;16,9
1989;14729190;      Großpösna;12,8
1989;14729220;      Kitzscher, Stadt;9,4
1989;14729245;      Lossatal;11,7
1989;14729250;      Machern;16,6
1989;14729260;      Markkleeberg, Stadt;14,9
1989;14729270;      Markranstädt, Stadt;20,3
1989;14729300;      Naunhof, Stadt;15,3
1989;14729320;      Neukieritzsch;13,6
1989;14729330;      Otterwisch;12,7
1989;14729340;      Parthenstein;11,0
1989;14729350;      Pegau, Stadt;14,5
1989;14729360;      Regis-Breitingen, Stadt;13,1
1989;14729370;      Rötha, Stadt;13,0
1989;14729380;      Thallwitz;19,8
1989;14729400;      Trebsen/Mulde, Stadt;13,3
1989;14729410;      Wurzen, Stadt;13,9
1989;14729430;      Zwenkau, Stadt;15,3
1989;14730;    Nordsachsen, Landkreis;12,8
1989;14730010;      Arzberg;10,8
1989;14730020;      Bad Düben, Stadt;7,2
1989;14730030;      Beilrode;14,5
1989;14730045;      Belgern-Schildau, Stadt;15,8
1989;14730050;      Cavertitz;11,5
1989;14730060;      Dahlen, Stadt;16,8
1989;14730070;      Delitzsch, Stadt;12,2
1989;14730080;      Doberschütz;10,7
1989;14730090;      Dommitzsch, Stadt;12,4
1989;14730100;      Dreiheide;11,3
1989;14730110;      Eilenburg, Stadt;13,8
1989;14730120;      Elsnig;15,0
1989;14730140;      Jesewitz;11,6
1989;14730150;      Krostitz;11,9
1989;14730160;      Laußig;7,4
1989;14730170;      Liebschützberg;16,7
1989;14730180;      Löbnitz;24,2
1989;14730190;      Mockrehna;14,0
1989;14730200;      Mügeln, Stadt;14,9
1989;14730210;      Naundorf;10,5
1989;14730230;      Oschatz, Stadt;10,3
1989;14730250;      Rackwitz;10,8
1989;14730270;      Schkeuditz, Stadt;13,1
1989;14730280;      Schönwölkau;12,4
1989;14730300;      Taucha, Stadt;15,0
1989;14730310;      Torgau, Stadt;12,1
1989;14730320;      Trossin;11,3
1989;14730330;      Wermsdorf;15,0
1989;14730340;      Wiedemar;15,7
1989;14730360;      Zschepplin;11,5
1990;14;Freistaat Sachsen;14,1
1990;145;  Chemnitz, NUTS 2-Region;14,8
1990;14511;    Chemnitz, Stadt;13,5
1990;14511000;      Chemnitz, Stadt;13,5
1990;14521;    Erzgebirgskreis;14,2
1990;14521010;      Amtsberg;13,9
1990;14521020;      Annaberg-Buchholz, Stadt;15,9
1990;14521035;      Aue-Bad Schlema, Stadt;15,6
1990;14521040;      Auerbach (Erzgebirgskreis);14,1
1990;14521060;      Bärenstein;18,9
1990;14521080;      Bockau;14,4
1990;14521090;      Börnichen/Erzgeb.;23,5
1990;14521110;      Breitenbrunn/Erzgeb.;14,2
1990;14521120;      Burkhardtsdorf;18,9
1990;14521130;      Crottendorf;17,1
1990;14521140;      Deutschneudorf;12,7
1990;14521150;      Drebach;10,2
1990;14521160;      Ehrenfriedersdorf, Stadt;12,6
1990;14521170;      Eibenstock, Stadt;14,7
1990;14521180;      Elterlein, Stadt;12,5
1990;14521200;      Gelenau/Erzgeb.;11,8
1990;14521210;      Geyer, Stadt;16,8
1990;14521220;      Gornau/Erzgeb.;15,1
1990;14521230;      Gornsdorf;15,8
1990;14521240;      Großolbersdorf;13,6
1990;14521250;      Großrückerswalde;12,6
1990;14521260;      Grünhain-Beierfeld, Stadt;12,0
1990;14521270;      Grünhainichen;12,2
1990;14521280;      Heidersdorf;15,1
1990;14521290;      Hohndorf;13,7
1990;14521310;      Jahnsdorf/Erzgeb.;19,0
1990;14521320;      Johanngeorgenstadt, Stadt;15,4
1990;14521330;      Jöhstadt, Stadt;14,7
1990;14521340;      Königswalde;22,1
1990;14521355;      Lauter-Bernsbach, Stadt;15,5
1990;14521370;      Lößnitz, Stadt;12,6
1990;14521380;      Lugau/Erzgeb., Stadt;11,3
1990;14521390;      Marienberg, Stadt;11,5
1990;14521400;      Mildenau;13,5
1990;14521410;      Neukirchen/Erzgeb.;13,9
1990;14521420;      Niederdorf;12,4
1990;14521430;      Niederwürschnitz;15,5
1990;14521440;      Oberwiesenthal, Kurort, Stadt;9,5
1990;14521450;      Oelsnitz/Erzgeb., Stadt;18,0
1990;14521460;      Olbernhau, Stadt;16,6
1990;14521495;      Pockau-Lengefeld, Stadt;15,1
1990;14521500;      Raschau-Markersbach;16,2
1990;14521510;      Scheibenberg, Stadt;13,3
1990;14521520;      Schlettau, Stadt;15,1
1990;14521530;      Schneeberg, Stadt;11,0
1990;14521540;      Schönheide;13,9
1990;14521550;      Schwarzenberg/Erzgeb., Stadt;11,2
1990;14521560;      Sehmatal;13,6
1990;14521570;      Seiffen/Erzgeb., Kurort;15,0
1990;14521590;      Stollberg/Erzgeb., Stadt;13,2
1990;14521600;      Stützengrün;15,2
1990;14521610;      Tannenberg;13,5
1990;14521620;      Thalheim/Erzgeb., Stadt;12,2
1990;14521630;      Thermalbad Wiesenbad;15,8
1990;14521640;      Thum, Stadt;14,2
1990;14521670;      Wolkenstein, Stadt;10,5
1990;14521690;      Zschopau, Stadt, Motorradstadt;17,9
1990;14521700;      Zschorlau;16,1
1990;14521710;      Zwönitz, Stadt;13,7
1990;14522;    Mittelsachsen, Landkreis;14,4
1990;14522010;      Altmittweida;12,4
1990;14522020;      Augustusburg, Stadt;19,4
1990;14522035;      Bobritzsch-Hilbersdorf;15,5
1990;14522050;      Brand-Erbisdorf, Stadt;10,6
1990;14522060;      Burgstädt, Stadt;19,4
1990;14522070;      Claußnitz;19,4
1990;14522080;      Döbeln, Stadt;16,2
1990;14522090;      Dorfchemnitz;14,7
1990;14522110;      Eppendorf;13,6
1990;14522120;      Erlau;19,8
1990;14522140;      Flöha, Stadt;15,2
1990;14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;13,0
1990;14522170;      Frauenstein, Stadt;13,1
1990;14522180;      Freiberg, Stadt, Universitätsstadt;11,7
1990;14522190;      Geringswalde, Stadt;19,5
1990;14522200;      Großhartmannsdorf;15,8
1990;14522210;      Großschirma, Stadt;11,3
1990;14522220;      Großweitzschen;20,1
1990;14522230;      Hainichen, Stadt;16,1
1990;14522240;      Halsbrücke;14,5
1990;14522250;      Hartha, Stadt;14,2
1990;14522260;      Hartmannsdorf (Landkreis Mittelsachsen);18,6
1990;14522275;      Jahnatal;13,9
1990;14522280;      Königsfeld;14,1
1990;14522290;      Königshain-Wiederau;10,9
1990;14522300;      Kriebstein;20,6
1990;14522310;      Leisnig, Stadt;16,0
1990;14522320;      Leubsdorf;13,2
1990;14522330;      Lichtenau;15,7
1990;14522340;      Lichtenberg/Erzgeb.;19,2
1990;14522350;      Lunzenau, Stadt;16,2
1990;14522360;      Mittweida, Stadt, Hochschulstadt;15,4
1990;14522380;      Mühlau;14,1
1990;14522390;      Mulda/Sa.;12,4
1990;14522400;      Neuhausen/Erzgeb.;13,6
1990;14522420;      Niederwiesa;10,8
1990;14522430;      Oberschöna;9,6
1990;14522440;      Oederan, Stadt;11,6
1990;14522460;      Penig, Stadt;11,4
1990;14522470;      Rechenberg-Bienenmühle;8,6
1990;14522480;      Reinsberg;13,8
1990;14522490;      Rochlitz, Stadt;12,0
1990;14522500;      Rossau;8,3
1990;14522510;      Roßwein, Stadt;14,2
1990;14522520;      Sayda, Stadt;18,4
1990;14522530;      Seelitz;13,5
1990;14522540;      Striegistal;13,0
1990;14522550;      Taura;20,5
1990;14522570;      Waldheim, Stadt;15,8
1990;14522580;      Wechselburg;19,3
1990;14522590;      Weißenborn/Erzgeb.;11,8
1990;14522600;      Zettlitz;11,7
1990;14523;    Vogtlandkreis;16,2
1990;14523010;      Adorf/Vogtl., Stadt;20,0
1990;14523020;      Auerbach/Vogtl., Stadt;16,7
1990;14523030;      Bad Brambach;17,8
1990;14523040;      Bad Elster, Stadt;15,3
1990;14523050;      Bergen;14,4
1990;14523060;      Bösenbrunn;13,1
1990;14523080;      Eichigt;15,1
1990;14523090;      Ellefeld;12,6
1990;14523100;      Elsterberg, Stadt;12,3
1990;14523120;      Falkenstein/Vogtl., Stadt;17,5
1990;14523130;      Grünbach;21,5
1990;14523150;      Heinsdorfergrund;15,7
1990;14523160;      Klingenthal, Stadt;19,7
1990;14523170;      Lengenfeld, Stadt;19,0
1990;14523190;      Limbach;14,4
1990;14523200;      Markneukirchen, Stadt;19,4
1990;14523230;      Mühlental;19,4
1990;14523245;      Muldenhammer;12,1
1990;14523260;      Netzschkau, Stadt;22,1
1990;14523270;      Neuensalz;14,3
1990;14523280;      Neumark;12,1
1990;14523290;      Neustadt/Vogtl.;10,4
1990;14523300;      Oelsnitz/Vogtl., Stadt;14,8
1990;14523310;      Pausa-Mühltroff, Stadt;13,8
1990;14523320;      Plauen, Stadt;15,9
1990;14523330;      Pöhl;14,4
1990;14523340;      Reichenbach im Vogtland, Stadt;15,1
1990;14523360;      Rodewisch, Stadt;12,9
1990;14523365;      Rosenbach/Vogtl.;14,8
1990;14523370;      Schöneck/Vogtl., Stadt;17,3
1990;14523380;      Steinberg;21,7
1990;14523410;      Theuma;19,6
1990;14523420;      Tirpersdorf;14,5
1990;14523430;      Treuen, Stadt;15,1
1990;14523440;      Triebel/Vogtl.;11,0
1990;14523450;      Weischlitz;17,3
1990;14523460;      Werda;16,7
1990;14524;    Zwickau, Landkreis;15,8
1990;14524010;      Bernsdorf (Landkreis Zwickau);12,5
1990;14524020;      Callenberg;10,5
1990;14524030;      Crimmitschau, Stadt;17,2
1990;14524040;      Crinitzberg;14,1
1990;14524050;      Dennheritz;15,2
1990;14524060;      Fraureuth;12,7
1990;14524070;      Gersdorf;15,0
1990;14524080;      Glauchau, Stadt;16,0
1990;14524090;      Hartenstein, Stadt;13,5
1990;14524100;      Hartmannsdorf b. Kirchberg;15,5
1990;14524110;      Hirschfeld;15,7
1990;14524120;      Hohenstein-Ernstthal, Stadt;16,3
1990;14524130;      Kirchberg, Stadt;20,1
1990;14524140;      Langenbernsdorf;18,3
1990;14524150;      Langenweißbach;12,6
1990;14524160;      Lichtenstein/Sa., Stadt;16,0
1990;14524170;      Lichtentanne;17,1
1990;14524180;      Limbach-Oberfrohna, Stadt;17,6
1990;14524190;      Meerane, Stadt;17,5
1990;14524200;      Mülsen;13,7
1990;14524210;      Neukirchen/Pleiße;15,2
1990;14524220;      Niederfrohna;24,4
1990;14524230;      Oberlungwitz, Stadt;12,7
1990;14524240;      Oberwiera;9,6
1990;14524250;      Reinsdorf;16,1
1990;14524260;      Remse;17,0
1990;14524270;      Schönberg;21,2
1990;14524280;      St. Egidien;15,1
1990;14524290;      Waldenburg, Stadt;17,7
1990;14524300;      Werdau, Stadt;17,8
1990;14524310;      Wildenfels, Stadt;23,4
1990;14524320;      Wilkau-Haßlau, Stadt;18,4
1990;14524330;      Zwickau, Stadt;14,1
1990;146;  Dresden, NUTS 2-Region;13,4
1990;14612;    Dresden, Stadt;12,9
1990;14612000;      Dresden, Stadt;12,9
1990;14625;    Bautzen, Landkreis;12,2
1990;14625010;      Arnsdorf;17,0
1990;14625020;      Bautzen, Stadt;12,7
1990;14625030;      Bernsdorf, Stadt (Landkreis Bautzen);9,2
1990;14625040;      Bischofswerda, Stadt;15,8
1990;14625060;      Burkau;13,3
1990;14625080;      Crostwitz;11,4
1990;14625090;      Cunewalde;13,8
1990;14625100;      Demitz-Thumitz;11,5
1990;14625110;      Doberschau-Gaußig;11,9
1990;14625120;      Elsterheide;11,1
1990;14625130;      Elstra, Stadt;12,6
1990;14625140;      Frankenthal;13,2
1990;14625150;      Göda;11,8
1990;14625160;      Großdubrau;8,1
1990;14625170;      Großharthau;10,6
1990;14625180;      Großnaundorf;13,6
1990;14625190;      Großpostwitz/O.L.;14,8
1990;14625200;      Großröhrsdorf, Stadt;13,1
1990;14625220;      Haselbachtal;11,2
1990;14625230;      Hochkirch;13,3
1990;14625240;      Hoyerswerda, Stadt;8,9
1990;14625250;      Kamenz, Stadt;13,9
1990;14625270;      Königsbrück, Stadt;14,8
1990;14625280;      Königswartha;14,9
1990;14625290;      Kubschütz;9,9
1990;14625300;      Laußnitz;19,1
1990;14625310;      Lauta, Stadt;14,6
1990;14625320;      Lichtenberg (Landkreis Bautzen);12,2
1990;14625330;      Lohsa;12,0
1990;14625340;      Malschwitz;11,2
1990;14625350;      Nebelschütz;8,5
1990;14625360;      Neschwitz;11,1
1990;14625370;      Neukirch;11,4
1990;14625380;      Neukirch/Lausitz;11,9
1990;14625390;      Obergurig;12,9
1990;14625410;      Ohorn;17,2
1990;14625420;      Oßling;11,4
1990;14625430;      Ottendorf-Okrilla;13,0
1990;14625440;      Panschwitz-Kuckau;14,0
1990;14625450;      Pulsnitz, Stadt;12,3
1990;14625460;      Puschwitz;9,2
1990;14625470;      Räckelwitz;8,9
1990;14625480;      Radeberg, Stadt;13,1
1990;14625490;      Radibor;7,2
1990;14625500;      Ralbitz-Rosenthal;9,3
1990;14625510;      Rammenau;12,4
1990;14625525;      Schirgiswalde-Kirschau, Stadt;18,1
1990;14625530;      Schmölln-Putzkau;15,8
1990;14625550;      Schwepnitz;14,1
1990;14625560;      Sohland a. d. Spree;13,7
1990;14625570;      Spreetal;9,5
1990;14625580;      Steina;11,4
1990;14625590;      Steinigtwolmsdorf;8,1
1990;14625600;      Wachau;15,3
1990;14625610;      Weißenberg, Stadt;15,6
1990;14625630;      Wilthen, Stadt;9,5
1990;14625640;      Wittichenau, Stadt;12,6
1990;14626;    Görlitz, Landkreis;13,9
1990;14626010;      Bad Muskau, Stadt;8,4
1990;14626020;      Beiersdorf;14,7
1990;14626030;      Bernstadt a. d. Eigen, Stadt;16,0
1990;14626050;      Bertsdorf-Hörnitz;17,0
1990;14626060;      Boxberg/O.L.;11,2
1990;14626070;      Dürrhennersdorf;19,1
1990;14626085;      Ebersbach-Neugersdorf, Stadt;15,1
1990;14626100;      Gablenz;12,0
1990;14626110;      Görlitz, Stadt;14,3
1990;14626120;      Groß Düben;10,4
1990;14626140;      Großschönau;16,4
1990;14626150;      Großschweidnitz;11,8
1990;14626160;      Hähnichen;14,0
1990;14626170;      Hainewalde;14,0
1990;14626180;      Herrnhut, Stadt;12,9
1990;14626190;      Hohendubrau;12,2
1990;14626200;      Horka;18,6
1990;14626210;      Jonsdorf, Kurort;12,9
1990;14626230;      Kodersdorf;9,6
1990;14626240;      Königshain;13,9
1990;14626245;      Kottmar;20,5
1990;14626250;      Krauschwitz i.d. O.L.;12,6
1990;14626260;      Kreba-Neudorf;14,6
1990;14626270;      Lawalde;16,3
1990;14626280;      Leutersdorf;16,0
1990;14626290;      Löbau, Stadt;11,5
1990;14626300;      Markersdorf;13,5
1990;14626310;      Mittelherwigsdorf;16,4
1990;14626320;      Mücka;9,6
1990;14626330;      Neißeaue;12,7
1990;14626350;      Neusalza-Spremberg, Stadt;18,4
1990;14626370;      Niesky, Stadt;11,3
1990;14626390;      Oderwitz;20,5
1990;14626400;      Olbersdorf;12,6
1990;14626410;      Oppach;13,2
1990;14626420;      Ostritz, Stadt;21,2
1990;14626430;      Oybin;16,7
1990;14626440;      Quitzdorf am See;18,6
1990;14626450;      Reichenbach/O.L., Stadt;15,9
1990;14626460;      Rietschen;11,9
1990;14626470;      Rosenbach;13,8
1990;14626480;      Rothenburg/O.L., Stadt;14,8
1990;14626490;      Schleife;11,2
1990;14626500;      Schönau-Berzdorf a. d. Eigen;8,8
1990;14626510;      Schönbach;12,1
1990;14626520;      Schöpstal;10,7
1990;14626530;      Seifhennersdorf, Stadt;15,0
1990;14626560;      Trebendorf;16,6
1990;14626570;      Vierkirchen;18,9
1990;14626580;      Waldhufen;11,0
1990;14626590;      Weißkeißel;15,3
1990;14626600;      Weißwasser/O.L., Stadt;9,6
1990;14626610;      Zittau, Stadt;15,4
1990;14627;    Meißen, Landkreis;13,8
1990;14627010;      Coswig, Stadt;14,9
1990;14627020;      Diera-Zehren;16,0
1990;14627030;      Ebersbach (Landkreis Meißen);16,3
1990;14627040;      Glaubitz;17,8
1990;14627050;      Gröditz, Stadt;11,5
1990;14627060;      Großenhain, Stadt;11,6
1990;14627070;      Hirschstein;13,5
1990;14627080;      Käbschütztal;14,5
1990;14627100;      Klipphausen;15,4
1990;14627110;      Lampertswalde;11,6
1990;14627130;      Lommatzsch, Stadt;14,8
1990;14627140;      Meißen, Stadt;16,7
1990;14627150;      Moritzburg;16,2
1990;14627170;      Niederau;13,7
1990;14627180;      Nossen, Stadt;15,2
1990;14627190;      Nünchritz;11,4
1990;14627200;      Priestewitz;9,0
1990;14627210;      Radebeul, Stadt;16,5
1990;14627220;      Radeburg, Stadt;10,0
1990;14627230;      Riesa, Stadt;11,6
1990;14627240;      Röderaue;13,6
1990;14627250;      Schönfeld;9,7
1990;14627260;      Stauchitz;11,5
1990;14627270;      Strehla, Stadt;21,3
1990;14627290;      Thiendorf;11,0
1990;14627310;      Weinböhla;13,5
1990;14627340;      Wülknitz;10,8
1990;14627360;      Zeithain;9,4
1990;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;14,4
1990;14628010;      Altenberg, Stadt;12,3
1990;14628020;      Bad Gottleuba-Berggießhübel, Stadt;19,2
1990;14628030;      Bad Schandau, Stadt;13,3
1990;14628040;      Bahretal;9,9
1990;14628050;      Bannewitz;15,4
1990;14628060;      Dippoldiswalde, Stadt;16,6
1990;14628070;      Dohma;15,4
1990;14628080;      Dohna, Stadt;17,6
1990;14628090;      Dorfhain;17,5
1990;14628100;      Dürrröhrsdorf-Dittersbach;9,5
1990;14628110;      Freital, Stadt;16,1
1990;14628130;      Glashütte, Stadt;9,9
1990;14628140;      Gohrisch;12,9
1990;14628150;      Hartmannsdorf-Reichenau;9,4
1990;14628160;      Heidenau, Stadt;13,4
1990;14628170;      Hermsdorf/Erzgeb.;10,0
1990;14628190;      Hohnstein, Stadt;10,9
1990;14628205;      Klingenberg;14,8
1990;14628210;      Königstein/Sächs. Schw., Stadt;14,9
1990;14628220;      Kreischa;17,3
1990;14628230;      Liebstadt, Stadt;11,1
1990;14628240;      Lohmen;14,0
1990;14628250;      Müglitztal;17,5
1990;14628260;      Neustadt in Sachsen, Stadt;11,0
1990;14628270;      Pirna, Stadt;13,8
1990;14628300;      Rabenau, Stadt;17,1
1990;14628310;      Rathen, Kurort;17,5
1990;14628320;      Rathmannsdorf;14,0
1990;14628330;      Reinhardtsdorf-Schöna;20,3
1990;14628340;      Rosenthal-Bielatal;23,0
1990;14628360;      Sebnitz, Stadt;13,6
1990;14628370;      Stadt Wehlen, Stadt;20,4
1990;14628380;      Stolpen, Stadt;14,3
1990;14628390;      Struppen;12,7
1990;14628400;      Tharandt, Stadt;14,3
1990;14628410;      Wilsdruff, Stadt;17,9
1990;147;  Leipzig, NUTS 2-Region;14,3
1990;14713;    Leipzig, Stadt;14,2
1990;14713000;      Leipzig, Stadt;14,2
1990;14729;    Leipzig, Landkreis;15,1
1990;14729010;      Bad Lausick, Stadt;15,9
1990;14729020;      Belgershain;12,4
1990;14729030;      Bennewitz;15,6
1990;14729040;      Böhlen, Stadt;13,4
1990;14729050;      Borna, Stadt;13,5
1990;14729060;      Borsdorf;17,2
1990;14729070;      Brandis, Stadt;29,1
1990;14729080;      Colditz, Stadt;17,0
1990;14729100;      Elstertrebnitz;22,4
1990;14729140;      Frohburg, Stadt;14,7
1990;14729150;      Geithain, Stadt;11,8
1990;14729160;      Grimma, Stadt;12,9
1990;14729170;      Groitzsch, Stadt;14,1
1990;14729190;      Großpösna;14,1
1990;14729220;      Kitzscher, Stadt;10,4
1990;14729245;      Lossatal;11,9
1990;14729250;      Machern;17,3
1990;14729260;      Markkleeberg, Stadt;15,3
1990;14729270;      Markranstädt, Stadt;25,8
1990;14729300;      Naunhof, Stadt;17,2
1990;14729320;      Neukieritzsch;14,1
1990;14729330;      Otterwisch;14,5
1990;14729340;      Parthenstein;9,5
1990;14729350;      Pegau, Stadt;16,9
1990;14729360;      Regis-Breitingen, Stadt;16,8
1990;14729370;      Rötha, Stadt;16,2
1990;14729380;      Thallwitz;15,3
1990;14729400;      Trebsen/Mulde, Stadt;17,1
1990;14729410;      Wurzen, Stadt;12,3
1990;14729430;      Zwenkau, Stadt;15,0
1990;14730;    Nordsachsen, Landkreis;13,4
1990;14730010;      Arzberg;9,6
1990;14730020;      Bad Düben, Stadt;10,5
1990;14730030;      Beilrode;11,7
1990;14730045;      Belgern-Schildau, Stadt;17,8
1990;14730050;      Cavertitz;5,6
1990;14730060;      Dahlen, Stadt;19,6
1990;14730070;      Delitzsch, Stadt;11,8
1990;14730080;      Doberschütz;12,6
1990;14730090;      Dommitzsch, Stadt;13,7
1990;14730100;      Dreiheide;12,9
1990;14730110;      Eilenburg, Stadt;14,2
1990;14730120;      Elsnig;9,7
1990;14730140;      Jesewitz;15,1
1990;14730150;      Krostitz;12,7
1990;14730160;      Laußig;9,5
1990;14730170;      Liebschützberg;11,6
1990;14730180;      Löbnitz;26,9
1990;14730190;      Mockrehna;9,8
1990;14730200;      Mügeln, Stadt;16,3
1990;14730210;      Naundorf;13,1
1990;14730230;      Oschatz, Stadt;11,5
1990;14730250;      Rackwitz;11,1
1990;14730270;      Schkeuditz, Stadt;15,1
1990;14730280;      Schönwölkau;11,7
1990;14730300;      Taucha, Stadt;19,5
1990;14730310;      Torgau, Stadt;11,6
1990;14730320;      Trossin;20,9
1990;14730330;      Wermsdorf;14,1
1990;14730340;      Wiedemar;13,7
1990;14730360;      Zschepplin;10,6
1991;14;Freistaat Sachsen;13,9
1991;145;  Chemnitz, NUTS 2-Region;14,6
1991;14511;    Chemnitz, Stadt;13,5
1991;14511000;      Chemnitz, Stadt;13,5
1991;14521;    Erzgebirgskreis;14,2
1991;14521010;      Amtsberg;15,8
1991;14521020;      Annaberg-Buchholz, Stadt;15,5
1991;14521035;      Aue-Bad Schlema, Stadt;15,1
1991;14521040;      Auerbach (Erzgebirgskreis);13,9
1991;14521060;      Bärenstein;17,4
1991;14521080;      Bockau;18,2
1991;14521090;      Börnichen/Erzgeb.;16,6
1991;14521110;      Breitenbrunn/Erzgeb.;13,6
1991;14521120;      Burkhardtsdorf;18,4
1991;14521130;      Crottendorf;12,4
1991;14521140;      Deutschneudorf;14,1
1991;14521150;      Drebach;13,5
1991;14521160;      Ehrenfriedersdorf, Stadt;11,6
1991;14521170;      Eibenstock, Stadt;13,8
1991;14521180;      Elterlein, Stadt;14,4
1991;14521200;      Gelenau/Erzgeb.;14,8
1991;14521210;      Geyer, Stadt;14,0
1991;14521220;      Gornau/Erzgeb.;13,1
1991;14521230;      Gornsdorf;14,9
1991;14521240;      Großolbersdorf;10,2
1991;14521250;      Großrückerswalde;16,5
1991;14521260;      Grünhain-Beierfeld, Stadt;13,0
1991;14521270;      Grünhainichen;12,8
1991;14521280;      Heidersdorf;18,1
1991;14521290;      Hohndorf;14,1
1991;14521310;      Jahnsdorf/Erzgeb.;15,9
1991;14521320;      Johanngeorgenstadt, Stadt;15,1
1991;14521330;      Jöhstadt, Stadt;13,0
1991;14521340;      Königswalde;12,5
1991;14521355;      Lauter-Bernsbach, Stadt;14,7
1991;14521370;      Lößnitz, Stadt;13,8
1991;14521380;      Lugau/Erzgeb., Stadt;11,4
1991;14521390;      Marienberg, Stadt;13,1
1991;14521400;      Mildenau;10,3
1991;14521410;      Neukirchen/Erzgeb.;15,0
1991;14521420;      Niederdorf;12,6
