GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1983;14522580;      Wechselburg;17,2
1983;14522590;      Weißenborn/Erzgeb.;14,8
1983;14522600;      Zettlitz;9,6
1983;14523;    Vogtlandkreis;16,8
1983;14523010;      Adorf/Vogtl., Stadt;15,3
1983;14523020;      Auerbach/Vogtl., Stadt;19,0
1983;14523030;      Bad Brambach;16,3
1983;14523040;      Bad Elster, Stadt;19,0
1983;14523050;      Bergen;15,7
1983;14523060;      Bösenbrunn;22,6
1983;14523080;      Eichigt;19,0
1983;14523090;      Ellefeld;16,7
1983;14523100;      Elsterberg, Stadt;17,3
1983;14523120;      Falkenstein/Vogtl., Stadt;16,8
1983;14523130;      Grünbach;20,0
1983;14523150;      Heinsdorfergrund;11,7
1983;14523160;      Klingenthal, Stadt;19,2
1983;14523170;      Lengenfeld, Stadt;18,3
1983;14523190;      Limbach;19,9
1983;14523200;      Markneukirchen, Stadt;16,7
1983;14523230;      Mühlental;23,0
1983;14523245;      Muldenhammer;14,2
1983;14523260;      Netzschkau, Stadt;17,9
1983;14523270;      Neuensalz;10,1
1983;14523280;      Neumark;16,4
1983;14523290;      Neustadt/Vogtl.;11,5
1983;14523300;      Oelsnitz/Vogtl., Stadt;16,8
1983;14523310;      Pausa-Mühltroff, Stadt;14,2
1983;14523320;      Plauen, Stadt;16,0
1983;14523330;      Pöhl;11,9
1983;14523340;      Reichenbach im Vogtland, Stadt;17,8
1983;14523360;      Rodewisch, Stadt;16,2
1983;14523365;      Rosenbach/Vogtl.;10,6
1983;14523370;      Schöneck/Vogtl., Stadt;19,4
1983;14523380;      Steinberg;21,3
1983;14523410;      Theuma;13,6
1983;14523420;      Tirpersdorf;17,2
1983;14523430;      Treuen, Stadt;16,9
1983;14523440;      Triebel/Vogtl.;15,8
1983;14523450;      Weischlitz;14,3
1983;14523460;      Werda;14,8
1983;14524;    Zwickau, Landkreis;16,7
1983;14524010;      Bernsdorf (Landkreis Zwickau);12,3
1983;14524020;      Callenberg;15,9
1983;14524030;      Crimmitschau, Stadt;18,5
1983;14524040;      Crinitzberg;12,9
1983;14524050;      Dennheritz;12,9
1983;14524060;      Fraureuth;14,6
1983;14524070;      Gersdorf;18,9
1983;14524080;      Glauchau, Stadt;14,6
1983;14524090;      Hartenstein, Stadt;16,6
1983;14524100;      Hartmannsdorf b. Kirchberg;13,5
1983;14524110;      Hirschfeld;15,2
1983;14524120;      Hohenstein-Ernstthal, Stadt;13,5
1983;14524130;      Kirchberg, Stadt;23,5
1983;14524140;      Langenbernsdorf;14,4
1983;14524150;      Langenweißbach;13,8
1983;14524160;      Lichtenstein/Sa., Stadt;18,8
1983;14524170;      Lichtentanne;17,8
1983;14524180;      Limbach-Oberfrohna, Stadt;17,7
1983;14524190;      Meerane, Stadt;17,8
1983;14524200;      Mülsen;14,1
1983;14524210;      Neukirchen/Pleiße;15,3
1983;14524220;      Niederfrohna;12,9
1983;14524230;      Oberlungwitz, Stadt;19,6
1983;14524240;      Oberwiera;15,5
1983;14524250;      Reinsdorf;17,9
1983;14524260;      Remse;23,1
1983;14524270;      Schönberg;14,4
1983;14524280;      St. Egidien;13,1
1983;14524290;      Waldenburg, Stadt;14,1
1983;14524300;      Werdau, Stadt;19,9
1983;14524310;      Wildenfels, Stadt;14,7
1983;14524320;      Wilkau-Haßlau, Stadt;19,8
1983;14524330;      Zwickau, Stadt;15,8
1983;146;  Dresden, NUTS 2-Region;14,0
1983;14612;    Dresden, Stadt;14,4
1983;14612000;      Dresden, Stadt;14,4
1983;14625;    Bautzen, Landkreis;12,5
1983;14625010;      Arnsdorf;16,7
1983;14625020;      Bautzen, Stadt;13,0
1983;14625030;      Bernsdorf, Stadt (Landkreis Bautzen);12,7
1983;14625040;      Bischofswerda, Stadt;14,3
1983;14625060;      Burkau;10,3
1983;14625080;      Crostwitz;5,9
1983;14625090;      Cunewalde;15,5
1983;14625100;      Demitz-Thumitz;11,6
1983;14625110;      Doberschau-Gaußig;15,0
1983;14625120;      Elsterheide;13,5
1983;14625130;      Elstra, Stadt;13,0
1983;14625140;      Frankenthal;18,6
1983;14625150;      Göda;15,4
1983;14625160;      Großdubrau;10,6
1983;14625170;      Großharthau;15,6
1983;14625180;      Großnaundorf;6,2
1983;14625190;      Großpostwitz/O.L.;13,9
1983;14625200;      Großröhrsdorf, Stadt;13,6
1983;14625220;      Haselbachtal;10,7
1983;14625230;      Hochkirch;12,7
1983;14625240;      Hoyerswerda, Stadt;6,7
1983;14625250;      Kamenz, Stadt;13,7
1983;14625270;      Königsbrück, Stadt;17,5
1983;14625280;      Königswartha;30,5
1983;14625290;      Kubschütz;13,4
1983;14625300;      Laußnitz;10,1
1983;14625310;      Lauta, Stadt;14,7
1983;14625320;      Lichtenberg (Landkreis Bautzen);20,7
