group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
65P;2021-33;53134.41;55737.49;54430.76;57054.5;59738
65P;2021-34;53412.54;56015.31;54708.77;57332.1;58553
65P;2021-35;53759.15;56362.05;55055.47;57678.81;59200
65P;2021-36;54170.28;56774.44;55467.27;58091.72;62320
65P;2021-37;54641.16;57248.46;55939.74;58567.22;59462
65P;2021-38;55166.07;57779.29;56467.64;59100.95;58796
65P;2021-39;55738.47;58361.27;57044.85;59687.67;60253
65P;2021-40;56351.05;58987.88;57664.44;60321.29;60503
65P;2021-41;56995.73;59651.75;58318.7;60994.81;62587
65P;2021-42;57663.78;60344.68;58999.15;61700.29;64258
65P;2021-43;58345.96;61057.65;59696.67;62428.81;66650
65P;2021-44;59032.56;61780.87;60401.51;63170.58;66684
65P;2021-45;59713.61;62503.94;61103.47;63914.95;69313
65P;2021-46;60379.04;63215.97;61792.08;64650.63;70700
65P;2021-47;61018.79;63905.75;62456.71;65365.83;73250
65P;2021-48;61622.98;64561.98;63086.77;66048.51;76819
65P;2021-49;62182.18;65173.56;63672.02;66686.73;76720
65P;2021-50;62687.49;65729.79;64202.63;67268.87;74725
65P;2021-51;63130.76;66220.71;64669.58;67784.04;75045
65P;2021-52;63504.8;66637.34;65064.79;68222.37;75365
65P;2022-01;63803.46;66971.96;65381.32;68575.31;73080
65P;2022-02;64021.88;67218.33;65613.62;68835.91;72633
65P;2022-03;64156.48;67371.85;65757.62;68999.09;72947
65P;2022-04;64205.2;67429.76;65810.89;69061.68;74958
65P;2022-05;64167.38;67391.15;65772.68;69022.68;75622
65P;2022-06;64043.95;67257.06;65643.95;68883.17;72784
65P;2022-07;63837.24;67030.39;65427.32;68646.33;72105
65P;2022-08;63551.05;66715.83;65127.03;68317.34;68665
65P;2022-09;63190.46;66319.73;64748.79;67903.17;68308.49
65P;2022-10;62761.74;65849.87;64299.62;67412.37;68912.99
65P;2022-11;62272.21;65315.25;63787.68;66854.82;68945.36
65P;2022-12;61730.05;64725.86;63222.04;66241.42;68999.77
65P;2022-13;61144.15;64092.37;62612.48;65583.75;69442.54
65P;2022-14;60523.91;63425.87;61969.23;64893.75;69986.37
65P;2022-15;59879.09;62737.6;61302.79;64183.43;68290.54
65P;2022-16;59219.59;62038.72;60623.69;63464.58;65373.53
65P;2022-17;58555.39;61340.08;59942.34;62748.51;64124.94
65P;2022-18;57896.27;60652.03;59268.81;62045.85;62924.62
65P;2022-19;57251.78;59984.33;58612.75;61366.45;62353.8
65P;2022-20;56631.03;59345.96;57983.2;60719.23;61244.91
65P;2022-21;56042.6;58745.16;57388.57;60112.26;57786.06
65P;2022-22;55494.54;58189.18;56836.54;59552.39;59678.52
65P;2022-23;54994.08;57684.67;56334.02;59045.95;59036.06
65P;2022-24;54547.74;57237.28;55887.12;58598.15;61836.81
65P;2022-25;54161.24;56851.89;55501.13;58213.44;61028.76
65P;2022-26;53839.44;56532.6;55180.54;57895.51;60760.84
65P;2022-27;53586.36;56282.7;54929.02;57647.33;61887.78
65P;2022-28;53405.18;56104.81;54749.45;57471.17;65182.76
65P;2022-29;53298.15;56000.76;54643.88;57368.68;70018.8
65P;2022-30;53266.74;55971.73;54613.65;57340.88;65841.98
65P;2022-31;53311.5;56018.16;54659.24;57388.15;64200.28
65P;2022-32;53432.12;56139.8;54780.39;57510.28;64842.53
65P;2022-33;53627.47;56335.73;54976.04;57706.45;62514.3
65P;2022-34;53895.49;56604.27;55244.35;57975.17;59968.03
65P;2022-35;54233.26;56943.02;55582.64;58314.33;58194.81
65P;2022-36;54636.96;57348.84;55987.43;58721.11;58917.59
65P;2022-37;55101.91;57817.78;56454.4;59191.96;58597.61
65P;2022-38;55622.52;58345.09;56978.38;59722.55;60373.5
65P;2022-39;56192.36;58925.18;57553.37;60307.73;64236.04
65P;2022-40;56804.17;59551.61;58172.48;60941.47;65651.62
65P;2022-41;57449.96;60217.08;58828.09;61616.82;66557.03
65P;2022-42;58121.02;60913.39;59511.75;62325.87;67146.9
65P;2022-43;58808.11;61631.58;60214.33;63059.78;66091.2
65P;2022-44;59501.52;62361.88;60926.1;63808.76;63380.69
65P;2022-45;60191.2;63093.88;61636.85;64562.21;65050.52
65P;2022-46;60866.98;63816.63;62335.99;65308.81;66520.18
65P;2022-47;61518.67;64518.88;63012.82;66036.74;68535.14
65P;2022-48;62136.23;65189.19;63656.61;66733.88;70655.32
65P;2022-49;62710.03;65816.32;64256.92;67388.14;75976.5
65P;2022-50;63230.93;66389.37;64803.74;67987.74;81974.1
65P;2022-51;63690.56;66898.15;65287.79;68521.54;88901.28
65P;2022-52;64081.44;67333.4;65700.71;68979.39;87679.48
65P;2023-01;64397.13;67687.07;66035.27;69352.41;83597.75
65P;2023-02;64632.48;67952.59;66285.61;69633.32;77181.59
65P;2023-03;64783.63;68125.02;66447.33;69816.6;72792.96
65P;2023-04;64848.22;68201.22;66517.68;69898.73;70631.4
65P;2023-05;64825.31;68179.95;66495.58;69878.32;70348.22
65P;2023-06;64715.56;68061.91;66381.7;69756.06;67730.67
65P;2023-07;64521.08;67849.67;66178.4;69534.78;60864.63
85P;2017-09;28831.86;30495.15;29659.62;31338.39;32175
85P;2017-10;28597;30233.91;29411.66;31063.68;30301
85P;2017-11;28326.35;29934.36;29126.66;30749.4;28856
85P;2017-12;28024.69;29602.39;28809.94;30401.98;27817
85P;2017-13;27697.23;29244.28;28467.25;30028.25;27733
85P;2017-14;27349.44;28866.54;28104.58;29635.26;26923
85P;2017-15;26987.01;28475.75;27728.05;29230.06;26844
85P;2017-16;26615.66;28078.43;27343.79;28819.54;26210
85P;2017-17;26241.13;27680.85;26957.79;28410.27;27394
85P;2017-18;25869.01;27288.97;26575.83;28008.38;26909
85P;2017-19;25504.72;26908.32;26203.39;27619.46;26404
85P;2017-20;25153.39;26543.97;25845.57;27248.56;26265
85P;2017-21;24819.81;26200.53;25507.06;26900.17;25824
85P;2017-22;24508.42;25882.04;25192.11;26578.16;25128
85P;2017-23;24223.22;25592.1;24904.53;26285.9;24172
85P;2017-24;23967.76;25333.8;24647.63;26026.23;25205
85P;2017-25;23745.17;25109.76;24424.29;25801.53;25963
85P;2017-26;23558.07;24922.2;24236.93;25613.81;24325
85P;2017-27;23408.64;24772.91;24087.56;25464.64;24966
85P;2017-28;23298.63;24663.3;23977.73;25355.28;23982
85P;2017-29;23229.3;24594.42;23908.61;25286.66;24445
85P;2017-30;23201.55;24566.92;23880.98;25259.3;24149
85P;2017-31;23215.76;24581.2;23895.23;25273.62;25268
85P;2017-32;23271.95;24637.25;23951.35;25329.57;24927
85P;2017-33;23369.67;24734.72;24048.97;25426.88;24650
85P;2017-34;23508.06;24872.93;24187.29;25564.93;24879
85P;2017-35;23685.79;25050.82;24365.12;25742.83;24372
85P;2017-36;23901.09;25266.93;24580.85;25959.27;23596
85P;2017-37;24151.69;25519.41;24832.41;26212.62;24356
85P;2017-38;24434.85;25805.95;25117.28;26500.81;25235
85P;2017-39;24747.33;26123.82;25432.47;26821.32;26053
85P;2017-40;25085.45;26469.69;25774.47;27171.05;26254
85P;2017-41;25444.92;26839.91;26139.32;27546.66;26903
85P;2017-42;25821.23;27230.08;26522.53;27943.8;26421
85P;2017-43;26209.35;27635.34;26919.2;28357.72;26321
85P;2017-44;26603.76;28050.52;27323.95;28783.41;26543
85P;2017-45;26999.27;28469.37;27731.07;29214.11;27283
85P;2017-46;27389.18;28886.55;28134.55;29645.15;28264
85P;2017-47;27768.39;29294.73;28528.16;30068.06;28783
85P;2017-48;28130.71;29687.49;28905.61;30476.29;28799
85P;2017-49;28470.38;30058.06;29260.63;30862.61;30517
85P;2017-50;28781.85;30399.85;29587.16;31219.85;31593
85P;2017-51;29059.91;30706.59;29879.47;31541.21;32446
85P;2017-52;29299.87;30972.46;30132.3;31820.29;34229
85P;2018-01;29497.62;31192.33;30341.03;32051.44;37136
85P;2018-02;29649.76;31361.89;30501.82;32229.9;36178
85P;2018-03;29753.67;31477.84;30611.71;32351.99;35839
85P;2018-04;29807.61;31537.93;30668.7;32415.21;34775
85P;2018-05;29810.76;31541.08;30671.85;32418.36;34115
85P;2018-06;29763.23;31487.39;30621.26;32361.53;34188
85P;2018-07;29666.05;31378.18;30518.11;32246.19;35682
85P;2018-08;29521.17;31215.9;30364.59;32075.02;36726
85P;2018-09;29331.36;31004.03;30163.83;31851.9;38990
85P;2018-10;29100.17;30747.03;29919.82;31581.72;39563
85P;2018-11;28831.81;30450.12;29637.28;31270.26;36269
85P;2018-12;28531.02;30119.17;29321.51;30923.93;34235
85P;2018-13;28203;29760.48;28978.25;30549.62;32725
85P;2018-14;27853.28;29380.64;28613.56;30154.45;31196
85P;2018-15;27487.59;28986.34;28233.65;29745.6;29826
85P;2018-16;27111.74;28584.19;27844.72;29330.1;28233
85P;2018-17;26731.55;28180.63;27452.9;28914.68;26654
85P;2018-18;26352.75;27781.75;27064.1;28505.63;25978
85P;2018-19;25980.86;27393.26;26683.95;28108.75;26075
85P;2018-20;25621.17;27020.39;26317.68;27729.25;25331
85P;2018-21;25278.61;26667.9;25970.16;27371.78;25696
85P;2018-22;24957.77;26339.98;25645.77;27040.35;25680
85P;2018-23;24662.79;26040.38;25348.46;26738.48;24631
85P;2018-24;24397.39;25772.31;25081.71;26469.13;24172
85P;2018-25;24164.8;25538.52;24848.5;26234.81;24699
85P;2018-26;23967.79;25341.35;24651.38;26037.63;25522
85P;2018-27;23808.68;25182.67;24492.46;25879.25;25803
85P;2018-28;23689.31;25064;24373.42;25760.98;24674
85P;2018-29;23611.05;24986.47;24295.51;25683.85;25545
85P;2018-30;23574.88;24950.83;24259.6;25648.5;26669
85P;2018-31;23581.3;24957.52;24266.15;25655.32;28103
85P;2018-32;23630.38;25006.6;24315.24;25704.38;26953
85P;2018-33;23721.76;25097.8;24406.55;25795.46;24922
85P;2018-34;23854.64;25230.49;24539.35;25927.99;24962
85P;2018-35;24027.77;25403.67;24712.53;26101.13;24265
85P;2018-36;24239.39;25615.96;24924.51;26313.69;24673
85P;2018-37;24487.36;25865.51;25173.29;26563.97;24510
85P;2018-38;24768.92;26150.13;25456.4;26850.06;25477
85P;2018-39;25080.9;26467.08;25770.89;27169.44;24894
85P;2018-40;25419.61;26813.17;26113.29;27519.19;26194
85P;2018-41;25780.88;27184.67;26479.67;27895.81;26941
85P;2018-42;26160.11;27577.3;26865.59;28295.19;25985
85P;2018-43;26552.23;27986.28;27266.11;28712.68;26240
85P;2018-44;26951.87;28406.29;27675.89;29143;27241
85P;2018-45;27353.35;28831.5;28089.19;29580.25;27829
85P;2018-46;27750.8;29255.69;28499.93;30018.02;27304
85P;2018-47;28138.21;29672.29;28901.86;30449.45;27881
85P;2018-48;28509.58;30074.51;29288.56;30867.37;28275
85P;2018-49;28859.01;30455.53;29653.69;31264.47;28916
85P;2018-50;29180.84;30808.56;29991.02;31633.41;28875
85P;2018-51;29469.7;31127.19;30294.66;31967.2;30417
85P;2018-52;29720.73;31405.39;30559.19;32259.26;30398
85P;2019-01;29929.64;31637.82;30779.78;32503.69;32630
85P;2019-02;30092.83;31819.96;30952.38;32695.5;34276
85P;2019-03;30207.5;31948.23;31073.8;32830.7;34489
85P;2019-04;30271.72;32020.14;31141.84;32906.55;34795
85P;2019-05;30284.46;32034.39;31155.33;32921.56;34939
85P;2019-06;30245.67;31990.85;31114.18;32875.6;35008
85P;2019-07;30156.22;31890.63;31019.39;32769.88;33764
85P;2019-08;30017.92;31736;30872.97;32606.92;33897
85P;2019-09;29833.43;31530.31;30677.96;32390.42;33543
85P;2019-10;29606.2;31277.91;30438.23;32125.18;32020
85P;2019-11;29340.37;30983.99;30158.45;31816.93;31193
85P;2019-12;29040.71;30654.33;29843.89;31471.98;29836
85P;2019-13;28712.39;30295.33;29500.32;31097.35;28973
85P;2019-14;28360.96;29913.6;29133.83;30700.2;29434
85P;2019-15;27992.2;29515.92;28750.69;30287.82;28409
85P;2019-16;27612.02;29109.03;28357.23;29867.36;28758
85P;2019-17;27226.33;28699.5;27959.68;29445.73;28618
85P;2019-18;26840.97;28293.59;27564.09;29029.42;27675
85P;2019-19;26461.6;27897.16;27176.22;28624.37;27204
85P;2019-20;26093.63;27515.62;26801.48;28236;27205
85P;2019-21;25742.15;27153.88;26444.87;27869.1;26889
85P;2019-22;25411.88;26816.3;26110.94;27527.9;26616
85P;2019-23;25107.12;26506.78;25803.78;27216.04;26203
85P;2019-24;24831.73;26228.65;25527;26936.61;25911
85P;2019-25;24589.05;25984.85;25283.74;26692.33;25710
85P;2019-26;24382.05;25777.76;25076.67;26485.27;26879
85P;2019-27;24213.12;25609.41;24908;26317.28;25988
85P;2019-28;24084.21;25481.41;24779.53;26189.79;25570
85P;2019-29;23996.85;25394.95;24692.6;26103.83;25334
85P;2019-30;23952.04;25350.91;24648.17;26060.21;28319
85P;2019-31;23950.42;25349.77;24646.78;26059.32;25343
85P;2019-32;23992.13;25391.68;24688.6;26101.3;25283
85P;2019-33;24076.9;25476.42;24773.36;26186.01;24769
85P;2019-34;24203.99;25603.41;24900.43;26312.9;25321
85P;2019-35;24372.19;25771.75;25068.72;26481.24;26342
85P;2019-36;24579.87;25980.07;25276.73;26689.8;24575
85P;2019-37;24824.85;26226.62;25522.53;26937.07;25254
85P;2019-38;25104.51;26509.22;25803.68;27221.08;25739
85P;2019-39;25415.68;26825.21;26117.27;27539.42;26420
85P;2019-40;25754.73;27171.41;26459.91;27889.18;26417
85P;2019-41;26117.48;27544.18;26827.67;28266.96;27517
85P;2019-42;26499.32;27939.3;27216.13;28668.76;27661
85P;2019-43;26895.32;28351.87;27620.4;29089.69;27806
85P;2019-44;27299.94;28776.74;28035.1;29524.81;28264
85P;2019-45;27707.53;29208.03;28454.48;29968.12;28664
85P;2019-46;28112.13;29639.5;28872.45;30413.23;29427
85P;2019-47;28507.68;30064.53;29282.66;30853.24;30366
85P;2019-48;28888.09;30476.26;29678.63;31280.91;30288
85P;2019-49;29247.32;30867.75;30053.89;31688.83;30411
85P;2019-50;29579.57;31232.13;30402.1;32069.57;31165
85P;2019-51;29879.34;31562.76;30717.2;32415.93;32079
85P;2019-52;30141.56;31853.47;30993.58;32721.18;31321
85P;2020-01;30361.83;32098.66;31226.22;32979.07;33062
85P;2020-02;30536.3;32293.6;31410.85;33184.47;34352
85P;2020-03;30661.97;32434.47;31544.07;33333.09;33609
85P;2020-04;30736.72;32518.53;31623.45;33421.91;32768
85P;2020-05;30759.35;32544.22;31647.59;33449.16;33665
85P;2020-06;30729.6;32511.19;31616.21;33414.47;32466
85P;2020-07;30648.18;32420.35;31530.11;33318.8;32457
85P;2020-08;30516.75;32273.76;31391.16;33164.48;30966
85P;2020-09;30337.87;32074.63;31202.22;32955.02;31515
85P;2020-10;30114.92;31827.19;30967.11;32695.1;31834
85P;2020-11;29851.91;31536.59;30690.4;32390.42;32430
85P;2020-12;29553.62;31208.58;30377.34;32047.26;35374
85P;2020-13;29225.23;30849.52;30033.71;31672.58;41178
85P;2020-14;28872.31;30466.11;29665.64;31273.66;48491
85P;2020-15;28500.69;30065.21;29279.47;30857.86;48080
85P;2020-16;28116.37;29653.68;28881.62;30432.5;42986
85P;2020-17;27725.35;29238.21;28478.43;30004.63;37703
85P;2020-18;27333.58;28825.23;28076.1;29580.91;33232
85P;2020-19;26946.83;28420.77;27680.53;29167.49;31047
85P;2020-20;26570.68;28030.4;27297.29;28769.97;28305
85P;2020-21;26210.34;27659.21;26931.53;28393.33;28428
85P;2020-22;25870.67;27311.74;26587.95;28041.99;26660
85P;2020-23;25556.14;26992.02;26270.81;27719.72;26350
85P;2020-24;25270.72;26703.58;25983.86;27429.82;25463
85P;2020-25;25017.94;26449.42;25730.36;27175.05;25350
85P;2020-26;24800.82;26232.12;25513.13;26957.75;26804
85P;2020-27;24621.94;26053.8;25334.5;26779.78;25514
85P;2020-28;24483.37;25916.14;25196.36;26642.65;25431
85P;2020-29;24386.68;25820.49;25100.17;26547.57;25664
85P;2020-30;24333.05;25767.77;25046.99;26495.34;26138
85P;2020-31;24323.16;25758.55;25037.43;26486.46;27497
85P;2020-32;24357.27;25793.04;25071.73;26521.15;27189
85P;2020-33;24435.14;25871.12;25149.71;26599.29;29548
85P;2020-34;24556.14;25992.25;25270.8;26720.45;26980
85P;2020-35;24719.14;26155.57;25433.97;26883.87;25989
85P;2020-36;24922.54;26359.79;25637.81;27088.43;26178
85P;2020-37;25164.24;26603.22;25880.4;27332.65;26992
85P;2020-38;25441.67;26883.71;26159.38;27614.61;28114
85P;2020-39;25751.73;27198.66;26471.9;27931.95;26889
85P;2020-40;26090.79;27544.94;26814.58;28281.81;28333
85P;2020-41;26454.75;27918.92;27183.55;28660.8;28476
85P;2020-42;26839.02;28316.4;27574.41;29064.92;29423
85P;2020-43;27238.57;28732.65;27982.29;29489.6;32542
85P;2020-44;27647.78;29162.57;28401.81;29930;34101
85P;2020-45;28061.51;29599.72;28827.19;30379.02;36074
85P;2020-46;28473.15;30038.47;29252.32;30831.53;37069
85P;2020-47;28876.78;30471.94;29670.78;31280.18;37004
85P;2020-48;29266.18;30893.22;30076.03;31717.67;37317
85P;2020-49;29635.23;31295.25;30461.47;32136.5;38281
85P;2020-50;29977.97;31671.04;30820.63;32529.13;39431
85P;2020-51;30288.76;32013.8;31147.3;32888.19;39503
85P;2020-52;30562.37;32317.15;31435.68;33206.71;39746
85P;2020-53;30794.14;32575.31;31680.55;33478.34;40669
85P;2021-01;30980.1;32783.3;31877.45;33697.57;42377
85P;2021-02;31117.03;32937.04;32022.72;33859.9;43901
85P;2021-03;31202.59;33033.56;32113.72;33962.01;44854
85P;2021-04;31235.38;33071.04;32148.84;34001.89;42578
85P;2021-05;31214.96;33048.89;32127.57;33978.86;38700
85P;2021-06;31141.89;32967.8;32050.51;33893.68;36071
85P;2021-07;31017.65;32829.64;31919.36;33748.42;34740
85P;2021-08;30844.69;32637.48;31736.87;33546.46;31836
85P;2021-09;30626.27;32395.42;31506.7;33292.33;29971
85P;2021-10;30366.41;32108.46;31233.39;32991.56;30375
85P;2021-11;30069.78;31782.4;30922.14;32650.49;29915
85P;2021-12;29741.57;31423.56;30578.71;32276.06;29806
85P;2021-13;29387.4;31038.71;30209.29;31875.58;29614
85P;2021-14;29013.14;30634.76;29820.28;31456.52;29457
85P;2021-15;28624.87;30218.68;29418.18;31026.31;29359
85P;2021-16;28228.68;29797.31;29009.46;30592.17;29130
85P;2021-17;27830.64;29377.24;28600.45;30160.93;28692
85P;2021-18;27436.66;28964.65;28197.21;29738.94;28678
85P;2021-19;27052.41;28565.32;27805.44;29332;27428
85P;2021-20;26683.28;28184.48;27430.46;28945.28;26486
85P;2021-21;26334.27;27826.87;27077.14;28583.39;26456
85P;2021-22;26009.97;27496.69;26749.89;28250.32;26855
85P;2021-23;25714.51;27197.61;26452.59;27949.5;26063
85P;2021-24;25451.55;26932.81;26188.69;27683.84;27310
85P;2021-25;25224.26;26704.97;25961.09;27455.81;26102
85P;2021-26;25035.32;26516.34;25772.28;27267.42;26464
85P;2021-27;24886.91;26368.74;25624.25;27120.3;26582
85P;2021-28;24780.76;26263.57;25518.57;27015.68;26901
85P;2021-29;24718.1;26201.87;25456.38;26954.5;28186
85P;2021-30;24699.73;26184.3;25438.4;26937.35;27479
85P;2021-31;24725.97;26211.14;25464.94;26964.48;28263
85P;2021-32;24796.69;26282.31;25535.9;27035.85;29182
85P;2021-33;24911.33;26397.37;25650.76;27151.09;28502
85P;2021-34;25068.82;26555.51;25808.59;27309.49;27651
85P;2021-35;25267.64;26755.48;26008.01;27509.98;27793
85P;2021-36;25505.76;26995.65;26247.18;27751.11;29577
85P;2021-37;25780.65;27273.93;26523.79;28031.02;28115
85P;2021-38;26089.27;27587.75;26835.02;28347.38;27705
85P;2021-39;26428.05;27934.03;27177.57;28697.39;28401
85P;2021-40;26792.92;28309.18;27547.58;29077.68;28652
85P;2021-41;27179.33;28709.03;27940.69;29484.29;29715
85P;2021-42;27582.24;29128.87;28352.04;29912.67;30927
85P;2021-43;27996.22;29563.41;28776.26;30357.61;31894
85P;2021-44;28415.5;30006.85;29207.56;30813.29;31963
85P;2021-45;28834.06;30452.88;29639.78;31273.27;33354
85P;2021-46;29245.66;30894.82;30066.47;31730.63;33855
85P;2021-47;29644.03;31325.68;30480.99;32178.03;34740
85P;2021-48;30022.9;31738.32;30876.64;32607.87;36793
85P;2021-49;30376.19;32125.61;31246.82;33012.49;37175
85P;2021-50;30698.09;32480.62;31585.17;33384.38;36075
85P;2021-51;30983.21;32796.78;31885.69;33716.37;36243
85P;2021-52;31226.69;33068.1;32143;34001.91;36534
85P;2022-01;31424.35;33289.37;32352.38;34235.23;35923
85P;2022-02;31572.78;33456.26;32509.97;34411.55;35830
85P;2022-03;31669.43;33565.54;32612.89;34527.29;36359
85P;2022-04;31712.69;33615.15;32659.3;34580.15;37404
85P;2022-05;31701.92;33604.25;32648.47;34569.19;38011
85P;2022-06;31637.51;33533.3;32580.81;34494.89;36458
85P;2022-07;31520.8;33403.97;32457.83;34359.13;36105
85P;2022-08;31354.08;33219.16;32282.13;34165.09;33930
85P;2022-09;31140.53;32982.83;32057.27;33917.13;33976.66
85P;2022-10;30884.09;32699.91;31787.68;33620.71;34062.22
85P;2022-11;30589.41;32376.12;31478.54;33282.07;34053.99
85P;2022-12;30261.61;32017.86;31135.6;32908.29;34314.68
85P;2022-13;29906.5;31631.7;30765.07;32506.33;34371.9
85P;2022-14;29529.82;31224.89;30373.41;32084.18;34781.29
85P;2022-15;29137.79;30804.39;29967.23;31649.2;33969.09
85P;2022-16;28736.62;30377.17;29553.1;31208.77;32375.52
85P;2022-17;28332.46;29949.99;29137.48;30769.91;31521
85P;2022-18;27931.36;29529.2;28726.58;30339.17;30565.65
85P;2022-19;27539.12;29120.76;28326.26;29922.56;30250.29
85P;2022-20;27161.28;28730.09;27942.01;29525.43;29728.68
85P;2022-21;26802.96;28362.11;27578.86;29152.63;27870.08
85P;2022-22;26468.91;28021.19;27241.36;28808.32;28584.07
85P;2022-23;26163.38;27711.19;26933.58;28496.15;28407.44
85P;2022-24;25890.21;27435.41;26659.07;28219.13;29948.05
85P;2022-25;25652.66;27196.7;26420.92;27979.93;29119.98
85P;2022-26;25453.54;26997.44;26221.7;27780.68;29325.72
85P;2022-27;25295.18;26839.55;26063.55;27623.1;30105.47
85P;2022-28;25179.38;26724.56;25948.14;27508.57;31979.6
85P;2022-29;25107.51;26653.58;25876.69;27438.09;34772.15
85P;2022-30;25080.43;26627.36;25850.04;27412.32;32472.52
85P;2022-31;25098.58;26646.26;25868.56;27431.6;31707.28
85P;2022-32;25161.9;26710.29;25932.24;27495.96;31766.77
85P;2022-33;25269.81;26819.15;26040.64;27605.27;30500.53
85P;2022-34;25421.52;26971.89;26192.88;27758.47;29144.65
85P;2022-35;25615.56;27167.34;26387.65;27954.57;28025.21
85P;2022-36;25849.58;27404.32;26623.17;28192.97;27954.82
85P;2022-37;26121.83;27680.06;26897.18;28470.39;28044.72
85P;2022-38;26428.71;27992.65;27206.93;28785.79;28951.97
85P;2022-39;26766.65;28339.13;27549.15;29136.53;31160.66
85P;2022-40;27131.92;28715.62;27920.03;29518.63;31946.69
85P;2022-41;27520.67;29117.29;28315.23;29926.78;32382.82
85P;2022-42;27926.39;29540.99;28729.91;30359.56;32827
85P;2022-43;28344.72;29980.35;29158.71;30809.57;32274.01
85P;2022-44;28770.12;30429.31;29595.84;31270.45;30936.61
85P;2022-45;29195.22;30882.86;30035.09;31738.47;31736.99
85P;2022-46;29614.55;31333.45;30469.96;32204.95;32512.45
85P;2022-47;30021.98;31773.78;30893.74;32662.03;33365.17
85P;2022-48;30410.67;32197.1;31299.64;33102.98;34739.2
85P;2022-49;30774.55;32595.99;31680.91;33519.72;37864.74
85P;2022-50;31107.66;32963.37;32031.03;33904.58;40758.49
85P;2022-51;31404.41;33292.5;32343.86;34250.24;44856.04
85P;2022-52;31659.78;33577.19;32613.78;34549.89;44551.43
85P;2023-01;31869.36;33811.96;32835.87;34797.54;42659.83
85P;2023-02;32029.53;33992.28;33006.04;34988.15;39413.51
85P;2023-03;32137.54;34114.64;33121.17;35117.85;37134.56
85P;2023-04;32191.56;34176.72;33179.19;35184.06;35473.12
85P;2023-05;32190.76;34177.45;33179.15;35185.57;35484.29
85P;2023-06;32135.35;34117.01;33121.24;35122.56;34156.18
85P;2023-07;32026.5;33996.92;33006.81;34996.73;30654.64
