GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14522330;      Lichtenau;7538;3765;3773
30.06.2011;14522340;      Lichtenberg/Erzgeb.;2869;1456;1413
30.06.2011;14522350;      Lunzenau, Stadt;4722;2294;2428
30.06.2011;14522360;      Mittweida, Stadt, Hochschulstadt;15360;7549;7811
30.06.2011;14522380;      Mühlau;2204;1127;1077
30.06.2011;14522390;      Mulda/Sa.;2691;1360;1331
30.06.2011;14522400;      Neuhausen/Erzgeb.;2903;1473;1430
30.06.2011;14522420;      Niederwiesa;5058;2487;2571
30.06.2011;14522430;      Oberschöna;3454;1777;1677
30.06.2011;14522440;      Oederan, Stadt;8546;4196;4350
30.06.2011;14522460;      Penig, Stadt;9497;4606;4891
30.06.2011;14522470;      Rechenberg-Bienenmühle;2122;1052;1070
30.06.2011;14522480;      Reinsberg;3038;1544;1494
30.06.2011;14522490;      Rochlitz, Stadt;6238;2967;3271
30.06.2011;14522500;      Rossau;3637;1828;1809
30.06.2011;14522510;      Roßwein, Stadt;7952;3874;4078
30.06.2011;14522520;      Sayda, Stadt;2000;989;1011
30.06.2011;14522530;      Seelitz;1875;946;929
30.06.2011;14522540;      Striegistal;5003;2540;2463
30.06.2011;14522550;      Taura;2492;1225;1267
30.06.2011;14522570;      Waldheim, Stadt;9341;4750;4591
30.06.2011;14522580;      Wechselburg;1990;1008;982
30.06.2011;14522590;      Weißenborn/Erzgeb.;2609;1319;1290
30.06.2011;14522600;      Zettlitz;791;398;393
30.06.2011;14523;    Vogtlandkreis;239795;115840;123955
30.06.2011;14523010;      Adorf/Vogtl., Stadt;5340;2576;2764
30.06.2011;14523020;      Auerbach/Vogtl., Stadt;19564;9365;10199
30.06.2011;14523030;      Bad Brambach;2079;971;1108
30.06.2011;14523040;      Bad Elster, Stadt;3756;1769;1987
30.06.2011;14523050;      Bergen;1043;505;538
30.06.2011;14523060;      Bösenbrunn;1255;611;644
30.06.2011;14523080;      Eichigt;1295;665;630
30.06.2011;14523090;      Ellefeld;2783;1326;1457
30.06.2011;14523100;      Elsterberg, Stadt;4470;2165;2305
30.06.2011;14523120;      Falkenstein/Vogtl., Stadt;8655;4104;4551
30.06.2011;14523130;      Grünbach;1819;899;920
30.06.2011;14523150;      Heinsdorfergrund;2170;1061;1109
30.06.2011;14523160;      Klingenthal, Stadt;9374;4527;4847
30.06.2011;14523170;      Lengenfeld, Stadt;7569;3719;3850
30.06.2011;14523190;      Limbach;1528;730;798
30.06.2011;14523200;      Markneukirchen, Stadt;8203;4017;4186
30.06.2011;14523230;      Mühlental;1387;710;677
30.06.2011;14523245;      Muldenhammer;3349;1662;1687
30.06.2011;14523260;      Netzschkau, Stadt;4176;2007;2169
30.06.2011;14523270;      Neuensalz;2266;1126;1140
30.06.2011;14523280;      Neumark;3042;1503;1539
30.06.2011;14523290;      Neustadt/Vogtl.;1039;504;535
30.06.2011;14523300;      Oelsnitz/Vogtl., Stadt;11186;5417;5769
30.06.2011;14523310;      Pausa-Mühltroff, Stadt;5343;2623;2720
30.06.2011;14523320;      Plauen, Stadt;64450;30879;33571
30.06.2011;14523330;      Pöhl;2622;1286;1336
30.06.2011;14523340;      Reichenbach im Vogtland, Stadt;22355;10656;11699
30.06.2011;14523360;      Rodewisch, Stadt;6828;3307;3521
30.06.2011;14523365;      Rosenbach/Vogtl.;4431;2192;2239
30.06.2011;14523370;      Schöneck/Vogtl., Stadt;3440;1648;1792
30.06.2011;14523380;      Steinberg;2933;1427;1506
30.06.2011;14523410;      Theuma;1053;522;531
30.06.2011;14523420;      Tirpersdorf;1434;713;721
30.06.2011;14523430;      Treuen, Stadt;8405;4075;4330
30.06.2011;14523440;      Triebel/Vogtl.;1341;678;663
30.06.2011;14523450;      Weischlitz;6249;3127;3122
30.06.2011;14523460;      Werda;1563;768;795
30.06.2011;14524;    Zwickau, Landkreis;334875;161912;172963
30.06.2011;14524010;      Bernsdorf (Landkreis Zwickau);2398;1222;1176
30.06.2011;14524020;      Callenberg;5280;2611;2669
30.06.2011;14524030;      Crimmitschau, Stadt;20006;9585;10421
30.06.2011;14524040;      Crinitzberg;2094;1045;1049
30.06.2011;14524050;      Dennheritz;1390;686;704
30.06.2011;14524060;      Fraureuth;5330;2589;2741
