GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2014;14522320;      Leubsdorf;3498;1758;1740
30.06.2014;14522330;      Lichtenau;7287;3638;3649
30.06.2014;14522340;      Lichtenberg/Erzgeb.;2731;1341;1390
30.06.2014;14522350;      Lunzenau, Stadt;4478;2173;2305
30.06.2014;14522360;      Mittweida, Stadt, Hochschulstadt;14842;7286;7556
30.06.2014;14522380;      Mühlau;2136;1081;1055
30.06.2014;14522390;      Mulda/Sa.;2590;1305;1285
30.06.2014;14522400;      Neuhausen/Erzgeb.;2751;1396;1355
30.06.2014;14522420;      Niederwiesa;4939;2437;2502
30.06.2014;14522430;      Oberschöna;3351;1706;1645
30.06.2014;14522440;      Oederan, Stadt;8236;4050;4186
30.06.2014;14522460;      Penig, Stadt;9216;4489;4727
30.06.2014;14522470;      Rechenberg-Bienenmühle;2024;1020;1004
30.06.2014;14522480;      Reinsberg;2994;1524;1470
30.06.2014;14522490;      Rochlitz, Stadt;5971;2822;3149
30.06.2014;14522500;      Rossau;3558;1797;1761
30.06.2014;14522510;      Roßwein, Stadt;7608;3751;3857
30.06.2014;14522520;      Sayda, Stadt;1949;961;988
30.06.2014;14522530;      Seelitz;1800;913;887
30.06.2014;14522540;      Striegistal;4859;2481;2378
30.06.2014;14522550;      Taura;2465;1202;1263
30.06.2014;14522570;      Waldheim, Stadt;9218;4711;4507
30.06.2014;14522580;      Wechselburg;1918;965;953
30.06.2014;14522590;      Weißenborn/Erzgeb.;2543;1284;1259
30.06.2014;14522600;      Zettlitz;773;398;375
30.06.2014;14523;    Vogtlandkreis;233070;112939;120131
30.06.2014;14523010;      Adorf/Vogtl., Stadt;5114;2465;2649
30.06.2014;14523020;      Auerbach/Vogtl., Stadt;19051;9118;9933
30.06.2014;14523030;      Bad Brambach;1986;939;1047
30.06.2014;14523040;      Bad Elster, Stadt;3633;1723;1910
30.06.2014;14523050;      Bergen;993;491;502
30.06.2014;14523060;      Bösenbrunn;1220;596;624
30.06.2014;14523080;      Eichigt;1228;641;587
30.06.2014;14523090;      Ellefeld;2681;1305;1376
30.06.2014;14523100;      Elsterberg, Stadt;4244;2079;2165
30.06.2014;14523120;      Falkenstein/Vogtl., Stadt;8346;3979;4367
30.06.2014;14523130;      Grünbach;1783;870;913
30.06.2014;14523150;      Heinsdorfergrund;2088;1032;1056
30.06.2014;14523160;      Klingenthal, Stadt;9022;4383;4639
30.06.2014;14523170;      Lengenfeld, Stadt;7311;3589;3722
30.06.2014;14523190;      Limbach;1491;716;775
30.06.2014;14523200;      Markneukirchen, Stadt;7893;3883;4010
30.06.2014;14523230;      Mühlental;1330;684;646
30.06.2014;14523245;      Muldenhammer;3245;1613;1632
30.06.2014;14523260;      Netzschkau, Stadt;4084;1959;2125
30.06.2014;14523270;      Neuensalz;2215;1105;1110
30.06.2014;14523280;      Neumark;2961;1468;1493
30.06.2014;14523290;      Neustadt/Vogtl.;983;492;491
30.06.2014;14523300;      Oelsnitz/Vogtl., Stadt;10655;5177;5478
30.06.2014;14523310;      Pausa-Mühltroff, Stadt;5189;2563;2626
30.06.2014;14523320;      Plauen, Stadt;63841;30689;33152
30.06.2014;14523330;      Pöhl;2546;1250;1296
30.06.2014;14523340;      Reichenbach im Vogtland, Stadt;21450;10245;11205
30.06.2014;14523360;      Rodewisch, Stadt;6599;3207;3392
30.06.2014;14523365;      Rosenbach/Vogtl.;4313;2127;2186
30.06.2014;14523370;      Schöneck/Vogtl., Stadt;3293;1595;1698
30.06.2014;14523380;      Steinberg;2860;1379;1481
30.06.2014;14523410;      Theuma;1054;528;526
30.06.2014;14523420;      Tirpersdorf;1400;696;704
30.06.2014;14523430;      Treuen, Stadt;8130;3966;4164
30.06.2014;14523440;      Triebel/Vogtl.;1277;639;638
30.06.2014;14523450;      Weischlitz;6048;3006;3042
30.06.2014;14523460;      Werda;1513;742;771
30.06.2014;14524;    Zwickau, Landkreis;325942;158006;167936
30.06.2014;14524010;      Bernsdorf (Landkreis Zwickau);2269;1143;1126
30.06.2014;14524020;      Callenberg;5120;2538;2582
30.06.2014;14524030;      Crimmitschau, Stadt;19261;9266;9995
30.06.2014;14524040;      Crinitzberg;2018;1006;1012
30.06.2014;14524050;      Dennheritz;1330;669;661
30.06.2014;14524060;      Fraureuth;5221;2525;2696
30.06.2014;14524070;      Gersdorf;4134;2007;2127
30.06.2014;14524080;      Glauchau, Stadt;23205;11379;11826
30.06.2014;14524090;      Hartenstein, Stadt;4732;2297;2435
30.06.2014;14524100;      Hartmannsdorf b. Kirchberg;1382;665;717
30.06.2014;14524110;      Hirschfeld;1200;591;609
30.06.2014;14524120;      Hohenstein-Ernstthal, Stadt;15016;7212;7804
30.06.2014;14524130;      Kirchberg, Stadt;8448;4007;4441
30.06.2014;14524140;      Langenbernsdorf;3597;1811;1786
30.06.2014;14524150;      Langenweißbach;2566;1267;1299
30.06.2014;14524160;      Lichtenstein/Sa., Stadt;11843;5672;6171
30.06.2014;14524170;      Lichtentanne;6596;3147;3449
30.06.2014;14524180;      Limbach-Oberfrohna, Stadt;24057;11640;12417
30.06.2014;14524190;      Meerane, Stadt;14956;7139;7817
30.06.2014;14524200;      Mülsen;11595;5675;5920
30.06.2014;14524210;      Neukirchen/Pleiße;4053;1999;2054
30.06.2014;14524220;      Niederfrohna;2233;1120;1113
30.06.2014;14524230;      Oberlungwitz, Stadt;5973;2917;3056
30.06.2014;14524240;      Oberwiera;1046;525;521
30.06.2014;14524250;      Reinsdorf;7692;3757;3935
30.06.2014;14524260;      Remse;1688;842;846
30.06.2014;14524270;      Schönberg;942;475;467
30.06.2014;14524280;      St. Egidien;3325;1630;1695
30.06.2014;14524290;      Waldenburg, Stadt;4200;2059;2141
30.06.2014;14524300;      Werdau, Stadt;21062;10228;10834
30.06.2014;14524310;      Wildenfels, Stadt;3767;1896;1871
30.06.2014;14524320;      Wilkau-Haßlau, Stadt;10184;4856;5328
30.06.2014;14524330;      Zwickau, Stadt;91231;44046;47185
30.06.2014;146;  Dresden, NUTS 2-Region;1590053;782150;807903
30.06.2014;14612;    Dresden, Stadt;531982;262599;269383
30.06.2014;14612000;      Dresden, Stadt;531982;262599;269383
30.06.2014;14625;    Bautzen, Landkreis;307577;151474;156103
30.06.2014;14625010;      Arnsdorf;4753;2468;2285
30.06.2014;14625020;      Bautzen, Stadt;39456;18999;20457
30.06.2014;14625030;      Bernsdorf, Stadt (Landkreis Bautzen);6652;3267;3385
30.06.2014;14625040;      Bischofswerda, Stadt;11553;5539;6014
30.06.2014;14625060;      Burkau;2705;1373;1332
30.06.2014;14625080;      Crostwitz;1028;515;513
30.06.2014;14625090;      Cunewalde;4862;2392;2470
30.06.2014;14625100;      Demitz-Thumitz;2781;1385;1396
30.06.2014;14625110;      Doberschau-Gaußig;4239;2151;2088
30.06.2014;14625120;      Elsterheide;3614;1813;1801
30.06.2014;14625130;      Elstra, Stadt;2893;1456;1437
30.06.2014;14625140;      Frankenthal;959;486;473
30.06.2014;14625150;      Göda;3146;1580;1566
30.06.2014;14625160;      Großdubrau;4262;2150;2112
30.06.2014;14625170;      Großharthau;2728;1340;1388
30.06.2014;14625180;      Großnaundorf;977;486;491
30.06.2014;14625190;      Großpostwitz/O.L.;2763;1355;1408
30.06.2014;14625200;      Großröhrsdorf, Stadt;9564;4680;4884
30.06.2014;14625220;      Haselbachtal;4060;2071;1989
30.06.2014;14625230;      Hochkirch;2351;1188;1163
30.06.2014;14625240;      Hoyerswerda, Stadt;34152;16370;17782
30.06.2014;14625250;      Kamenz, Stadt;17369;8542;8827
30.06.2014;14625270;      Königsbrück, Stadt;4375;2141;2234
30.06.2014;14625280;      Königswartha;3604;1775;1829
30.06.2014;14625290;      Kubschütz;2594;1310;1284
30.06.2014;14625300;      Laußnitz;1903;965;938
30.06.2014;14625310;      Lauta, Stadt;8737;4283;4454
30.06.2014;14625320;      Lichtenberg (Landkreis Bautzen);1617;813;804
30.06.2014;14625330;      Lohsa;5525;2725;2800
30.06.2014;14625340;      Malschwitz;4939;2488;2451
30.06.2014;14625350;      Nebelschütz;1190;621;569
30.06.2014;14625360;      Neschwitz;2488;1280;1208
30.06.2014;14625370;      Neukirch;1671;836;835
30.06.2014;14625380;      Neukirch/Lausitz;5044;2489;2555
30.06.2014;14625390;      Obergurig;2078;1053;1025
30.06.2014;14625410;      Ohorn;2365;1183;1182
30.06.2014;14625420;      Oßling;2325;1204;1121
30.06.2014;14625430;      Ottendorf-Okrilla;9914;4937;4977
30.06.2014;14625440;      Panschwitz-Kuckau;2092;1004;1088
30.06.2014;14625450;      Pulsnitz, Stadt;7559;3658;3901
30.06.2014;14625460;      Puschwitz;845;426;419
30.06.2014;14625470;      Räckelwitz;1091;536;555
30.06.2014;14625480;      Radeberg, Stadt;18187;8863;9324
30.06.2014;14625490;      Radibor;3213;1637;1576
30.06.2014;14625500;      Ralbitz-Rosenthal;1730;930;800
30.06.2014;14625510;      Rammenau;1400;698;702
30.06.2014;14625525;      Schirgiswalde-Kirschau, Stadt;6522;3243;3279
30.06.2014;14625530;      Schmölln-Putzkau;3088;1543;1545
30.06.2014;14625550;      Schwepnitz;2528;1299;1229
30.06.2014;14625560;      Sohland a. d. Spree;6878;3378;3500
30.06.2014;14625570;      Spreetal;1948;983;965
30.06.2014;14625580;      Steina;1651;819;832
30.06.2014;14625590;      Steinigtwolmsdorf;2983;1509;1474
30.06.2014;14625600;      Wachau;4311;2207;2104
30.06.2014;14625610;      Weißenberg, Stadt;3248;1691;1557
30.06.2014;14625630;      Wilthen, Stadt;5234;2508;2726
30.06.2014;14625640;      Wittichenau, Stadt;5833;2833;3000
30.06.2014;14626;    Görlitz, Landkreis;261179;127504;133675
30.06.2014;14626010;      Bad Muskau, Stadt;3678;1805;1873
30.06.2014;14626020;      Beiersdorf;1180;605;575
30.06.2014;14626030;      Bernstadt a. d. Eigen, Stadt;3483;1727;1756
30.06.2014;14626050;      Bertsdorf-Hörnitz;2190;1108;1082
30.06.2014;14626060;      Boxberg/O.L.;4753;2398;2355
30.06.2014;14626070;      Dürrhennersdorf;1008;503;505
30.06.2014;14626085;      Ebersbach-Neugersdorf, Stadt;12806;6214;6592
30.06.2014;14626100;      Gablenz;1649;833;816
30.06.2014;14626110;      Görlitz, Stadt;54098;25781;28317
30.06.2014;14626120;      Groß Düben;1088;554;534
30.06.2014;14626140;      Großschönau;5735;2785;2950
30.06.2014;14626150;      Großschweidnitz;1330;702;628
30.06.2014;14626160;      Hähnichen;1304;663;641
30.06.2014;14626170;      Hainewalde;1551;779;772
30.06.2014;14626180;      Herrnhut, Stadt;6258;3093;3165
30.06.2014;14626190;      Hohendubrau;1976;989;987
30.06.2014;14626200;      Horka;1829;919;910
30.06.2014;14626210;      Jonsdorf, Kurort;1619;786;833
30.06.2014;14626230;      Kodersdorf;2535;1286;1249
30.06.2014;14626240;      Königshain;1194;603;591
30.06.2014;14626245;      Kottmar;7677;3764;3913
30.06.2014;14626250;      Krauschwitz i.d. O.L.;3561;1770;1791
30.06.2014;14626260;      Kreba-Neudorf;907;463;444
30.06.2014;14626270;      Lawalde;1920;940;980
30.06.2014;14626280;      Leutersdorf;3718;1842;1876
30.06.2014;14626290;      Löbau, Stadt;15485;7424;8061
30.06.2014;14626300;      Markersdorf;3985;2037;1948
30.06.2014;14626310;      Mittelherwigsdorf;3637;1845;1792
30.06.2014;14626320;      Mücka;1006;505;501
30.06.2014;14626330;      Neißeaue;1750;864;886
30.06.2014;14626350;      Neusalza-Spremberg, Stadt;3410;1668;1742
30.06.2014;14626370;      Niesky, Stadt;9541;4663;4878
30.06.2014;14626390;      Oderwitz;5271;2551;2720
30.06.2014;14626400;      Olbersdorf;5227;2500;2727
30.06.2014;14626410;      Oppach;2477;1204;1273
30.06.2014;14626420;      Ostritz, Stadt;2433;1185;1248
30.06.2014;14626430;      Oybin;1470;716;754
30.06.2014;14626440;      Quitzdorf am See;1313;649;664
30.06.2014;14626450;      Reichenbach/O.L., Stadt;5017;2470;2547
30.06.2014;14626460;      Rietschen;2622;1279;1343
30.06.2014;14626470;      Rosenbach;1639;813;826
30.06.2014;14626480;      Rothenburg/O.L., Stadt;4750;2385;2365
30.06.2014;14626490;      Schleife;2665;1315;1350
30.06.2014;14626500;      Schönau-Berzdorf a. d. Eigen;1509;757;752
30.06.2014;14626510;      Schönbach;1156;586;570
30.06.2014;14626520;      Schöpstal;2463;1244;1219
30.06.2014;14626530;      Seifhennersdorf, Stadt;3859;1911;1948
30.06.2014;14626560;      Trebendorf;954;467;487
30.06.2014;14626570;      Vierkirchen;1709;859;850
30.06.2014;14626580;      Waldhufen;2480;1264;1216
30.06.2014;14626590;      Weißkeißel;1274;656;618
30.06.2014;14626600;      Weißwasser/O.L., Stadt;17190;8299;8891
30.06.2014;14626610;      Zittau, Stadt;25840;12476;13364
30.06.2014;14627;    Meißen, Landkreis;243451;119459;123992
30.06.2014;14627010;      Coswig, Stadt;20580;9770;10810
30.06.2014;14627020;      Diera-Zehren;3360;1679;1681
30.06.2014;14627030;      Ebersbach (Landkreis Meißen);4474;2279;2195
30.06.2014;14627040;      Glaubitz;2117;1192;925
30.06.2014;14627050;      Gröditz, Stadt;7491;3675;3816
30.06.2014;14627060;      Großenhain, Stadt;18345;8945;9400
30.06.2014;14627070;      Hirschstein;2088;1068;1020
30.06.2014;14627080;      Käbschütztal;2808;1442;1366
30.06.2014;14627100;      Klipphausen;10190;5166;5024
30.06.2014;14627110;      Lampertswalde;2649;1364;1285
30.06.2014;14627130;      Lommatzsch, Stadt;5179;2503;2676
30.06.2014;14627140;      Meißen, Stadt;27152;12996;14156
30.06.2014;14627150;      Moritzburg;8330;4135;4195
30.06.2014;14627170;      Niederau;3936;1963;1973
30.06.2014;14627180;      Nossen, Stadt;10844;5381;5463
30.06.2014;14627190;      Nünchritz;5660;2797;2863
30.06.2014;14627200;      Priestewitz;3246;1680;1566
30.06.2014;14627210;      Radebeul, Stadt;33618;16313;17305
30.06.2014;14627220;      Radeburg, Stadt;7379;3660;3719
30.06.2014;14627230;      Riesa, Stadt;31106;15009;16097
30.06.2014;14627240;      Röderaue;2795;1413;1382
30.06.2014;14627250;      Schönfeld;1890;921;969
30.06.2014;14627260;      Stauchitz;3136;1598;1538
30.06.2014;14627270;      Strehla, Stadt;3782;1843;1939
30.06.2014;14627290;      Thiendorf;3714;1922;1792
30.06.2014;14627310;      Weinböhla;10095;4959;5136
30.06.2014;14627340;      Wülknitz;1727;901;826
30.06.2014;14627360;      Zeithain;5760;2885;2875
30.06.2014;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;245864;121114;124750
30.06.2014;14628010;      Altenberg, Stadt;8205;4097;4108
30.06.2014;14628020;      Bad Gottleuba-Berggießhübel, Stadt;5687;2817;2870
30.06.2014;14628030;      Bad Schandau, Stadt;3810;1867;1943
30.06.2014;14628040;      Bahretal;2193;1098;1095
30.06.2014;14628050;      Bannewitz;10451;5060;5391
30.06.2014;14628060;      Dippoldiswalde, Stadt;14469;7184;7285
30.06.2014;14628070;      Dohma;1952;990;962
30.06.2014;14628080;      Dohna, Stadt;6252;3163;3089
30.06.2014;14628090;      Dorfhain;1098;541;557
30.06.2014;14628100;      Dürrröhrsdorf-Dittersbach;4279;2155;2124
30.06.2014;14628110;      Freital, Stadt;39411;19187;20224
30.06.2014;14628130;      Glashütte, Stadt;6829;3456;3373
30.06.2014;14628140;      Gohrisch;1979;984;995
30.06.2014;14628150;      Hartmannsdorf-Reichenau;1078;537;541
30.06.2014;14628160;      Heidenau, Stadt;16158;7908;8250
30.06.2014;14628170;      Hermsdorf/Erzgeb.;826;415;411
30.06.2014;14628190;      Hohnstein, Stadt;3402;1700;1702
30.06.2014;14628205;      Klingenberg;6916;3486;3430
30.06.2014;14628210;      Königstein/Sächs. Schw., Stadt;2181;1108;1073
30.06.2014;14628220;      Kreischa;4433;2195;2238
30.06.2014;14628230;      Liebstadt, Stadt;1353;694;659
30.06.2014;14628240;      Lohmen;3076;1486;1590
30.06.2014;14628250;      Müglitztal;1932;987;945
30.06.2014;14628260;      Neustadt in Sachsen, Stadt;12705;6207;6498
30.06.2014;14628270;      Pirna, Stadt;37706;18189;19517
30.06.2014;14628300;      Rabenau, Stadt;4373;2219;2154
30.06.2014;14628310;      Rathen, Kurort;354;174;180
30.06.2014;14628320;      Rathmannsdorf;952;441;511
30.06.2014;14628330;      Reinhardtsdorf-Schöna;1375;703;672
30.06.2014;14628340;      Rosenthal-Bielatal;1670;830;840
30.06.2014;14628360;      Sebnitz, Stadt;9984;4889;5095
30.06.2014;14628370;      Stadt Wehlen, Stadt;1632;838;794
30.06.2014;14628380;      Stolpen, Stadt;5659;2818;2841
30.06.2014;14628390;      Struppen;2522;1279;1243
30.06.2014;14628400;      Tharandt, Stadt;5305;2660;2645
30.06.2014;14628410;      Wilsdruff, Stadt;13657;6752;6905
30.06.2014;147;  Leipzig, NUTS 2-Region;990339;483762;506577
30.06.2014;14713;    Leipzig, Stadt;535732;260244;275488
30.06.2014;14713000;      Leipzig, Stadt;535732;260244;275488
30.06.2014;14729;    Leipzig, Landkreis;257456;126055;131401
30.06.2014;14729010;      Bad Lausick, Stadt;8097;3943;4154
30.06.2014;14729020;      Belgershain;3290;1630;1660
30.06.2014;14729030;      Bennewitz;4931;2460;2471
30.06.2014;14729040;      Böhlen, Stadt;6624;3217;3407
30.06.2014;14729050;      Borna, Stadt;19342;9273;10069
30.06.2014;14729060;      Borsdorf;8251;4021;4230
30.06.2014;14729070;      Brandis, Stadt;9371;4599;4772
30.06.2014;14729080;      Colditz, Stadt;8829;4351;4478
30.06.2014;14729100;      Elstertrebnitz;1273;639;634
30.06.2014;14729140;      Frohburg, Stadt;12999;6498;6501
30.06.2014;14729150;      Geithain, Stadt;7196;3518;3678
30.06.2014;14729160;      Grimma, Stadt;28466;13990;14476
30.06.2014;14729170;      Groitzsch, Stadt;7590;3684;3906
30.06.2014;14729190;      Großpösna;5344;2675;2669
30.06.2014;14729220;      Kitzscher, Stadt;5044;2447;2597
30.06.2014;14729245;      Lossatal;6107;3079;3028
30.06.2014;14729250;      Machern;6612;3248;3364
30.06.2014;14729260;      Markkleeberg, Stadt;23995;11478;12517
30.06.2014;14729270;      Markranstädt, Stadt;14832;7224;7608
30.06.2014;14729300;      Naunhof, Stadt;8538;4203;4335
30.06.2014;14729320;      Neukieritzsch;6917;3397;3520
30.06.2014;14729330;      Otterwisch;1413;703;710
30.06.2014;14729340;      Parthenstein;3443;1735;1708
30.06.2014;14729350;      Pegau, Stadt;6274;3069;3205
30.06.2014;14729360;      Regis-Breitingen, Stadt;3917;1981;1936
30.06.2014;14729370;      Rötha, Stadt;6040;3049;2991
30.06.2014;14729380;      Thallwitz;3617;1837;1780
30.06.2014;14729400;      Trebsen/Mulde, Stadt;3903;1945;1958
30.06.2014;14729410;      Wurzen, Stadt;16327;7812;8515
30.06.2014;14729430;      Zwenkau, Stadt;8874;4350;4524
30.06.2014;14730;    Nordsachsen, Landkreis;197151;97463;99688
30.06.2014;14730010;      Arzberg;1983;1005;978
30.06.2014;14730020;      Bad Düben, Stadt;7945;3840;4105
30.06.2014;14730030;      Beilrode;4290;2173;2117
30.06.2014;14730045;      Belgern-Schildau, Stadt;7898;3959;3939
30.06.2014;14730050;      Cavertitz;2260;1153;1107
30.06.2014;14730060;      Dahlen, Stadt;4375;2120;2255
30.06.2014;14730070;      Delitzsch, Stadt;24994;12230;12764
30.06.2014;14730080;      Doberschütz;4114;2070;2044
30.06.2014;14730090;      Dommitzsch, Stadt;2568;1271;1297
30.06.2014;14730100;      Dreiheide;2138;1082;1056
30.06.2014;14730110;      Eilenburg, Stadt;15397;7439;7958
30.06.2014;14730120;      Elsnig;1462;756;706
30.06.2014;14730140;      Jesewitz;3001;1512;1489
30.06.2014;14730150;      Krostitz;3745;1902;1843
30.06.2014;14730160;      Laußig;3850;1937;1913
30.06.2014;14730170;      Liebschützberg;3060;1559;1501
30.06.2014;14730180;      Löbnitz;2047;1001;1046
30.06.2014;14730190;      Mockrehna;5049;2536;2513
30.06.2014;14730200;      Mügeln, Stadt;6154;3020;3134
30.06.2014;14730210;      Naundorf;2355;1220;1135
30.06.2014;14730230;      Oschatz, Stadt;14761;7152;7609
30.06.2014;14730250;      Rackwitz;4870;2485;2385
30.06.2014;14730270;      Schkeuditz, Stadt;17102;8637;8465
30.06.2014;14730280;      Schönwölkau;2409;1207;1202
30.06.2014;14730300;      Taucha, Stadt;14580;7062;7518
30.06.2014;14730310;      Torgau, Stadt;20014;9828;10186
30.06.2014;14730320;      Trossin;1303;642;661
30.06.2014;14730330;      Wermsdorf;5312;2600;2712
30.06.2014;14730340;      Wiedemar;5192;2608;2584
30.06.2014;14730360;      Zschepplin;2923;1457;1466
30.06.2015;14;Freistaat Sachsen;4055888;1991129;2064759
30.06.2015;145;  Chemnitz, NUTS 2-Region;1461519;715298;746221
30.06.2015;14511;    Chemnitz, Stadt;245756;120591;125165
30.06.2015;14511000;      Chemnitz, Stadt;245756;120591;125165
30.06.2015;14521;    Erzgebirgskreis;348057;170254;177803
30.06.2015;14521010;      Amtsberg;3783;1857;1926
30.06.2015;14521020;      Annaberg-Buchholz, Stadt;20390;9760;10630
30.06.2015;14521035;      Aue-Bad Schlema, Stadt;21365;10271;11094
30.06.2015;14521040;      Auerbach (Erzgebirgskreis);2585;1253;1332
30.06.2015;14521060;      Bärenstein;2421;1201;1220
30.06.2015;14521080;      Bockau;2315;1143;1172
30.06.2015;14521090;      Börnichen/Erzgeb.;992;490;502
30.06.2015;14521110;      Breitenbrunn/Erzgeb.;5469;2644;2825
30.06.2015;14521120;      Burkhardtsdorf;6177;3039;3138
30.06.2015;14521130;      Crottendorf;4085;2008;2077
30.06.2015;14521140;      Deutschneudorf;1063;551;512
30.06.2015;14521150;      Drebach;5344;2756;2588
30.06.2015;14521160;      Ehrenfriedersdorf, Stadt;4874;2350;2524
30.06.2015;14521170;      Eibenstock, Stadt;7689;3805;3884
30.06.2015;14521180;      Elterlein, Stadt;2935;1462;1473
30.06.2015;14521200;      Gelenau/Erzgeb.;4252;2095;2157
30.06.2015;14521210;      Geyer, Stadt;3599;1749;1850
30.06.2015;14521220;      Gornau/Erzgeb.;3812;1875;1937
30.06.2015;14521230;      Gornsdorf;1983;1001;982
30.06.2015;14521240;      Großolbersdorf;2907;1447;1460
30.06.2015;14521250;      Großrückerswalde;3485;1792;1693
30.06.2015;14521260;      Grünhain-Beierfeld, Stadt;6018;2992;3026
30.06.2015;14521270;      Grünhainichen;3535;1746;1789
30.06.2015;14521280;      Heidersdorf;820;424;396
30.06.2015;14521290;      Hohndorf;3727;1785;1942
30.06.2015;14521310;      Jahnsdorf/Erzgeb.;5531;2735;2796
30.06.2015;14521320;      Johanngeorgenstadt, Stadt;4189;2016;2173
30.06.2015;14521330;      Jöhstadt, Stadt;2831;1444;1387
30.06.2015;14521340;      Königswalde;2279;1119;1160
30.06.2015;14521355;      Lauter-Bernsbach, Stadt;8942;4344;4598
30.06.2015;14521370;      Lößnitz, Stadt;8729;4235;4494
30.06.2015;14521380;      Lugau/Erzgeb., Stadt;8230;4019;4211
30.06.2015;14521390;      Marienberg, Stadt;17355;8609;8746
30.06.2015;14521400;      Mildenau;3401;1684;1717
30.06.2015;14521410;      Neukirchen/Erzgeb.;6791;3342;3449
30.06.2015;14521420;      Niederdorf;1195;596;599
30.06.2015;14521430;      Niederwürschnitz;2641;1301;1340
30.06.2015;14521440;      Oberwiesenthal, Kurort, Stadt;2210;1076;1134
30.06.2015;14521450;      Oelsnitz/Erzgeb., Stadt;11143;5363;5780
30.06.2015;14521460;      Olbernhau, Stadt;11598;5718;5880
30.06.2015;14521495;      Pockau-Lengefeld, Stadt;7891;3921;3970
30.06.2015;14521500;      Raschau-Markersbach;5204;2559;2645
30.06.2015;14521510;      Scheibenberg, Stadt;2202;1102;1100
30.06.2015;14521520;      Schlettau, Stadt;2450;1182;1268
30.06.2015;14521530;      Schneeberg, Stadt;14652;7142;7510
30.06.2015;14521540;      Schönheide;4571;2247;2324
30.06.2015;14521550;      Schwarzenberg/Erzgeb., Stadt;17336;8249;9087
30.06.2015;14521560;      Sehmatal;6560;3251;3309
30.06.2015;14521570;      Seiffen/Erzgeb., Kurort;2273;1136;1137
30.06.2015;14521590;      Stollberg/Erzgeb., Stadt;11265;5438;5827
30.06.2015;14521600;      Stützengrün;3372;1659;1713
30.06.2015;14521610;      Tannenberg;1140;564;576
30.06.2015;14521620;      Thalheim/Erzgeb., Stadt;6538;3195;3343
30.06.2015;14521630;      Thermalbad Wiesenbad;3380;1674;1706
30.06.2015;14521640;      Thum, Stadt;5300;2628;2672
30.06.2015;14521670;      Wolkenstein, Stadt;3906;1911;1995
30.06.2015;14521690;      Zschopau, Stadt, Motorradstadt;9608;4694;4914
30.06.2015;14521700;      Zschorlau;5397;2628;2769
30.06.2015;14521710;      Zwönitz, Stadt;12322;5977;6345
30.06.2015;14522;    Mittelsachsen, Landkreis;311817;154374;157443
30.06.2015;14522010;      Altmittweida;1927;947;980
30.06.2015;14522020;      Augustusburg, Stadt;4601;2292;2309
30.06.2015;14522035;      Bobritzsch-Hilbersdorf;5847;2905;2942
30.06.2015;14522050;      Brand-Erbisdorf, Stadt;9867;4836;5031
30.06.2015;14522060;      Burgstädt, Stadt;10835;5242;5593
30.06.2015;14522070;      Claußnitz;3156;1557;1599
30.06.2015;14522080;      Döbeln, Stadt;23861;11610;12251
30.06.2015;14522090;      Dorfchemnitz;1582;806;776
30.06.2015;14522110;      Eppendorf;4225;2038;2187
30.06.2015;14522120;      Erlau;3279;1671;1608
30.06.2015;14522140;      Flöha, Stadt;11059;5354;5705
30.06.2015;14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;14372;7088;7284
30.06.2015;14522170;      Frauenstein, Stadt;2950;1490;1460
30.06.2015;14522180;      Freiberg, Stadt, Universitätsstadt;40823;20264;20559
30.06.2015;14522190;      Geringswalde, Stadt;4349;2131;2218
30.06.2015;14522200;      Großhartmannsdorf;2553;1310;1243
30.06.2015;14522210;      Großschirma, Stadt;5711;2853;2858
30.06.2015;14522220;      Großweitzschen;2843;1434;1409
30.06.2015;14522230;      Hainichen, Stadt;8516;4159;4357
30.06.2015;14522240;      Halsbrücke;5212;2597;2615
30.06.2015;14522250;      Hartha, Stadt;7297;3575;3722
30.06.2015;14522260;      Hartmannsdorf (Landkreis Mittelsachsen);4423;2157;2266
30.06.2015;14522275;      Jahnatal;4948;2507;2441
30.06.2015;14522280;      Königsfeld;1493;765;728
30.06.2015;14522290;      Königshain-Wiederau;2663;1356;1307
30.06.2015;14522300;      Kriebstein;2178;1082;1096
30.06.2015;14522310;      Leisnig, Stadt;8413;4101;4312
30.06.2015;14522320;      Leubsdorf;3417;1711;1706
30.06.2015;14522330;      Lichtenau;7237;3608;3629
30.06.2015;14522340;      Lichtenberg/Erzgeb.;2724;1326;1398
30.06.2015;14522350;      Lunzenau, Stadt;4376;2128;2248
30.06.2015;14522360;      Mittweida, Stadt, Hochschulstadt;14803;7327;7476
30.06.2015;14522380;      Mühlau;2132;1078;1054
30.06.2015;14522390;      Mulda/Sa.;2566;1295;1271
30.06.2015;14522400;      Neuhausen/Erzgeb.;2702;1383;1319
30.06.2015;14522420;      Niederwiesa;4898;2434;2464
30.06.2015;14522430;      Oberschöna;3351;1702;1649
30.06.2015;14522440;      Oederan, Stadt;8161;4037;4124
