"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Mar., 2003","2003/03","95-99 years","95-99",8000,Not Applicable,Not Applicable
,"Mar., 2003","2003/03","100+ years","100+",1672,Not Applicable,Not Applicable
,"Mar., 2003","2003/03","Not Stated","NS",32,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","< 1 year","1",2294,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","1-4 years","1-4",447,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","5-9 years","5-9",231,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","10-14 years","10-14",332,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","15-19 years","15-19",1106,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","20-24 years","20-24",1521,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","25-29 years","25-29",1479,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","30-34 years","30-34",1902,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","35-39 years","35-39",2711,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","40-44 years","40-44",4422,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","45-49 years","45-49",6371,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","50-54 years","50-54",8069,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","55-59 years","55-59",9666,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","60-64 years ","60-64",11808,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","65-69 years","65-69",14378,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","70-74 years","70-74",19742,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","75-79 years","75-79",26770,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","80-84 years","80-84",30518,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","85-89 years","85-89",28008,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","90-94 years","90-94",18720,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","95-99 years","95-99",7255,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","100+ years","100+",1604,Not Applicable,Not Applicable
,"Apr., 2003","2003/04","Not Stated","NS",25,Not Applicable,Not Applicable
,"May, 2003","2003/05","< 1 year","1",2381,Not Applicable,Not Applicable
,"May, 2003","2003/05","1-4 years","1-4",402,Not Applicable,Not Applicable
,"May, 2003","2003/05","5-9 years","5-9",255,Not Applicable,Not Applicable
,"May, 2003","2003/05","10-14 years","10-14",323,Not Applicable,Not Applicable
,"May, 2003","2003/05","15-19 years","15-19",1177,Not Applicable,Not Applicable
,"May, 2003","2003/05","20-24 years","20-24",1705,Not Applicable,Not Applicable
,"May, 2003","2003/05","25-29 years","25-29",1489,Not Applicable,Not Applicable
,"May, 2003","2003/05","30-34 years","30-34",1879,Not Applicable,Not Applicable
,"May, 2003","2003/05","35-39 years","35-39",2898,Not Applicable,Not Applicable
,"May, 2003","2003/05","40-44 years","40-44",4633,Not Applicable,Not Applicable
,"May, 2003","2003/05","45-49 years","45-49",6459,Not Applicable,Not Applicable
,"May, 2003","2003/05","50-54 years","50-54",8187,Not Applicable,Not Applicable
,"May, 2003","2003/05","55-59 years","55-59",9794,Not Applicable,Not Applicable
,"May, 2003","2003/05","60-64 years ","60-64",11800,Not Applicable,Not Applicable
,"May, 2003","2003/05","65-69 years","65-69",14306,Not Applicable,Not Applicable
,"May, 2003","2003/05","70-74 years","70-74",19592,Not Applicable,Not Applicable
,"May, 2003","2003/05","75-79 years","75-79",26676,Not Applicable,Not Applicable
,"May, 2003","2003/05","80-84 years","80-84",30906,Not Applicable,Not Applicable
,"May, 2003","2003/05","85-89 years","85-89",27621,Not Applicable,Not Applicable
,"May, 2003","2003/05","90-94 years","90-94",18318,Not Applicable,Not Applicable
,"May, 2003","2003/05","95-99 years","95-99",6897,Not Applicable,Not Applicable
,"May, 2003","2003/05","100+ years","100+",1436,Not Applicable,Not Applicable
,"May, 2003","2003/05","Not Stated","NS",27,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","< 1 year","1",2361,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","1-4 years","1-4",442,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","5-9 years","5-9",243,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","10-14 years","10-14",347,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","15-19 years","15-19",1212,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","20-24 years","20-24",1780,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","25-29 years","25-29",1552,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","30-34 years","30-34",1880,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","35-39 years","35-39",2815,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","40-44 years","40-44",4505,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","45-49 years","45-49",6230,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","50-54 years","50-54",7723,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","55-59 years","55-59",9508,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","60-64 years ","60-64",11391,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","65-69 years","65-69",13820,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","70-74 years","70-74",18925,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","75-79 years","75-79",25520,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","80-84 years","80-84",29216,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","85-89 years","85-89",26502,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","90-94 years","90-94",17524,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","95-99 years","95-99",6667,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","100+ years","100+",1330,Not Applicable,Not Applicable
,"Jun., 2003","2003/06","Not Stated","NS",33,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","< 1 year","1",2427,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","1-4 years","1-4",415,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","5-9 years","5-9",254,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","10-14 years","10-14",425,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","15-19 years","15-19",1254,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","20-24 years","20-24",1823,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","25-29 years","25-29",1624,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","30-34 years","30-34",2056,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","35-39 years","35-39",2866,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","40-44 years","40-44",4789,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","45-49 years","45-49",6666,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","50-54 years","50-54",8142,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","55-59 years","55-59",9848,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","60-64 years ","60-64",11496,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","65-69 years","65-69",13810,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","70-74 years","70-74",18878,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","75-79 years","75-79",25443,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","80-84 years","80-84",29338,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","85-89 years","85-89",26626,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","90-94 years","90-94",17258,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","95-99 years","95-99",6750,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","100+ years","100+",1405,Not Applicable,Not Applicable
,"Jul., 2003","2003/07","Not Stated","NS",37,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","< 1 year","1",2354,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","1-4 years","1-4",424,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","5-9 years","5-9",260,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","10-14 years","10-14",339,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","15-19 years","15-19",1293,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","20-24 years","20-24",1826,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","25-29 years","25-29",1576,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","30-34 years","30-34",1973,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","35-39 years","35-39",2902,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","40-44 years","40-44",4632,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","45-49 years","45-49",6456,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","50-54 years","50-54",8212,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","55-59 years","55-59",9709,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","60-64 years ","60-64",11433,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","65-69 years","65-69",13946,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","70-74 years","70-74",18879,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","75-79 years","75-79",25269,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","80-84 years","80-84",29142,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","85-89 years","85-89",26316,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","90-94 years","90-94",17344,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","95-99 years","95-99",6748,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","100+ years","100+",1445,Not Applicable,Not Applicable
,"Aug., 2003","2003/08","Not Stated","NS",42,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","< 1 year","1",2273,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","1-4 years","1-4",353,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","5-9 years","5-9",215,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","10-14 years","10-14",297,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","15-19 years","15-19",1103,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","20-24 years","20-24",1659,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","25-29 years","25-29",1500,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","30-34 years","30-34",1851,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","35-39 years","35-39",2790,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","40-44 years","40-44",4498,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","45-49 years","45-49",6223,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","50-54 years","50-54",7988,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","55-59 years","55-59",9439,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","60-64 years ","60-64",11259,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","65-69 years","65-69",13633,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","70-74 years","70-74",18427,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","75-79 years","75-79",24787,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","80-84 years","80-84",28827,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","85-89 years","85-89",26065,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","90-94 years","90-94",17247,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","95-99 years","95-99",6684,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","100+ years","100+",1366,Not Applicable,Not Applicable
,"Sep., 2003","2003/09","Not Stated","NS",19,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","< 1 year","1",2384,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","1-4 years","1-4",355,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","5-9 years","5-9",211,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","10-14 years","10-14",348,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","15-19 years","15-19",1147,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","20-24 years","20-24",1694,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","25-29 years","25-29",1554,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","30-34 years","30-34",1949,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","35-39 years","35-39",2834,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","40-44 years","40-44",4642,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","45-49 years","45-49",6521,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","50-54 years","50-54",8211,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","55-59 years","55-59",10013,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","60-64 years ","60-64",11917,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","65-69 years","65-69",14598,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","70-74 years","70-74",19434,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","75-79 years","75-79",26869,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","80-84 years","80-84",31186,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","85-89 years","85-89",28705,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","90-94 years","90-94",19182,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","95-99 years","95-99",7423,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","100+ years","100+",1589,Not Applicable,Not Applicable
,"Oct., 2003","2003/10","Not Stated","NS",28,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","< 1 year","1",2225,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","1-4 years","1-4",379,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","5-9 years","5-9",213,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","10-14 years","10-14",330,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","15-19 years","15-19",1188,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","20-24 years","20-24",1697,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","25-29 years","25-29",1538,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","30-34 years","30-34",1834,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","35-39 years","35-39",2909,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","40-44 years","40-44",4494,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","45-49 years","45-49",6411,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","50-54 years","50-54",8104,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","55-59 years","55-59",9793,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","60-64 years ","60-64",11639,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","65-69 years","65-69",14362,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","70-74 years","70-74",19361,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","75-79 years","75-79",26439,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","80-84 years","80-84",31176,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","85-89 years","85-89",28597,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","90-94 years","90-94",19124,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","95-99 years","95-99",7568,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","100+ years","100+",1667,Not Applicable,Not Applicable
,"Nov., 2003","2003/11","Not Stated","NS",30,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","< 1 year","1",2444,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","1-4 years","1-4",471,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","5-9 years","5-9",244,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","10-14 years","10-14",365,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","15-19 years","15-19",1169,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","20-24 years","20-24",1672,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","25-29 years","25-29",1592,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","30-34 years","30-34",1991,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","35-39 years","35-39",2898,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","40-44 years","40-44",4983,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","45-49 years","45-49",7124,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","50-54 years","50-54",9123,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","55-59 years","55-59",11261,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","60-64 years ","60-64",13764,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","65-69 years","65-69",16950,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","70-74 years","70-74",22908,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","75-79 years","75-79",31923,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","80-84 years","80-84",37802,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","85-89 years","85-89",36259,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","90-94 years","90-94",24626,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","95-99 years","95-99",9773,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","100+ years","100+",2125,Not Applicable,Not Applicable
,"Dec., 2003","2003/12","Not Stated","NS",31,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","< 1 year","1",2452,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","1-4 years","1-4",439,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","5-9 years","5-9",271,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","10-14 years","10-14",300,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","15-19 years","15-19",1192,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","20-24 years","20-24",1619,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","25-29 years","25-29",1539,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","30-34 years","30-34",1955,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","35-39 years","35-39",2823,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","40-44 years","40-44",4754,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","45-49 years","45-49",7015,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","50-54 years","50-54",8980,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","55-59 years","55-59",10900,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","60-64 years ","60-64",13452,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","65-69 years","65-69",16396,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","70-74 years","70-74",22428,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","75-79 years","75-79",31266,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","80-84 years","80-84",37605,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","85-89 years","85-89",35900,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","90-94 years","90-94",24655,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","95-99 years","95-99",9646,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","100+ years","100+",2143,Not Applicable,Not Applicable
,"Jan., 2004","2004/01","Not Stated","NS",30,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","< 1 year","1",2292,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","1-4 years","1-4",427,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","5-9 years","5-9",202,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","10-14 years","10-14",305,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","15-19 years","15-19",1027,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","20-24 years","20-24",1456,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","25-29 years","25-29",1398,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","30-34 years","30-34",1734,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","35-39 years","35-39",2650,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","40-44 years","40-44",4419,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","45-49 years","45-49",6272,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","50-54 years","50-54",8126,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","55-59 years","55-59",9890,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","60-64 years ","60-64",11585,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","65-69 years","65-69",14625,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","70-74 years","70-74",19481,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","75-79 years","75-79",27083,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","80-84 years","80-84",32360,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","85-89 years","85-89",29532,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","90-94 years","90-94",19884,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","95-99 years","95-99",7782,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","100+ years","100+",1614,Not Applicable,Not Applicable
,"Feb., 2004","2004/02","Not Stated","NS",38,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","< 1 year","1",2340,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","1-4 years","1-4",432,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","5-9 years","5-9",245,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","10-14 years","10-14",283,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","15-19 years","15-19",1084,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","20-24 years","20-24",1604,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","25-29 years","25-29",1571,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","30-34 years","30-34",1904,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","35-39 years","35-39",2719,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","40-44 years","40-44",4480,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","45-49 years","45-49",6787,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","50-54 years","50-54",8411,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","55-59 years","55-59",10330,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","60-64 years ","60-64",12401,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","65-69 years","65-69",15222,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","70-74 years","70-74",20259,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","75-79 years","75-79",27793,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","80-84 years","80-84",32866,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","85-89 years","85-89",30110,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","90-94 years","90-94",19781,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","95-99 years","95-99",7725,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","100+ years","100+",1618,Not Applicable,Not Applicable
,"Mar., 2004","2004/03","Not Stated","NS",30,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","< 1 year","1",2201,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","1-4 years","1-4",394,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","5-9 years","5-9",244,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","10-14 years","10-14",318,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","15-19 years","15-19",1062,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","20-24 years","20-24",1554,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","25-29 years","25-29",1511,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","30-34 years","30-34",1826,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","35-39 years","35-39",2601,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","40-44 years","40-44",4356,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","45-49 years","45-49",6382,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","50-54 years","50-54",8045,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","55-59 years","55-59",9719,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","60-64 years ","60-64",11706,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","65-69 years","65-69",14009,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","70-74 years","70-74",18962,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","75-79 years","75-79",26165,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","80-84 years","80-84",30515,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","85-89 years","85-89",27841,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","90-94 years","90-94",18464,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","95-99 years","95-99",6974,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","100+ years","100+",1486,Not Applicable,Not Applicable
,"Apr., 2004","2004/04","Not Stated","NS",27,Not Applicable,Not Applicable
,"May, 2004","2004/05","< 1 year","1",2348,Not Applicable,Not Applicable
,"May, 2004","2004/05","1-4 years","1-4",416,Not Applicable,Not Applicable
,"May, 2004","2004/05","5-9 years","5-9",244,Not Applicable,Not Applicable
,"May, 2004","2004/05","10-14 years","10-14",352,Not Applicable,Not Applicable
,"May, 2004","2004/05","15-19 years","15-19",1249,Not Applicable,Not Applicable
,"May, 2004","2004/05","20-24 years","20-24",1742,Not Applicable,Not Applicable
,"May, 2004","2004/05","25-29 years","25-29",1601,Not Applicable,Not Applicable
,"May, 2004","2004/05","30-34 years","30-34",1835,Not Applicable,Not Applicable
,"May, 2004","2004/05","35-39 years","35-39",2604,Not Applicable,Not Applicable
,"May, 2004","2004/05","40-44 years","40-44",4505,Not Applicable,Not Applicable
,"May, 2004","2004/05","45-49 years","45-49",6439,Not Applicable,Not Applicable
,"May, 2004","2004/05","50-54 years","50-54",8285,Not Applicable,Not Applicable
,"May, 2004","2004/05","55-59 years","55-59",10105,Not Applicable,Not Applicable
,"May, 2004","2004/05","60-64 years ","60-64",11869,Not Applicable,Not Applicable
,"May, 2004","2004/05","65-69 years","65-69",14187,Not Applicable,Not Applicable
,"May, 2004","2004/05","70-74 years","70-74",18659,Not Applicable,Not Applicable
,"May, 2004","2004/05","75-79 years","75-79",25211,Not Applicable,Not Applicable
,"May, 2004","2004/05","80-84 years","80-84",29985,Not Applicable,Not Applicable
,"May, 2004","2004/05","85-89 years","85-89",26703,Not Applicable,Not Applicable
,"May, 2004","2004/05","90-94 years","90-94",17961,Not Applicable,Not Applicable
,"May, 2004","2004/05","95-99 years","95-99",6757,Not Applicable,Not Applicable
,"May, 2004","2004/05","100+ years","100+",1390,Not Applicable,Not Applicable
,"May, 2004","2004/05","Not Stated","NS",29,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","< 1 year","1",2217,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","1-4 years","1-4",415,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","5-9 years","5-9",247,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","10-14 years","10-14",376,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","15-19 years","15-19",1173,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","20-24 years","20-24",1668,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","25-29 years","25-29",1542,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","30-34 years","30-34",1763,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","35-39 years","35-39",2628,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","40-44 years","40-44",4421,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","45-49 years","45-49",6418,Not Applicable,Not Applicable
,"Jun., 2004","2004/06","50-54 years","50-54",7867,Not Applicable,Not Applicable
