GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
13-Jährige;866625;888067;934374;964148;998197;1003386;1041543;1056459;1039050;1041542;1014501;983007;916588;811992;772261;687665;619733;598785;584633;609108;814789;830204;851653;906515;906602;917485;898888;894547;897955;933225;951793;975676;951535;963201;876155;843177;821674;789421;778980;803332;818118;790759;776505;778286;750865;746291;741827;746890;735760;731698;750180;760080;767132
14-Jährige;836729;872692;893592;940400;968560;997966;1004366;1043525;1060533;1046270;1050075;1019274;983266;914252;808388;773783;691263;615872;607055;598447;803770;824656;840382;859054;913053;914335;923378;901878;895552;901858;935755;955683;979021;953449;964512;876808;843044;821610;789350;779455;804571;815844;793557;780198;784356;764997;754356;747228;751622;740506;735170;754868;785901
15-Jährige;806792;846953;881337;903047;945245;968438;999532;1007027;1048004;1069710;1057693;1058694;1019787;981716;911245;810862;778627;693176;625966;621922;782856;814839;836019;849245;866488;921780;921824;927456;903496;900050;905014;940218;959420;981339;955150;965368;877120;843241;821725;790121;781069;801907;819081;797607;786661;802215;774861;760238;752351;756823;744218;740018;779567
16-Jährige;815046;817312;856638;890369;906220;943624;969953;1002091;1011407;1057402;1082993;1063963;1057380;1017549;978471;912898;814739;775955;701330;639247;802925;793943;827679;845933;857341;875823;929358;926668;930408;908955;904300;911412;945119;962594;983816;956831;966170;878112;844154;823424;792868;778651;806180;824290;805999;811294;817175;781964;766517;757882;760578;750057;766759
17-Jährige;789957;825026;826412;866984;892632;904675;945522;974061;1006940;1021893;1071871;1088984;1063435;1055443;1015867;979869;916022;823995;782384;713297;820427;813263;807674;837537;853779;866417;882723;934259;930674;936004;913630;910945;916538;948796;965211;985333;957494;967034;878572;845514;825751;789388;782723;811200;832637;831042;829658;824185;787745;771938;761348;766249;776420
18-Jährige;806875;805073;839001;842488;870833;891539;907481;950882;981435;1017030;1035169;1077905;1089265;1062747;1055458;1019064;984915;923669;833666;801987;919783;834891;831452;820552;847408;864716;875868;889501;940077;937447;942036;922226;917900;921679;953027;968013;987424;960142;969220;882016;850181;819478;797051;793290;826219;873171;852649;841946;835762;798514;779039;772950;800371
19-Jährige;802885;823800;819240;856663;845036;869437;893928;912432;957127;991539;1027616;1039728;1077933;1087981;1063229;1058944;1024656;989449;934117;858108;1043101;937117;858098;846980;832304;861438;876989;885122;898922;950649;947452;955826;934459;927797;930660;960244;974156;994435;965959;975997;890525;838522;833070;814110;815272;872242;898526;872234;861102;854086;811591;797706;808979
20-Jährige;825718;813882;834275;831232;853529;839465;870328;898189;917900;965790;1003722;1033398;1040278;1077917;1090150;1068901;1066865;1030878;1001521;961962;1103566;1063278;965478;875527;860117;849068;875663;887878;896175;911786;963406;963199;969933;945735;938284;939660;968396;982931;1002389;974478;987099;879628;854829;852118;839173;864859;896869;918164;891659;878869;865943;831435;835379
21-Jährige;835834;843423;826514;852343;832030;849455;840509;874682;904111;927268;977094;1009861;1032757;1039343;1079913;1095613;1076540;1064352;1043470;1030880;1210850;1123839;1090833;982612;887676;876055;862532;885163;897532;908151;922857;978755;976442;980454;955094;947222;947758;976593;989509;1010343;985334;974880;896047;873480;874957;882914;883871;913985;934518;905902;885430;884287;866911
22-Jährige;800051;855491;861250;846532;854727;829558;853669;847633;882509;915011;940795;983307;1008670;1031598;1040986;1085321;1104289;1068446;1078231;1074680;1285483;1232074;1155667;1108178;993754;902400;889225;871889;894645;910085;920340;939322;992803;987005;989696;964505;954957;955596;982397;996465;1020019;970028;992202;914719;895922;918055;900327;899827;929523;947646;910983;902991;920768
