GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
43-Jährige;766903;813615;797457;810200;750042;721629;709550;856522;904679;924245;933457;989899;1043926;1053072;967826;800426;815677;810384;617473;725207;963790;1017312;1102260;1136596;1122374;1143686;1137048;1166335;1179139;1210553;1237357;1259536;1324022;1364641;1399349;1417597;1458750;1463605;1433621;1420253;1381272;1307904;1249441;1163336;1125520;1031271;953024;949657;941433;968885;988332;999583;1032747
44-Jährige;763577;767221;812252;795794;804709;743164;716648;705871;853552;903043;923001;931415;985697;1039176;1044413;965398;799173;827053;811769;622230;853931;965284;1020973;1101699;1136452;1123459;1142500;1133727;1162964;1177514;1208956;1236607;1258214;1321898;1361891;1397128;1414346;1455878;1458688;1429511;1418816;1347294;1311109;1253200;1168551;1134886;1032778;956853;953081;943272;969585;988878;1016097
45-Jährige;772124;763335;765490;810244;790522;797954;738314;713204;703095;851486;901523;920830;927525;980750;1030927;1041285;963687;809799;828253;817022;766308;855771;967939;1020002;1101159;1136509;1122296;1139368;1130351;1161536;1176030;1207862;1234722;1256051;1319398;1359439;1393843;1411275;1450926;1454265;1427530;1389312;1349727;1314370;1257494;1177330;1135810;1035587;959668;954462;944048;969960;1004229
46-Jährige;726637;771073;761518;763048;805076;784132;792748;735020;710451;701290;849821;899077;916591;922919;972577;1027393;1038801;976865;810743;833142;1026526;765356;857224;966423;1018705;1101087;1134751;1119051;1135818;1128557;1159795;1174673;1205707;1232037;1253391;1316638;1355968;1390559;1406185;1446203;1452151;1396633;1390784;1352049;1318041;1265093;1177742;1138293;1038269;960829;954793;943804;983351
47-Jährige;724802;725399;768778;758887;758099;798797;779190;788741;731778;708381;699633;847039;894693;911729;915420;968855;1024300;1046628;977031;814860;1048548;1024886;766062;855152;964453;1017767;1098906;1131029;1115676;1133521;1126482;1157765;1172503;1202886;1228841;1250646;1313381;1352558;1385462;1401084;1443309;1425084;1397245;1391852;1354898;1324666;1264331;1179668;1140019;1038797;960699;954234;956283
48-Jährige;765910;723003;722928;766003;753915;752018;793466;775077;784934;729271;706213;697003;842491;889902;904283;911653;965808;1033300;1046276;980826;1023545;1047660;1023958;763920;852756;962812;1015106;1095008;1126911;1113454;1131138;1124315;1155464;1169433;1199763;1225769;1247058;1309865;1347055;1380276;1397952;1415602;1425407;1397810;1393452;1359970;1323771;1265662;1180738;1139590;1038215;959948;965550
49-Jährige;802575;763427;720195;719915;760922;748041;746978;788980;771173;781894;726697;703410;692823;837497;883225;900308;908447;974811;1032460;1049053;1241732;1021142;1046347;1020301;760980;850718;960222;1011037;1090853;1123726;1110862;1128577;1121436;1152162;1166096;1196513;1221756;1243286;1304418;1341482;1376783;1372129;1415038;1425513;1398539;1396645;1358258;1324077;1265825;1179680;1138105;1036458;969879
50-Jährige;799773;799195;759958;716968;715200;755165;742907;742507;784607;767683;778774;723444;699027;687908;830006;878936;896677;917865;973696;1034032;1319126;1239357;1019881;1042087;1016045;758505;847516;955828;1006823;1087755;1120698;1108022;1125457;1117790;1148046;1162450;1192283;1217606;1237602;1298855;1337515;1354464;1371099;1414446;1425189;1400912;1393957;1357827;1323697;1263945;1177845;1135710;1045286
51-Jährige;616248;795992;795035;755970;711842;709476;749914;738195;738145;780509;764164;774945;718726;694254;680792;825302;875133;902718;916518;974536;1300549;1315597;1236979;1016058;1037011;1011713;754950;843042;951417;1003191;1084091;1117385;1104667;1121792;1113855;1144190;1158089;1188090;1211829;1232064;1294578;1309492;1352831;1369707;1413324;1426217;1397753;1392300;1356220;1320960;1261618;1174754;1142988
52-Jährige;415897;613106;791489;790489;750507;706133;704428;745099;733620;734118;776405;759918;769844;713647;688110;676463;821010;877524;901016;917018;1220379;1297116;1312365;1232285;1011627;1032268;1006447;750475;838421;947557;999443;1080585;1113405;1100655;1117256;1109603;1139359;1153425;1181955;1205857;1227633;1275368;1307360;1350725;1368092;1413510;1421951;1395078;1389766;1352770;1318051;1257877;1180662
53-Jährige;402357;413379;609246;786422;784643;744278;700742;699606;740253;729214;729760;771646;754499;764115;707599;683638;672617;825951;875004;900586;1146723;1216156;1293254;1307185;1226693;1006956;1026512;1000052;746094;834565;943614;995557;1076523;1108775;1095815;1112580;1104521;1134359;1147173;1175744;1200908;1205347;1272539;1304694;1348394;1367400;1408732;1418449;1391794;1385608;1348886;1313453;1261957
54-Jährige;443275;399735;410480;605093;780052;777888;738252;695465;694569;735456;724589;724991;765669;748440;757402;702616;679471;676571;823084;874090;1128177;1142410;1211949;1287342;1300686;1221135;1001397;1019849;993793;742176;830302;939581;991293;1071635;1103272;1090745;1106983;1099322;1127912;1140687;1170341;1179409;1202105;1269286;1301653;1346726;1361914;1404391;1414471;1386952;1380824;1343318;1316302
55-Jährige;581293;440284;396714;407093;599886;772953;771294;732460;690207;689870;730427;719284;719140;759268;741965;751593;697807;678959;674002;821392;1100452;1123006;1138001;1206550;1280790;1294285;1214279;995027;1013112;987985;737949;826037;934937;986273;1065894;1097581;1084932;1101293;1092617;1120993;1134876;1147315;1175714;1198221;1265624;1299396;1340408;1357082;1399366;1408832;1381357;1374519;1344789
56-Jährige;739086;576749;436725;393294;403295;594132;766157;764898;726548;684814;684680;724944;713164;712752;752306;735834;745821;697528;676065;672384;1033704;1094178;1117460;1132432;1200066;1273804;1286327;1206239;988258;1006682;981853;733724;821345;929925;980565;1059733;1091159;1078735;1094070;1085620;1114905;1112845;1142859;1171109;1193969;1261766;1293120;1334645;1351589;1392942;1402572;1373938;1374952
57-Jährige;755782;732669;571511;432844;389269;399017;588180;759129;758040;720285;679114;678851;718471;706539;705916;745558;729788;743045;694065;673956;842657;1028029;1087794;1110812;1125908;1193135;1265488;1277091;1197828;981990;999971;975354;729066;816200;923799;974440;1053028;1084372;1071281;1086385;1079088;1092372;1107669;1137764;1166077;1190144;1254555;1286991;1327937;1344388;1385607;1394414;1372620
58-Jährige;770749;748300;725460;565769;428255;384769;394674;582446;751369;750969;713695;672836;672611;711391;699575;699078;738616;728597;738528;691341;844354;836667;1020722;1080606;1103339;1118876;1185139;1255937;1267603;1189781;975077;992976;968455;723816;810138;917672;967607;1046225;1076343;1063258;1079359;1057328;1086581;1101783;1132207;1160912;1182584;1247579;1279695;1319852;1336643;1376677;1392544
59-Jährige;733827;762356;740030;717418;559209;423208;380394;390288;576245;743575;743297;706444;665934;665770;704148;692217;692213;736719;723342;734900;866311;837640;830024;1012700;1072099;1095291;1110315;1175758;1245948;1258458;1181002;968067;985523;960921;718034;804031;910723;960408;1037905;1067656;1055787;1055732;1050796;1080015;1095255;1126422;1152459;1175219;1239631;1271291;1311139;1327249;1374228
60-Jährige;746995;725244;753514;731053;708888;552050;418125;376083;385710;569878;735449;735199;698599;658023;658161;696241;684689;691136;730224;718762;918528;857774;829899;821917;1002707;1062263;1084984;1099858;1164861;1235197;1247770;1171255;959970;976976;952224;711709;796752;903118;951651;1028292;1059006;1034127;1048257;1043640;1072820;1088896;1117653;1144314;1166642;1230109;1261935;1300524;1324932
61-Jährige;757865;737615;715992;743901;721679;699630;544942;413040;371381;381132;563249;726657;726438;690003;650042;650162;688234;683134;684882;724692;895055;908841;849068;821203;813001;992064;1050711;1073607;1088769;1153916;1223925;1236424;1161033;951271;967657;943321;704410;789258;894146;942293;1019159;1032953;1026167;1040177;1035717;1065097;1079772;1108669;1135091;1157125;1220021;1250775;1297597
62-Jährige;745085;747015;726956;705525;733141;711449;689954;537769;407453;366447;376051;556039;716952;716692;680990;641775;642273;682856;676245;678930;893663;884899;898730;839621;811683;803417;980437;1038475;1061510;1078082;1142454;1212233;1224590;1150029;941731;957891;933915;697389;780604;884708;933237;998618;1024167;1017767;1031649;1027643;1055517;1070337;1098993;1124758;1146667;1208290;1247462
63-Jährige;727747;732676;734690;715314;694111;720926;700228;679883;529826;401617;361384;370462;548080;706361;706436;671815;633166;638243;675363;669902;829254;882563;874387;887726;828935;801471;792578;967437;1025618;1049741;1066784;1130839;1199711;1211778;1138052;931758;947634;924066;689175;771710;875438;911431;989099;1014482;1008255;1022255;1017147;1045334;1059645;1087957;1113442;1134297;1203379
64-Jährige;706892;714229;719127;721141;702461;681380;708377;689087;668817;521532;395335;355644;364523;539239;695576;695717;662080;628613;630695;668224;814311;818264;870720;862751;875519;817697;790143;781208;954141;1012960;1037232;1054855;1118264;1186400;1198112;1125345;921235;937097;913155;680591;762597;854441;901914;978884;1004536;998165;1011191;1006399;1033543;1047822;1076072;1100158;1128835
65-Jährige;687663;692223;699313;704358;706439;688200;668338;695334;676698;657107;512692;388381;349240;357871;530074;683930;684661;656778;620052;623075;807267;802502;806690;857950;849705;862260;804915;777746;769166;940888;999448;1024140;1042034;1104720;1171624;1183296;1111704;909706;925168;901472;671734;743723;844569;891371;967820;993544;986117;999682;994300;1021046;1035309;1061809;1093006
66-Jährige;672717;671828;676343;683424;688493;690290;673461;654804;681523;663758;645080;502828;381031;342567;351224;520470;671894;678477;646778;611570;747355;794236;789958;793902;843928;835814;847696;791148;764769;757258;926714;985463;1010252;1028050;1089904;1156267;1167798;1097459;897432;912614;889666;651478;734255;833783;880316;955943;980637;973689;986573;981186;1007452;1020393;1053177
67-Jährige;631141;655045;654232;659190;666372;670581;673811;658094;640440;667015;649774;631961;492455;373000;335632;343935;510760;660981;666829;636502;732704;734588;780948;776619;780063;828959;820806;832478;777177;752064;744532;912376;970422;995364;1013057;1074640;1140239;1151644;1082064;884580;899784;867419;642874;724230;822979;868455;942547;967521;960173;972595;967555;991948;1010953
68-Jährige;620685;612676;635978;635363;640443;647451;652373;657150;641738;624890;651337;634711;617867;481362;364801;328388;336480;499055;648227;654867;763824;718438;721057;766438;762311;765320;812461;804611;816353;762724;738522;731607;896637;954207;979443;997418;1058557;1123665;1134524;1065742;871630;876700;854952;633358;714011;811207;855561;928887;953314;946118;958288;951916;981855
69-Jährige;585736;600034;592540;615364;615051;620217;627532;634017;638444;624517;608575;634628;618852;602392;469564;356020;320719;327443;488547;634927;790327;746931;703598;706274;750717;746610;749048;794937;787613;799984;747726;724474;717779;880013;937396;962778;980878;1041550;1105369;1116101;1049097;845424;863465;841653;623768;702735;798439;841915;914137;938087;930500;941864;940615
70-Jährige;540664;564349;578262;571141;593464;592674;599228;607471;613833;618988;606077;591213;616780;601318;586581;457232;346715;312622;319456;477527;769329;771059;729466;687906;690331;733953;729936;731874;776793;770179;782641;732099;709693;703388;862525;919682;945228;963729;1023231;1085802;1096898;1020930;831646;849127;827839;613134;690163;784815;827191;898100;921770;913046;929155
71-Jährige;499245;518756;541451;555055;548791;569914;570129;577657;585621;592921;598355;586319;572547;597542;583472;569601;444037;336902;304296;311380;568913;747910;750995;710515;670901;673464;715813;712054;713860;758324;752048;764629;715508;693668;688150;844349;901242;926983;945240;1003830;1065893;1065079;1002856;816708;834208;812814;601545;676907;770080;811462;881247;902997;899169
72-Jährige;465236;476903;495682;517538;530841;524719;545751;547238;554768;563209;570870;576302;565725;552450;577545;564458;551582;429928;326917;295521;364069;553649;726123;729129;690621;652614;655144;696299;693049;695572;738595;732999;745642;697782;677310;673315;826954;881776;907323;925348;983641;1037842;1044614;983447;801337;817825;796592;589302;662844;754507;795008;862165;887427
73-Jährige;420033;442405;453688;471666;492536;504663;500113;521604;523062;531492;540033;547498;553433;543930;532300;556623;544329;535134;415989;316822;343694;352116;535828;702383;706566;669444;632779;636185;676017;673646;676352;718511;712768;725229;679357;660340;656431;807265;860695;886392;904918;953281;1015924;1022605;963133;784324;800408;779008;575993;648189;737688;776134;845881
74-Jährige;393157;397313;418650;428923;446564;465711;478111;475619;495854;498223;506764;515462;522877;529356;521201;510910;534380;525860;516010;401479;368313;330917;339674;516727;678019;682079;646559;612335;616161;655313;653544;656444;696700;691416;704524;662044;642140;638909;785767;838552;864272;875412;931232;992433;999697;941096;766229;781877;760437;561837;632357;718950;759396
75-Jährige;350440;369740;373628;394051;403692;419802;438754;451864;449373;469746;472463;480796;489810;497256;504763;497209;488672;512344;504952;496277;471623;353196;317760;326222;496802;651931;656441;623176;590749;595573;633548;632558;634908;673450;669442;682606;641829;623106;620088;763265;815218;830647;852830;907640;968206;974315;917490;746906;761531;740528;546752;614207;701311
76-Jährige;319059;327520;345353;349302;368550;377038;393222;412569;424396;422913;442640;445240;454051;463125;471499;479078;472958;465184;489027;482730;582168;449722;337695;303718;312467;475609;624621;630189;598611;568893;574342;610897;610122;613167;649616;646251;659706;620758;602648;599845;739412;782909;806578;828350;882884;940958;947484;892443;726066;740375;718997;530053;597377
77-Jährige;292028;296144;303917;320384;324518;342077;350687;367755;384882;397036;395848;414461;417541;426406;436504;444775;452572;448078;441563;465214;566557;553256;428066;321521;289594;298079;453667;596523;602955;573642;545926;551956;587216;586192;589997;624560;622986;635869;598135;581029;578766;705785;757208;780463;803177;855435;912772;918608;865057;704285;717058;694896;513256
78-Jährige;257160;268617;272677;280106;295599;298452;316089;325275;340908;357600;369267;368032;386429;389525;399101;408967;417239;426302;422912;417403;542761;534981;523734;405212;304943;274309;282850;431183;567459;574718;547767;521892;528378;561897;562120;565470;598848;597444;609940;573960;558084;549808;679803;729582;753546;775260;826172;882457;887604;836403;680345;691201;670318
79-Jährige;234212;234832;245036;249351;256297;269614;273359;291243;298711;314095;329936;340518;340193;357530;361769;370768;380926;391761;399506;396719;482427;508590;503285;493015;381848;287805;258661;267392;407832;537637;545651;520874;496753;503089;536004;536238;539907;571745;570277;582517;548611;527823;526630;651700;701492;723930;745639;795009;849126;854829;804876;653265;664178
80-Jährige;201345;211095;212410;221530;226014;231423;244621;249307;265626;272915;287199;301835;312066;312025;329373;333286;342599;356158;364232;371847;456161;448521;474626;469792;461526;357341;269767;242731;251347;384281;506703;515478;492383;469764;477455;508410;508975;513056;542723;541417;553769;515193;502732;501647;622710;669656;692490;713800;761230;814346;818459;769265;624797
81-Jährige;177407;179850;188856;189954;198540;201849;207844;221372;224642;240568;247191;260288;274124;283277;284964;300845;304936;317832;328250;336067;424164;420654;415317;439639;436275;429081;331944;251539;226560;235001;360199;475438;483677;462122;443098;450433;480049;480678;484125;512151;511542;517075;487563;476219;476467;590675;636554;658716;679410;726011;775452;777644;732111
82-Jährige;154682;156449;158768;166686;168008;175499;179036;185772;197431;200798;216146;221286;233796;246320;255898;257312;272356;277037;290236;300388;378121;386653;385529;380947;404336;401805;395651;306931;233017;210078;218196;335240;442751;450653;432259;414476;422278;449941;450513;453700;480272;475838;485876;458304;449106;448413;557352;601037;622557;643708;687458;732760;735288
83-Jährige;131028;134366;136415;138524;145706;146704;153817;158100;163957;174817;177984;192064;196565;207957;220121;228797;230497;246038;250073;262251;334513;341221;350600;350219;346665;369232;366991;362638;281564;214385;193387;201446;309447;408189;418011;400714;385189;393333;418497;418992;422592;441272;443417;452450;428716;419124;419843;521955;563565;585337;604464;644569;687916
84-Jährige;107272;112236;115396;117468;119606;125107;126958;134111;137737;143479;153044;155617;168794;172359;184137;194614;202522;206439;219680;223512;288293;298291;305938;314516;315572;312887;333810;332939;329508;255958;195477;177109;184069;282744;374843;383977;368690;355099;362878;385635;386792;384053;407244;409089;419703;396544;388732;389704;484835;524879;544669;561973;600054
85 Jahre und mehr;378338;388686;402805;416481;430771;442747;459313;480930;502370;527272;553256;580885;609081;643135;680281;719485;762258;805389;851485;898171;1129557;1185151;1249284;1307626;1368583;1423854;1467219;1531507;1586896;1635134;1612696;1540092;1451680;1374891;1411316;1522810;1639661;1735029;1802376;1868798;1951702;1935741;1998887;2068651;2147596;2204791;2246939;2265473;2277509;2386854;2505932;2625444;2732786
Insgesamt;61001164;61502503;61809378;62101369;61991475;61644624;61441996;61352745;61321663;61439342;61657945;61712689;61546101;61306669;61049256;61020474;61140461;61238079;61715103;62679035;79753227;80274564;80974632;81338093;81538603;81817499;82012162;82057379;82037011;82163475;82259540;82440309;82536680;82531671;82500849;82437995;82314906;82217837;82002356;81802257;81751602;80327900;80523746;80767463;81197537;82175684;82521653;82792351;83019213;83166711;83155031;83237124;84358845
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.12.2023 / 16:55:35
