year,age_group,jurisdiction,population
1999,0-29,Deutschland,771223
2000,0-29,Deutschland,766554
2001,0-29,Deutschland,735755
2002,0-29,Deutschland,719250
2003,0-29,Deutschland,706449
2004,0-29,Deutschland,704988
2005,0-29,Deutschland,685987
2006,0-29,Deutschland,673132
2007,0-29,Deutschland,685495
2008,0-29,Deutschland,683350
2009,0-29,Deutschland,665151
2010,0-29,Deutschland,678233
2011,0-29,Deutschland,658332
2012,0-29,Deutschland,674411
2013,0-29,Deutschland,683070
2014,0-29,Deutschland,716419
2015,0-29,Deutschland,744721
2016,0-29,Deutschland,788299
2017,0-29,Deutschland,785074
2018,0-29,Deutschland,783978
2019,0-29,Deutschland,774870
2020,0-29,Deutschland,769380
2021,0-29,Deutschland,791254
2022,0-29,Deutschland,799265
2023,0-29,Deutschland,799265
1999,0-29,Deutschland,788905
2000,0-29,Deutschland,772940
2001,0-29,Deutschland,772147
2002,0-29,Deutschland,739547
2003,0-29,Deutschland,722845
2004,0-29,Deutschland,710046
2005,0-29,Deutschland,708013
2006,0-29,Deutschland,688498
2007,0-29,Deutschland,676142
2008,0-29,Deutschland,688205
2009,0-29,Deutschland,687796
2010,0-29,Deutschland,670614
2011,0-29,Deutschland,679236
2012,0-29,Deutschland,665848
2013,0-29,Deutschland,684337
2014,0-29,Deutschland,695915
2015,0-29,Deutschland,740078
2016,0-29,Deutschland,762519
2017,0-29,Deutschland,796149
2018,0-29,Deutschland,796374
2019,0-29,Deutschland,794132
2020,0-29,Deutschland,783593
2021,0-29,Deutschland,780795
2022,0-29,Deutschland,788700
2023,0-29,Deutschland,788700
1999,0-29,Deutschland,814425
2000,0-29,Deutschland,789766
2001,0-29,Deutschland,775918
2002,0-29,Deutschland,773772
2003,0-29,Deutschland,741235
2004,0-29,Deutschland,724130
2005,0-29,Deutschland,710594
2006,0-29,Deutschland,708358
2007,0-29,Deutschland,689181
2008,0-29,Deutschland,676795
2009,0-29,Deutschland,689510
2010,0-29,Deutschland,690118
2011,0-29,Deutschland,669579
2012,0-29,Deutschland,684310
2013,0-29,Deutschland,672324
2014,0-29,Deutschland,694369
2015,0-29,Deutschland,715608
2016,0-29,Deutschland,753217
2017,0-29,Deutschland,770628
2018,0-29,Deutschland,802651
2019,0-29,Deutschland,802415
2020,0-29,Deutschland,798366
2021,0-29,Deutschland,789145
2022,0-29,Deutschland,797134
2023,0-29,Deutschland,797134
1999,0-29,Deutschland,799778
2000,0-29,Deutschland,814674
2001,0-29,Deutschland,792198
2002,0-29,Deutschland,777811
2003,0-29,Deutschland,775035
2004,0-29,Deutschland,741711
2005,0-29,Deutschland,724512
2006,0-29,Deutschland,710219
2007,0-29,Deutschland,708342
2008,0-29,Deutschland,689055
2009,0-29,Deutschland,677640
2010,0-29,Deutschland,691188
2011,0-29,Deutschland,689691
2012,0-29,Deutschland,674000
2013,0-29,Deutschland,690111
2014,0-29,Deutschland,681109
2015,0-29,Deutschland,713757
2016,0-29,Deutschland,727203
2017,0-29,Deutschland,760868
2018,0-29,Deutschland,776763
2019,0-29,Deutschland,807816
2020,0-29,Deutschland,806198
2021,0-29,Deutschland,803334
2022,0-29,Deutschland,811467
2023,0-29,Deutschland,811467
1999,0-29,Deutschland,773303
2000,0-29,Deutschland,799910
2001,0-29,Deutschland,816966
2002,0-29,Deutschland,794141
2003,0-29,Deutschland,778756
2004,0-29,Deutschland,775447
2005,0-29,Deutschland,741752
2006,0-29,Deutschland,723939
2007,0-29,Deutschland,709884
2008,0-29,Deutschland,707767
2009,0-29,Deutschland,689511
2010,0-29,Deutschland,678967
2011,0-29,Deutschland,689748
2012,0-29,Deutschland,693673
2013,0-29,Deutschland,679650
2014,0-29,Deutschland,698599
2015,0-29,Deutschland,699382
2016,0-29,Deutschland,725208
2017,0-29,Deutschland,734059
2018,0-29,Deutschland,766631
2019,0-29,Deutschland,782143
2020,0-29,Deutschland,811601
2021,0-29,Deutschland,810805
2022,0-29,Deutschland,819014
2023,0-29,Deutschland,819014
1999,0-29,Deutschland,782784
2000,0-29,Deutschland,773740
2001,0-29,Deutschland,802195
2002,0-29,Deutschland,819000
2003,0-29,Deutschland,794971
2004,0-29,Deutschland,778818
2005,0-29,Deutschland,775287
2006,0-29,Deutschland,741017
2007,0-29,Deutschland,723274
2008,0-29,Deutschland,708961
2009,0-29,Deutschland,707731
2010,0-29,Deutschland,690501
2011,0-29,Deutschland,677338
2012,0-29,Deutschland,693323
2013,0-29,Deutschland,699007
2014,0-29,Deutschland,687851
2015,0-29,Deutschland,716863
2016,0-29,Deutschland,709649
2017,0-29,Deutschland,732088
2018,0-29,Deutschland,739729
2019,0-29,Deutschland,771479
2020,0-29,Deutschland,785754
2021,0-29,Deutschland,816142
2022,0-29,Deutschland,824405
2023,0-29,Deutschland,824405
1999,0-29,Deutschland,814607
2000,0-29,Deutschland,782802
2001,0-29,Deutschland,775663
2002,0-29,Deutschland,803429
2003,0-29,Deutschland,819102
2004,0-29,Deutschland,794354
2005,0-29,Deutschland,777473
2006,0-29,Deutschland,773550
2007,0-29,Deutschland,739386
2008,0-29,Deutschland,721364
2009,0-29,Deutschland,708024
2010,0-29,Deutschland,707769
2011,0-29,Deutschland,687268
2012,0-29,Deutschland,679924
2013,0-29,Deutschland,697337
2014,0-29,Deutschland,706180
2015,0-29,Deutschland,704716
2016,0-29,Deutschland,725990
2017,0-29,Deutschland,715528
2018,0-29,Deutschland,736749
2019,0-29,Deutschland,743954
2020,0-29,Deutschland,774587
2021,0-29,Deutschland,789397
2022,0-29,Deutschland,797389
2023,0-29,Deutschland,797389
1999,0-29,Deutschland,833793
2000,0-29,Deutschland,814593
2001,0-29,Deutschland,784716
2002,0-29,Deutschland,777074
2003,0-29,Deutschland,803783
2004,0-29,Deutschland,818738
2005,0-29,Deutschland,793425
2006,0-29,Deutschland,776037
2007,0-29,Deutschland,772569
2008,0-29,Deutschland,738257
2009,0-29,Deutschland,721083
2010,0-29,Deutschland,708585
2011,0-29,Deutschland,705953
2012,0-29,Deutschland,690255
2013,0-29,Deutschland,684320
2014,0-29,Deutschland,704334
2015,0-29,Deutschland,723366
2016,0-29,Deutschland,714614
2017,0-29,Deutschland,732586
2018,0-29,Deutschland,720613
2019,0-29,Deutschland,741969
2020,0-29,Deutschland,747447
2021,0-29,Deutschland,779278
2022,0-29,Deutschland,787167
2023,0-29,Deutschland,787167
1999,0-29,Deutschland,866345
2000,0-29,Deutschland,834766
2001,0-29,Deutschland,817082
2002,0-29,Deutschland,786980
2003,0-29,Deutschland,778263
2004,0-29,Deutschland,804014
2005,0-29,Deutschland,818432
2006,0-29,Deutschland,792530
2007,0-29,Deutschland,775254
2008,0-29,Deutschland,771931
2009,0-29,Deutschland,738558
2010,0-29,Deutschland,721979
2011,0-29,Deutschland,706644
2012,0-29,Deutschland,708941
2013,0-29,Deutschland,694557
2014,0-29,Deutschland,691490
2015,0-29,Deutschland,720452
2016,0-29,Deutschland,733904
2017,0-29,Deutschland,721168
2018,0-29,Deutschland,738238
2019,0-29,Deutschland,725807
2020,0-29,Deutschland,745883
2021,0-29,Deutschland,752469
2022,0-29,Deutschland,760087
2023,0-29,Deutschland,760087
1999,0-29,Deutschland,954074
2000,0-29,Deutschland,867444
2001,0-29,Deutschland,837502
2002,0-29,Deutschland,819359
2003,0-29,Deutschland,788064
2004,0-29,Deutschland,779062
2005,0-29,Deutschland,803903
2006,0-29,Deutschland,817702
2007,0-29,Deutschland,791797
2008,0-29,Deutschland,774484
2009,0-29,Deutschland,772331
2010,0-29,Deutschland,739511
2011,0-29,Deutschland,720123
2012,0-29,Deutschland,709866
2013,0-29,Deutschland,713339
2014,0-29,Deutschland,701623
2015,0-29,Deutschland,706517
2016,0-29,Deutschland,729770
2017,0-29,Deutschland,740846
2018,0-29,Deutschland,726909
2019,0-29,Deutschland,743761
2020,0-29,Deutschland,729897
2021,0-29,Deutschland,750855
2022,0-29,Deutschland,758457
2023,0-29,Deutschland,758457
1999,0-29,Deutschland,943186
2000,0-29,Deutschland,955399
2001,0-29,Deutschland,870230
2002,0-29,Deutschland,840052
2003,0-29,Deutschland,820427
2004,0-29,Deutschland,788748
2005,0-29,Deutschland,779243
2006,0-29,Deutschland,803344
2007,0-29,Deutschland,817125
2008,0-29,Deutschland,790980
2009,0-29,Deutschland,774359
2010,0-29,Deutschland,773329
2011,0-29,Deutschland,737771
2012,0-29,Deutschland,723162
2013,0-29,Deutschland,714054
2014,0-29,Deutschland,720022
2015,0-29,Deutschland,716699
2016,0-29,Deutschland,715498
2017,0-29,Deutschland,736082
2018,0-29,Deutschland,746345
2019,0-29,Deutschland,732376
2020,0-29,Deutschland,747757
2021,0-29,Deutschland,734666
2022,0-29,Deutschland,742104
2023,0-29,Deutschland,742104
1999,0-29,Deutschland,970098
2000,0-29,Deutschland,945001
2001,0-29,Deutschland,958622
2002,0-29,Deutschland,873253
2003,0-29,Deutschland,841560
2004,0-29,Deutschland,821374
2005,0-29,Deutschland,789354
2006,0-29,Deutschland,779077
2007,0-29,Deutschland,803094
2008,0-29,Deutschland,816759
2009,0-29,Deutschland,791311
2010,0-29,Deutschland,775389
2011,0-29,Deutschland,771181
2012,0-29,Deutschland,740709
2013,0-29,Deutschland,727166
2014,0-29,Deutschland,720522
2015,0-29,Deutschland,733698
2016,0-29,Deutschland,725080
2017,0-29,Deutschland,721745
2018,0-29,Deutschland,741530
2019,0-29,Deutschland,751663
2020,0-29,Deutschland,736417
2021,0-29,Deutschland,752600
2022,0-29,Deutschland,760219
2023,0-29,Deutschland,760219
1999,0-29,Deutschland,949410
2000,0-29,Deutschland,972105
2001,0-29,Deutschland,948491
2002,0-29,Deutschland,961356
2003,0-29,Deutschland,874970
2004,0-29,Deutschland,842561
2005,0-29,Deutschland,821912
2006,0-29,Deutschland,789245
2007,0-29,Deutschland,779122
2008,0-29,Deutschland,802868
2009,0-29,Deutschland,816842
2010,0-29,Deutschland,792329
2011,0-29,Deutschland,773539
2012,0-29,Deutschland,774419
2013,0-29,Deutschland,744676
2014,0-29,Deutschland,733069
2015,0-29,Deutschland,733981
2016,0-29,Deutschland,741434
2017,0-29,Deutschland,730820
2018,0-29,Deutschland,726923
2019,0-29,Deutschland,746670
2020,0-29,Deutschland,755570
2021,0-29,Deutschland,741247
2022,0-29,Deutschland,748751
2023,0-29,Deutschland,748751
1999,0-29,Deutschland,933225
2000,0-29,Deutschland,951793
2001,0-29,Deutschland,975676
2002,0-29,Deutschland,951535
2003,0-29,Deutschland,963201
2004,0-29,Deutschland,876155
2005,0-29,Deutschland,843177
2006,0-29,Deutschland,821674
2007,0-29,Deutschland,789421
2008,0-29,Deutschland,778980
2009,0-29,Deutschland,803332
2010,0-29,Deutschland,818118
2011,0-29,Deutschland,790759
2012,0-29,Deutschland,776505
2013,0-29,Deutschland,778286
2014,0-29,Deutschland,750865
2015,0-29,Deutschland,746291
2016,0-29,Deutschland,741827
2017,0-29,Deutschland,746890
2018,0-29,Deutschland,735760
2019,0-29,Deutschland,731698
2020,0-29,Deutschland,750180
2021,0-29,Deutschland,760080
2022,0-29,Deutschland,767775
2023,0-29,Deutschland,767775
1999,0-29,Deutschland,901858
2000,0-29,Deutschland,935755
2001,0-29,Deutschland,955683
2002,0-29,Deutschland,979021
2003,0-29,Deutschland,953449
2004,0-29,Deutschland,964512
2005,0-29,Deutschland,876808
2006,0-29,Deutschland,843044
2007,0-29,Deutschland,821610
2008,0-29,Deutschland,789350
2009,0-29,Deutschland,779455
2010,0-29,Deutschland,804571
2011,0-29,Deutschland,815844
2012,0-29,Deutschland,793557
2013,0-29,Deutschland,780198
2014,0-29,Deutschland,784356
2015,0-29,Deutschland,764997
2016,0-29,Deutschland,754356
2017,0-29,Deutschland,747228
2018,0-29,Deutschland,751622
2019,0-29,Deutschland,740506
2020,0-29,Deutschland,735170
2021,0-29,Deutschland,754868
2022,0-29,Deutschland,762510
2023,0-29,Deutschland,762510
1999,0-29,Deutschland,900050
2000,0-29,Deutschland,905014
2001,0-29,Deutschland,940218
2002,0-29,Deutschland,959420
2003,0-29,Deutschland,981339
2004,0-29,Deutschland,955150
2005,0-29,Deutschland,965368
2006,0-29,Deutschland,877120
2007,0-29,Deutschland,843241
2008,0-29,Deutschland,821725
2009,0-29,Deutschland,790121
2010,0-29,Deutschland,781069
2011,0-29,Deutschland,801907
2012,0-29,Deutschland,819081
2013,0-29,Deutschland,797607
2014,0-29,Deutschland,786661
2015,0-29,Deutschland,802215
2016,0-29,Deutschland,774861
2017,0-29,Deutschland,760238
2018,0-29,Deutschland,752351
2019,0-29,Deutschland,756823
2020,0-29,Deutschland,744218
2021,0-29,Deutschland,740018
2022,0-29,Deutschland,747510
2023,0-29,Deutschland,747510
1999,0-29,Deutschland,908955
2000,0-29,Deutschland,904300
2001,0-29,Deutschland,911412
2002,0-29,Deutschland,945119
2003,0-29,Deutschland,962594
2004,0-29,Deutschland,983816
2005,0-29,Deutschland,956831
2006,0-29,Deutschland,966170
2007,0-29,Deutschland,878112
2008,0-29,Deutschland,844154
2009,0-29,Deutschland,823424
2010,0-29,Deutschland,792868
2011,0-29,Deutschland,778651
2012,0-29,Deutschland,806180
2013,0-29,Deutschland,824290
2014,0-29,Deutschland,805999
2015,0-29,Deutschland,811294
2016,0-29,Deutschland,817175
2017,0-29,Deutschland,781964
2018,0-29,Deutschland,766517
2019,0-29,Deutschland,757882
2020,0-29,Deutschland,760578
2021,0-29,Deutschland,750057
2022,0-29,Deutschland,757651
2023,0-29,Deutschland,757651
1999,0-29,Deutschland,936004
2000,0-29,Deutschland,913630
2001,0-29,Deutschland,910945
2002,0-29,Deutschland,916538
2003,0-29,Deutschland,948796
2004,0-29,Deutschland,965211
2005,0-29,Deutschland,985333
2006,0-29,Deutschland,957494
2007,0-29,Deutschland,967034
2008,0-29,Deutschland,878572
2009,0-29,Deutschland,845514
2010,0-29,Deutschland,825751
2011,0-29,Deutschland,789388
2012,0-29,Deutschland,782723
2013,0-29,Deutschland,811200
2014,0-29,Deutschland,832637
2015,0-29,Deutschland,831042
2016,0-29,Deutschland,829658
2017,0-29,Deutschland,824185
2018,0-29,Deutschland,787745
2019,0-29,Deutschland,771938
2020,0-29,Deutschland,761348
2021,0-29,Deutschland,766249
2022,0-29,Deutschland,774006
2023,0-29,Deutschland,774006
1999,0-29,Deutschland,937447
2000,0-29,Deutschland,942036
2001,0-29,Deutschland,922226
2002,0-29,Deutschland,917900
2003,0-29,Deutschland,921679
2004,0-29,Deutschland,953027
2005,0-29,Deutschland,968013
2006,0-29,Deutschland,987424
2007,0-29,Deutschland,960142
2008,0-29,Deutschland,969220
2009,0-29,Deutschland,882016
2010,0-29,Deutschland,850181
2011,0-29,Deutschland,819478
2012,0-29,Deutschland,797051
2013,0-29,Deutschland,793290
2014,0-29,Deutschland,826219
2015,0-29,Deutschland,873171
2016,0-29,Deutschland,852649
2017,0-29,Deutschland,841946
2018,0-29,Deutschland,835762
2019,0-29,Deutschland,798514
2020,0-29,Deutschland,779039
2021,0-29,Deutschland,772950
2022,0-29,Deutschland,780775
2023,0-29,Deutschland,780775
1999,0-29,Deutschland,950649
2000,0-29,Deutschland,947452
2001,0-29,Deutschland,955826
2002,0-29,Deutschland,934459
2003,0-29,Deutschland,927797
2004,0-29,Deutschland,930660
2005,0-29,Deutschland,960244
2006,0-29,Deutschland,974156
2007,0-29,Deutschland,994435
2008,0-29,Deutschland,965959
2009,0-29,Deutschland,975997
2010,0-29,Deutschland,890525
2011,0-29,Deutschland,838522
2012,0-29,Deutschland,833070
2013,0-29,Deutschland,814110
2014,0-29,Deutschland,815272
2015,0-29,Deutschland,872242
2016,0-29,Deutschland,898526
2017,0-29,Deutschland,872234
2018,0-29,Deutschland,861102
2019,0-29,Deutschland,854086
2020,0-29,Deutschland,811591
2021,0-29,Deutschland,797706
2022,0-29,Deutschland,805782
2023,0-29,Deutschland,805782
1999,0-29,Deutschland,911786
2000,0-29,Deutschland,963406
2001,0-29,Deutschland,963199
2002,0-29,Deutschland,969933
2003,0-29,Deutschland,945735
2004,0-29,Deutschland,938284
2005,0-29,Deutschland,939660
2006,0-29,Deutschland,968396
2007,0-29,Deutschland,982931
2008,0-29,Deutschland,1002389
2009,0-29,Deutschland,974478
2010,0-29,Deutschland,987099
2011,0-29,Deutschland,879628
2012,0-29,Deutschland,854829
2013,0-29,Deutschland,852118
2014,0-29,Deutschland,839173
2015,0-29,Deutschland,864859
2016,0-29,Deutschland,896869
2017,0-29,Deutschland,918164
2018,0-29,Deutschland,891659
2019,0-29,Deutschland,878869
2020,0-29,Deutschland,865943
2021,0-29,Deutschland,831435
2022,0-29,Deutschland,839852
2023,0-29,Deutschland,839852
1999,0-29,Deutschland,908151
2000,0-29,Deutschland,922857
2001,0-29,Deutschland,978755
2002,0-29,Deutschland,976442
2003,0-29,Deutschland,980454
2004,0-29,Deutschland,955094
2005,0-29,Deutschland,947222
2006,0-29,Deutschland,947758
2007,0-29,Deutschland,976593
2008,0-29,Deutschland,989509
2009,0-29,Deutschland,1010343
2010,0-29,Deutschland,985334
2011,0-29,Deutschland,974880
2012,0-29,Deutschland,896047
2013,0-29,Deutschland,873480
2014,0-29,Deutschland,874957
2015,0-29,Deutschland,882914
2016,0-29,Deutschland,883871
2017,0-29,Deutschland,913985
2018,0-29,Deutschland,934518
2019,0-29,Deutschland,905902
2020,0-29,Deutschland,885430
2021,0-29,Deutschland,884287
2022,0-29,Deutschland,893239
2023,0-29,Deutschland,893239
1999,0-29,Deutschland,910085
2000,0-29,Deutschland,920340
2001,0-29,Deutschland,939322
2002,0-29,Deutschland,992803
2003,0-29,Deutschland,987005
2004,0-29,Deutschland,989696
2005,0-29,Deutschland,964505
2006,0-29,Deutschland,954957
2007,0-29,Deutschland,955596
2008,0-29,Deutschland,982397
2009,0-29,Deutschland,996465
2010,0-29,Deutschland,1020019
2011,0-29,Deutschland,970028
2012,0-29,Deutschland,992202
2013,0-29,Deutschland,914719
2014,0-29,Deutschland,895922
2015,0-29,Deutschland,918055
2016,0-29,Deutschland,900327
2017,0-29,Deutschland,899827
2018,0-29,Deutschland,929523
2019,0-29,Deutschland,947646
2020,0-29,Deutschland,910983
2021,0-29,Deutschland,902991
2022,0-29,Deutschland,912133
2023,0-29,Deutschland,912133
1999,0-29,Deutschland,905701
2000,0-29,Deutschland,921590
2001,0-29,Deutschland,936609
2002,0-29,Deutschland,952985
2003,0-29,Deutschland,1003813
2004,0-29,Deutschland,995985
2005,0-29,Deutschland,999016
2006,0-29,Deutschland,972035
2007,0-29,Deutschland,962301
2008,0-29,Deutschland,960436
2009,0-29,Deutschland,988341
2010,0-29,Deutschland,1006306
2011,0-29,Deutschland,1004948
2012,0-29,Deutschland,988850
2013,0-29,Deutschland,1013206
2014,0-29,Deutschland,938818
2015,0-29,Deutschland,940583
2016,0-29,Deutschland,935857
2017,0-29,Deutschland,918306
2018,0-29,Deutschland,916924
2019,0-29,Deutschland,944591
2020,0-29,Deutschland,955511
2021,0-29,Deutschland,930132
2022,0-29,Deutschland,939549
2023,0-29,Deutschland,939549
1999,0-29,Deutschland,890669
2000,0-29,Deutschland,916064
2001,0-29,Deutschland,936232
2002,0-29,Deutschland,948860
2003,0-29,Deutschland,962464
2004,0-29,Deutschland,1011157
2005,0-29,Deutschland,1003405
2006,0-29,Deutschland,1005124
2007,0-29,Deutschland,978079
2008,0-29,Deutschland,965108
2009,0-29,Deutschland,964830
2010,0-29,Deutschland,997233
2011,0-29,Deutschland,992593
2012,0-29,Deutschland,1022753
2013,0-29,Deutschland,1008508
2014,0-29,Deutschland,1037458
2015,0-29,Deutschland,981467
2016,0-29,Deutschland,957107
2017,0-29,Deutschland,952232
2018,0-29,Deutschland,934648
2019,0-29,Deutschland,931423
2020,0-29,Deutschland,952624
2021,0-29,Deutschland,973682
2022,0-29,Deutschland,983539
2023,0-29,Deutschland,983539
1999,0-29,Deutschland,912320
2000,0-29,Deutschland,898814
2001,0-29,Deutschland,928552
2002,0-29,Deutschland,946009
2003,0-29,Deutschland,956147
2004,0-29,Deutschland,967850
2005,0-29,Deutschland,1016846
2006,0-29,Deutschland,1007075
2007,0-29,Deutschland,1009292
2008,0-29,Deutschland,978716
2009,0-29,Deutschland,967824
2010,0-29,Deutschland,971896
2011,0-29,Deutschland,982758
2012,0-29,Deutschland,1009129
2013,0-29,Deutschland,1041333
2014,0-29,Deutschland,1030691
2015,0-29,Deutschland,1081508
2016,0-29,Deutschland,996131
2017,0-29,Deutschland,971610
2018,0-29,Deutschland,967092
2019,0-29,Deutschland,947032
2020,0-29,Deutschland,939020
2021,0-29,Deutschland,968595
2022,0-29,Deutschland,978401
2023,0-29,Deutschland,978401
1999,0-29,Deutschland,931254
2000,0-29,Deutschland,918245
2001,0-29,Deutschland,909454
2002,0-29,Deutschland,936263
2003,0-29,Deutschland,951628
2004,0-29,Deutschland,959583
2005,0-29,Deutschland,971856
2006,0-29,Deutschland,1019020
2007,0-29,Deutschland,1009423
2008,0-29,Deutschland,1008347
2009,0-29,Deutschland,979347
2010,0-29,Deutschland,973619
2011,0-29,Deutschland,954515
2012,0-29,Deutschland,997984
2013,0-29,Deutschland,1025853
2014,0-29,Deutschland,1062175
2015,0-29,Deutschland,1069607
2016,0-29,Deutschland,1094013
2017,0-29,Deutschland,1009672
2018,0-29,Deutschland,985364
2019,0-29,Deutschland,978142
2020,0-29,Deutschland,953617
2021,0-29,Deutschland,953757
2022,0-29,Deutschland,963413
2023,0-29,Deutschland,963413
1999,0-29,Deutschland,1029212
2000,0-29,Deutschland,935974
2001,0-29,Deutschland,927431
2002,0-29,Deutschland,916169
2003,0-29,Deutschland,940907
2004,0-29,Deutschland,954065
2005,0-29,Deutschland,962637
2006,0-29,Deutschland,973311
2007,0-29,Deutschland,1020405
2008,0-29,Deutschland,1007662
2009,0-29,Deutschland,1008035
2010,0-29,Deutschland,983666
2011,0-29,Deutschland,957214
2012,0-29,Deutschland,968465
2013,0-29,Deutschland,1013420
2014,0-29,Deutschland,1044361
2015,0-29,Deutschland,1099077
2016,0-29,Deutschland,1081506
2017,0-29,Deutschland,1105660
2018,0-29,Deutschland,1021919
2019,0-29,Deutschland,995515
2020,0-29,Deutschland,984464
2021,0-29,Deutschland,966208
2022,0-29,Deutschland,975990
2023,0-29,Deutschland,975990
1999,0-29,Deutschland,1144718
2000,0-29,Deutschland,1032886
2001,0-29,Deutschland,943227
2002,0-29,Deutschland,933124
2003,0-29,Deutschland,919707
2004,0-29,Deutschland,942967
2005,0-29,Deutschland,956210
2006,0-29,Deutschland,963339
2007,0-29,Deutschland,974244
2008,0-29,Deutschland,1018060
2009,0-29,Deutschland,1006705
2010,0-29,Deutschland,1011732
2011,0-29,Deutschland,966985
2012,0-29,Deutschland,969962
2013,0-29,Deutschland,982960
2014,0-29,Deutschland,1030624
2015,0-29,Deutschland,1077451
2016,0-29,Deutschland,1108891
2017,0-29,Deutschland,1092555
2018,0-29,Deutschland,1116459
2019,0-29,Deutschland,1030314
2020,0-29,Deutschland,1000769
2021,0-29,Deutschland,994633
2022,0-29,Deutschland,1004703
2023,0-29,Deutschland,1004703
1999,0-29,Deutschland,1202052
2000,0-29,Deutschland,1147340
2001,0-29,Deutschland,1038983
2002,0-29,Deutschland,947840
2003,0-29,Deutschland,935548
2004,0-29,Deutschland,920783
2005,0-29,Deutschland,944528
2006,0-29,Deutschland,956383
2007,0-29,Deutschland,963366
2008,0-29,Deutschland,971407
2009,0-29,Deutschland,1016509
2010,0-29,Deutschland,1009673
2011,0-29,Deutschland,993935
2012,0-29,Deutschland,978339
2013,0-29,Deutschland,982860
2014,0-29,Deutschland,998975
2015,0-29,Deutschland,1060038
2016,0-29,Deutschland,1086215
2017,0-29,Deutschland,1118583
2018,0-29,Deutschland,1102501
2019,0-29,Deutschland,1123468
2020,0-29,Deutschland,1035069
2021,0-29,Deutschland,1009536
2022,0-29,Deutschland,1019756
2023,0-29,Deutschland,1019756
1999,30-44,Deutschland,1296324
2000,30-44,Deutschland,1203587
2001,30-44,Deutschland,1151707
2002,30-44,Deutschland,1042534
2003,30-44,Deutschland,949498
2004,30-44,Deutschland,935934
2005,30-44,Deutschland,922096
2006,30-44,Deutschland,944179
2007,30-44,Deutschland,955863
2008,30-44,Deutschland,959710
2009,30-44,Deutschland,969371
2010,30-44,Deutschland,1019099
2011,30-44,Deutschland,990640
2012,30-44,Deutschland,1004337
2013,30-44,Deutschland,989933
2014,30-44,Deutschland,997920
2015,30-44,Deutschland,1028283
2016,30-44,Deutschland,1068203
2017,30-44,Deutschland,1094733
2018,30-44,Deutschland,1127589
2019,30-44,Deutschland,1109227
2020,30-44,Deutschland,1127628
2021,30-44,Deutschland,1042411
2022,30-44,Deutschland,1052964
2023,30-44,Deutschland,1052964
1999,30-44,Deutschland,1362258
2000,30-44,Deutschland,1296851
2001,30-44,Deutschland,1207656
2002,30-44,Deutschland,1154077
2003,30-44,Deutschland,1043319
2004,30-44,Deutschland,948735
2005,30-44,Deutschland,936798
2006,30-44,Deutschland,921312
2007,30-44,Deutschland,943930
2008,30-44,Deutschland,952482
2009,30-44,Deutschland,957707
2010,30-44,Deutschland,971668
2011,30-44,Deutschland,994638
2012,30-44,Deutschland,1000455
2013,30-44,Deutschland,1015149
2014,30-44,Deutschland,1003047
2015,30-44,Deutschland,1023414
2016,30-44,Deutschland,1036328
2017,30-44,Deutschland,1075886
2018,30-44,Deutschland,1103635
2019,30-44,Deutschland,1133582
2020,30-44,Deutschland,1112935
2021,30-44,Deutschland,1134154
2022,30-44,Deutschland,1145636
2023,30-44,Deutschland,1145636
1999,30-44,Deutschland,1398811
2000,30-44,Deutschland,1362199
2001,30-44,Deutschland,1299552
2002,30-44,Deutschland,1209961
2003,30-44,Deutschland,1154414
2004,30-44,Deutschland,1042715
2005,30-44,Deutschland,949096
2006,30-44,Deutschland,935869
2007,30-44,Deutschland,920945
2008,30-44,Deutschland,940425
2009,30-44,Deutschland,950558
2010,30-44,Deutschland,959664
2011,30-44,Deutschland,950345
2012,30-44,Deutschland,1003639
2013,30-44,Deutschland,1010056
2014,30-44,Deutschland,1027335
2015,30-44,Deutschland,1026274
2016,30-44,Deutschland,1029887
2017,30-44,Deutschland,1043548
2018,30-44,Deutschland,1083657
2019,30-44,Deutschland,1109010
2020,30-44,Deutschland,1136859
2021,30-44,Deutschland,1118705
2022,30-44,Deutschland,1130031
2023,30-44,Deutschland,1130031
1999,30-44,Deutschland,1439408
2000,30-44,Deutschland,1398313
2001,30-44,Deutschland,1364225
2002,30-44,Deutschland,1300709
2003,30-44,Deutschland,1209537
2004,30-44,Deutschland,1153319
2005,30-44,Deutschland,1042546
2006,30-44,Deutschland,947988
2007,30-44,Deutschland,935674
2008,30-44,Deutschland,917670
2009,30-44,Deutschland,938277
2010,30-44,Deutschland,952357
2011,30-44,Deutschland,940163
2012,30-44,Deutschland,958884
2013,30-44,Deutschland,1013278
2014,30-44,Deutschland,1021180
2015,30-44,Deutschland,1049220
2016,30-44,Deutschland,1032181
2017,30-44,Deutschland,1036879
2018,30-44,Deutschland,1050793
2019,30-44,Deutschland,1088700
2020,30-44,Deutschland,1112354
2021,30-44,Deutschland,1141779
2022,30-44,Deutschland,1153338
2023,30-44,Deutschland,1153338
1999,30-44,Deutschland,1450859
2000,30-44,Deutschland,1438889
2001,30-44,Deutschland,1399998
2002,30-44,Deutschland,1364686
2003,30-44,Deutschland,1300032
2004,30-44,Deutschland,1208122
2005,30-44,Deutschland,1152640
2006,30-44,Deutschland,1041238
2007,30-44,Deutschland,947002
2008,30-44,Deutschland,932383
2009,30-44,Deutschland,915344
2010,30-44,Deutschland,939778
2011,30-44,Deutschland,934168
2012,30-44,Deutschland,947811
2013,30-44,Deutschland,967553
