"iso3c","date","deaths","population","cmr","asmr_who","asmr_esp","asmr_usa","asmr_country","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"ABW",2015 Q1,163,103122,158.1,,,,,185,149,220,-22,14,-57,178.22,144.61,211.82,-20.12,13.49,-53.72,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2015 Q2,172,103370,166.4,,,,,185,149,220,-13,23,-48,178.22,144.61,211.82,-11.81,21.79,-45.42,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2015 Q3,150,103621,144.7,,,,,173,137,208,-23,13,-58,166.26,132.65,199.86,-21.56,12.05,-55.16,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2015 Q4,194,103873,186.7,,,,,186,151,222,8,43,-28,179.01,145.41,212.62,7.69,41.29,-25.92,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2016 Q1,198,104123,190.2,,,,,182,148,217,16,50,-19,175.1,142.48,207.72,15.1,47.72,-17.52,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2016 Q2,213,104372,204.1,,,,,182,148,217,31,65,-4,175.1,142.48,207.72,29,61.62,-3.62,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2016 Q3,175,104622,167.3,,,,,170,136,205,5,39,-30,163.14,130.52,195.76,4.16,36.78,-28.46,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2016 Q4,195,104873,185.9,,,,,184,149,218,11,46,-23,175.9,143.28,208.52,10,42.62,-22.62,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2017 Q1,178,105000,169.5,,,,,180,146,214,-2,32,-36,171.98,139.7,204.26,-2.48,29.8,-34.76,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2017 Q2,182,105000,173.3,,,,,180,146,214,2,36,-32,171.98,139.7,204.26,1.32,33.6,-30.96,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2017 Q3,184,105000,175.2,,,,,168,134,202,16,50,-18,160.02,127.74,192.3,15.18,47.46,-17.1,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2017 Q4,163,105000,155.2,,,,,182,148,216,-19,15,-53,172.78,140.5,205.06,-17.58,14.7,-49.86,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2018 Q1,193,105122,183.6,,,,,178,143,212,15,50,-19,168.86,136.24,201.48,14.74,47.36,-17.88,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2018 Q2,177,105370,168,,,,,178,143,212,-1,34,-35,168.86,136.24,201.48,-0.86,31.76,-33.48,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2018 Q3,166,105621,157.2,,,,,166,131,200,0,35,-34,156.9,124.28,189.52,0.3,32.92,-32.32,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2018 Q4,181,105873,171,,,,,179,145,214,2,36,-33,169.66,137.04,202.28,1.34,33.96,-31.28,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2019 Q1,168,106000,158.5,,,,,175,140,211,-7,28,-43,165.74,132.14,199.35,-7.25,26.36,-40.85,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2019 Q2,157,106000,148.1,,,,,176,140,211,-19,17,-54,165.74,132.14,199.35,-17.65,15.96,-51.25,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2019 Q3,165,106000,155.7,,,,,163,128,199,2,37,-34,153.78,120.18,187.39,1.91,35.52,-31.69,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2019 Q4,175,106000,165.1,,,,,177,142,212,-2,33,-37,166.54,132.94,200.15,-1.44,32.16,-35.05,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2020 Q1,199,106000,187.7,,,,,173,136,210,26,63,-11,162.63,127.45,197.81,25.07,60.25,-10.11,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2020 Q2,167,106000,157.5,,,,,173,136,210,-6,31,-43,162.63,127.45,197.81,-5.13,30.05,-40.31,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2020 Q3,192,106000,181.1,,,,,161,124,198,31,68,-6,150.67,115.49,185.85,30.43,65.61,-4.75,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2020 Q4,185,106000,174.5,,,,,175,138,212,10,47,-27,163.43,128.25,198.61,11.07,46.25,-24.11,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2021 Q1,235,106030,221.6,,,,,171,131,210,64,104,25,159.51,122.23,196.79,62.09,99.37,24.81,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2021 Q2,209,106092,197,,,,,171,132,210,38,77,-1,159.51,122.23,196.79,37.49,74.77,0.21,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2021 Q3,282,106155,265.6,,,,,159,119,198,123,163,84,147.55,110.27,184.83,118.05,155.33,80.77,,,,,,,,,,,,,,,,,,,,,,,,
"ABW",2021 Q4,238,106218,224.1,,,,,172,133,212,66,105,26,160.31,123.03,197.59,63.79,101.07,26.51,,,,,,,,,,,,,,,,,,,,,,,,
"ALB",2015 Q1,6539,2884552,226.7,198.4,519.5,353.9,281.8,6389,5892,6887,150,647,-348,221.54,204.39,238.68,5.16,22.31,-11.98,191.23,176.84,205.61,7.17,21.56,-7.21,495.38,453.15,537.62,24.12,66.35,-18.12,338.06,309.82,366.29,15.84,44.08,-12.39,271.71,251.07,292.36,10.09,30.73,-10.56
"ALB",2015 Q2,5183,2882022,179.8,155.4,394.7,270.3,220.3,5088,4591,5585,95,592,-402,176.38,159.23,193.52,3.42,20.57,-13.72,153.35,138.96,167.73,2.05,16.44,-12.33,388.8,346.57,431.04,5.9,48.13,-36.34,266.46,238.22,294.69,3.85,32.08,-24.39,217.15,196.51,237.8,3.15,23.79,-17.5
"ALB",2015 Q3,5251,2879464,182.3,154,383.4,263.3,219.9,5021,4524,5519,230,727,-268,174.16,157.01,191.3,8.14,25.29,-9,149.29,134.9,163.67,4.71,19.1,-9.67,372.72,330.49,414.96,10.68,52.91,-31.56,256.02,227.78,284.25,7.29,35.52,-20.95,212.17,191.53,232.82,7.73,28.37,-12.92
"ALB",2015 Q4,5264,2876892,183,154.7,385.8,265.3,219.1,5482,4985,5979,-218,279,-715,190.38,173.23,207.52,-7.38,9.77,-24.52,161.13,146.74,175.51,-6.43,7.96,-20.81,407.86,365.63,450.1,-22.06,20.17,-64.3,279.64,251.4,307.87,-14.33,13.9,-42.57,228.55,207.91,249.2,-9.45,11.19,-30.1
"ALB",2016 Q1,5915,2875715,205.7,172.8,441.4,302,245.3,6383,5900,6865,-468,15,-950,221.72,205.07,238.36,-16.02,0.63,-32.66,185.54,171.58,199.5,-12.74,1.22,-26.7,479.83,438.84,520.83,-38.43,2.56,-79.43,327.54,300.13,354.95,-25.54,1.87,-52.95,263.58,243.54,283.61,-18.28,1.76,-38.31
"ALB",2016 Q2,5024,2875963,174.7,146.1,369.2,253.2,206.2,5081,4599,5564,-57,425,-540,176.56,159.91,193.2,-1.86,14.79,-18.5,147.66,133.7,161.62,-1.56,12.4,-15.52,373.25,332.26,414.25,-4.05,36.94,-45.05,255.94,228.53,283.35,-2.74,24.67,-30.15,209.02,188.98,229.05,-2.82,17.22,-22.85
"ALB",2016 Q3,4723,2876213,164.2,135.3,333.9,230.1,191.1,5015,4532,5497,-292,191,-774,174.34,157.69,190.98,-10.14,6.51,-26.78,143.6,129.64,157.56,-8.3,5.66,-22.26,357.17,316.18,398.17,-23.27,17.72,-64.27,245.5,218.09,272.91,-15.4,12.01,-42.81,204.04,184,224.07,-12.94,7.1,-32.97
"ALB",2016 Q4,5796,2876464,201.5,164,417.7,286,233.2,5475,4993,5958,321,803,-162,190.56,173.91,207.2,10.94,27.59,-5.7,155.44,141.48,169.4,8.56,22.52,-5.4,392.31,351.32,433.31,25.39,66.38,-15.61,269.12,241.71,296.53,16.88,44.29,-10.53,220.42,200.38,240.45,12.78,32.82,-7.25
"ALB",2017 Q1,6766,2875827,235.3,191.5,496.6,339.2,270.9,6376,5898,6853,390,868,-87,221.9,205.43,238.37,13.4,29.87,-3.07,179.86,166.04,193.68,11.64,25.46,-2.18,464.28,423.7,504.86,32.32,72.9,-8.26,317.02,289.89,344.15,22.18,49.31,-4.95,255.44,235.61,275.27,15.46,35.29,-4.37
"ALB",2017 Q2,4932,2874273,171.6,137.7,348.9,239.1,195.1,5074,4597,5552,-142,335,-620,176.74,160.27,193.21,-5.14,11.33,-21.61,141.98,128.16,155.8,-4.28,9.54,-18.1,357.7,317.12,398.28,-8.8,31.78,-49.38,245.42,218.29,272.55,-6.32,20.81,-33.45,200.88,181.05,220.71,-5.78,14.05,-25.61
"ALB",2017 Q3,5098,2872702,177.5,140.2,348.4,239.5,199.3,5008,4530,5485,90,568,-387,174.52,158.05,190.99,2.98,19.45,-13.49,137.92,124.1,151.74,2.28,16.1,-11.54,341.62,301.04,382.2,6.78,47.36,-33.8,234.98,207.85,262.11,4.52,31.65,-22.61,195.9,176.07,215.73,3.4,23.23,-16.43
"ALB",2017 Q4,5405,2871122,188.3,147.5,372.3,255.2,209.7,5468,4991,5946,-63,414,-541,190.74,174.27,207.21,-2.44,14.03,-18.91,149.76,135.94,163.58,-2.26,11.56,-16.08,376.76,336.18,417.34,-4.46,36.12,-45.04,258.6,231.47,285.73,-3.4,23.73,-30.53,212.28,192.45,232.11,-2.58,17.25,-22.41
"ALB",2018 Q1,6302,2869361,219.6,171.1,440.4,300.7,243.2,6369,5886,6851,-67,416,-549,222.08,205.44,238.73,-2.48,14.16,-19.13,174.18,160.22,188.14,-3.08,10.88,-17.04,448.73,407.73,489.72,-8.33,32.67,-49.32,306.5,279.09,333.91,-5.8,21.61,-33.21,247.3,227.27,267.34,-4.1,15.93,-24.14
"ALB",2018 Q2,5083,2867403,177.3,136.9,341.2,234.5,193.7,5067,4585,5550,16,498,-467,176.92,160.28,193.57,0.38,17.02,-16.27,136.3,122.34,150.26,0.6,14.56,-13.36,342.15,301.15,383.14,-0.95,40.05,-41.94,234.9,207.49,262.31,-0.4,27.01,-27.81,192.74,172.71,212.78,0.96,20.99,-19.08
"ALB",2018 Q3,4961,2865424,173.1,132.1,326.7,224.8,187.2,5001,4518,5483,-40,443,-522,174.7,158.06,191.35,-1.6,15.04,-18.25,132.24,118.28,146.2,-0.14,13.82,-14.1,326.07,285.07,367.06,0.63,41.63,-40.36,224.46,197.05,251.87,0.34,27.75,-27.07,187.76,167.73,207.8,-0.56,19.47,-20.6
"ALB",2018 Q4,5463,2863433,190.8,144,364.8,249.8,204.6,5461,4979,5944,2,484,-481,190.92,174.28,207.57,-0.12,16.52,-16.77,144.08,130.12,158.04,-0.08,13.88,-14.04,361.21,320.21,402.2,3.59,44.59,-37.4,248.08,220.67,275.49,1.72,29.13,-25.69,204.14,184.11,224.18,0.46,20.49,-19.58
"ALB",2019 Q1,6356,2860419,222.2,165.5,423.5,289.3,236,6362,5865,6859,-6,491,-503,222.27,205.12,239.41,-0.07,17.08,-17.21,168.5,154.11,182.88,-3,11.39,-17.38,433.17,390.94,475.41,-9.67,32.56,-51.91,295.98,267.75,324.22,-6.69,21.55,-34.92,239.16,218.52,259.81,-3.16,17.48,-23.81
"ALB",2019 Q2,5149,2856335,180.3,133.8,334.5,230,189.1,5060,4563,5557,89,586,-408,177.1,159.96,194.25,3.2,20.34,-13.95,130.62,116.23,145,3.19,17.57,-11.2,326.59,284.36,368.83,7.91,50.14,-34.33,224.38,196.15,252.62,5.62,33.85,-22.62,184.6,163.96,205.25,4.5,25.14,-16.15
"ALB",2019 Q3,5005,2852205,175.5,128,315.7,217.2,182,4994,4497,5491,11,508,-486,174.88,157.74,192.03,0.62,17.76,-16.53,126.56,112.17,140.94,1.44,15.83,-12.94,310.51,268.28,352.75,5.19,47.42,-37.05,213.94,185.71,242.18,3.26,31.49,-24.98,179.62,158.98,200.27,2.38,23.02,-18.27
"ALB",2019 Q4,5413,2848053,190.1,138.6,343.2,236.7,194.8,5454,4957,5951,-41,456,-538,191.11,173.96,208.25,-1.01,16.14,-18.15,138.4,124.01,152.78,0.2,14.59,-14.18,345.65,303.42,387.89,-2.45,39.78,-44.69,237.56,209.33,265.8,-0.86,27.37,-29.1,196,175.36,216.65,-1.2,19.44,-21.85
"ALB",2020 Q1,6197,2843961,217.9,156,399.5,273.1,221.3,6355,5834,6875,-158,363,-678,222.45,204.5,240.4,-4.55,13.4,-22.5,162.81,147.75,177.87,-6.81,8.25,-21.87,417.62,373.41,461.84,-18.12,26.09,-62.34,285.47,255.91,315.03,-12.37,17.19,-41.93,231.03,209.42,252.64,-9.73,11.88,-31.34
"ALB",2020 Q2,5403,2839930,190.3,136.4,339,233.4,191.8,5053,4533,5574,350,870,-171,177.29,159.34,195.24,13.01,30.96,-4.94,124.93,109.87,139.99,11.47,26.53,-3.59,311.04,266.83,355.26,27.96,72.17,-16.26,213.87,184.31,243.43,19.53,49.09,-10.03,176.47,154.86,198.08,15.33,36.94,-6.28
"ALB",2020 Q3,6622,2835877,233.5,162.9,402.2,276.5,233.6,4987,4466,5507,1635,2156,1115,175.07,157.12,193.02,58.43,76.38,40.48,120.87,105.81,135.93,42.03,57.09,26.97,294.96,250.75,339.18,107.24,151.45,63.02,203.43,173.87,232.99,73.07,102.63,43.51,171.49,149.88,193.1,62.11,83.72,40.5
"ALB",2020 Q4,9504,2831801,335.6,226.9,577.4,392.2,332.8,5447,4927,5968,4057,4577,3536,191.29,173.34,209.24,144.31,162.26,126.36,132.71,117.65,147.77,94.19,109.25,79.13,330.1,285.89,374.32,247.3,291.51,203.08,227.05,197.49,256.61,165.15,194.71,135.59,187.87,166.26,209.48,144.93,166.54,123.32
"ALB",2021 Q1,9758,2825334,345.4,223.5,566.3,384.7,330.5,6348,5796,6899,3410,3962,2859,222.63,203.61,241.65,122.77,141.79,103.75,157.13,141.17,173.09,66.37,82.33,50.41,402.07,355.22,448.92,164.23,211.08,117.38,274.95,243.63,306.27,109.75,141.07,78.43,222.89,199.99,245.79,107.61,130.51,84.71
"ALB",2021 Q2,6089,2816371,216.2,136.7,335.4,230.2,198.1,5046,4495,5598,1043,1594,491,177.47,158.45,196.49,38.73,57.75,19.71,119.25,103.29,135.21,17.45,33.41,1.49,295.49,248.64,342.34,39.91,86.76,-6.94,203.35,172.03,234.67,26.85,58.17,-4.47,168.33,145.43,191.23,29.77,52.67,6.87
"ALB",2021 Q3,6307,2813793,224.1,,,,,4980,4428,5531,1327,1879,776,175.25,156.23,194.27,48.85,67.87,29.83,115.19,99.23,131.15,,,,279.41,232.56,326.26,,,,192.91,161.59,224.23,,,,163.35,140.45,186.25,,,
"ALB",2021 Q4,7837,2856855,274.3,,,,,5440,4889,5992,2397,2948,1845,191.47,172.45,210.49,82.83,101.85,63.81,127.03,111.07,142.99,,,,314.55,267.7,361.4,,,,216.53,185.21,247.85,,,,179.73,156.83,202.63,,,
"ALB",2022 Q1,7938,2855671,278,,,,,6341,5752,6930,1597,2186,1008,222.81,202.5,243.13,55.19,75.5,34.87,151.45,134.41,168.49,,,,386.52,336.48,436.56,,,,264.43,230.98,297.89,,,,214.75,190.3,239.21,,,
"ALB",2022 Q2,4916,2854493,172.2,,,,,5040,4451,5629,-124,465,-713,177.65,157.34,197.97,-5.45,14.86,-25.77,113.57,96.53,130.61,,,,279.94,229.9,329.98,,,,192.83,159.38,226.29,,,,160.19,135.74,184.65,,,
"ALB",2022 Q3,5130,2853302,179.8,,,,,4973,4384,5562,157,746,-432,175.43,155.12,195.75,4.37,24.68,-15.95,109.51,92.47,126.55,,,,263.86,213.82,313.9,,,,182.39,148.94,215.85,,,,155.21,130.76,179.67,,,
"ALB",2022 Q4,4916,2852105,172.4,,,,,5434,4845,6023,-518,71,-1107,191.65,171.34,211.97,-19.25,1.06,-39.57,121.35,104.31,138.39,,,,299,248.96,349.04,,,,206.01,172.56,239.47,,,,171.59,147.14,196.05,,,
"ALB",2023 Q1,5557,2850921,194.9,,,,,6334,5702,6966,-777,-145,-1409,223,201.2,244.79,-28.09,-6.3,-49.89,145.77,127.48,164.05,,,,370.96,317.29,424.64,,,,253.91,218.03,289.8,,,,206.61,180.38,232.85,,,
"AND",2010 Q2,51,81875,62.1,39.4,81.7,58,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2010 Q3,61,80379,76,47.9,98.8,70.1,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2010 Q4,61,78875,77.3,44.9,97.4,68.6,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2011 Q1,57,78115,73.2,44.9,95.3,65.7,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2011 Q2,88,78115,113.2,66.1,144.1,102.3,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2011 Q3,54,78115,69.3,44.5,92.7,65.7,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2011 Q4,75,78115,95.6,55.7,124.7,86,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2012 Q1,89,77885,114.6,71.8,150.5,106.3,118.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2012 Q2,61,77421,78.4,49.8,111.6,75.9,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2012 Q3,68,76953,88,58.8,117.4,85.1,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2012 Q4,85,76483,110.7,61.8,149.7,101.7,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2013 Q1,84,76245,110.5,61.7,144.3,100.4,109.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2013 Q2,56,76242,73.5,44.4,91.3,65.9,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2013 Q3,51,76239,67.1,43.6,89.2,63,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2013 Q4,49,76236,64.3,36.1,85.6,58.5,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2014 Q1,81,76233,106.6,64.5,143.6,99.7,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2014 Q2,68,76230,89,52.9,118.8,81.6,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2014 Q3,59,76227,78,43.5,100.5,68.8,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2014 Q4,67,76224,87.3,50.7,120.1,81.8,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",2015 Q1,76,76222,99.1,52.9,131.9,89.1,97.6,86,61,111,-10,15,-35,113.18,81.05,145.3,-14.08,18.05,-46.2,62.51,43.44,81.58,-9.61,9.46,-28.68,149.29,103.18,195.4,-17.39,28.72,-63.5,102.04,70.44,133.63,-12.94,18.66,-44.53,112,79.39,144.62,-14.4,18.21,-47.02
"AND",2015 Q2,68,76219,89.8,52.2,121.3,83.9,89.2,65,40,90,3,28,-22,85.32,53.19,117.44,4.48,36.61,-27.64,45.81,26.74,64.88,6.39,25.46,-12.68,108.94,62.83,155.05,12.36,58.47,-33.75,75.09,43.49,106.68,8.81,40.41,-22.78,80.25,47.64,112.87,8.95,41.56,-23.67
"AND",2015 Q3,71,76216,93.5,51.9,122.3,84.4,93.2,70,45,95,1,26,-24,91.96,59.83,124.08,1.54,33.67,-30.58,50.68,31.61,69.75,1.22,20.29,-17.85,116.61,70.5,162.73,5.69,51.8,-40.43,80.26,48.67,111.86,4.14,35.73,-27.46,87.95,55.34,120.57,5.25,37.86,-27.37
"AND",2015 Q4,66,76213,87,50.8,115.2,79.5,87.3,76,51,101,-10,15,-35,99.76,67.63,131.88,-12.76,19.37,-44.88,53.23,34.16,72.3,-2.43,16.64,-21.5,124.56,78.45,170.68,-9.36,36.75,-55.48,85.59,53.99,117.18,-6.09,25.51,-37.68,94.05,61.44,126.67,-6.75,25.86,-39.37
"AND",2016 Q1,78,76210,102.2,59,133.5,92.5,103,88,64,112,-10,14,-34,115.29,84.11,146.47,-13.09,18.09,-44.27,65.9,47.55,84.26,-6.9,11.45,-25.26,156.83,112.44,201.22,-23.33,21.06,-67.72,107.58,77.16,137.99,-15.08,15.34,-45.49,117.83,86.44,149.23,-14.83,16.56,-46.23
"AND",2016 Q2,69,76207,90.7,53.6,120.6,85.1,89.6,66,42,90,3,27,-21,87.43,56.25,118.61,3.27,34.45,-27.91,49.2,30.85,67.56,4.4,22.75,-13.96,116.48,72.09,160.87,4.12,48.51,-40.27,80.63,50.21,111.04,4.47,34.89,-25.94,86.09,54.69,117.48,3.51,34.91,-27.88
"AND",2016 Q3,82,76204,107.2,61.5,145.4,99.7,107.5,72,48,96,10,34,-14,94.07,62.89,125.25,13.13,44.31,-18.05,54.08,35.72,72.43,7.42,25.78,-10.93,124.15,79.76,168.55,21.25,65.64,-23.15,85.8,55.39,116.22,13.9,44.31,-16.52,93.78,62.39,125.18,13.72,45.11,-17.68
"AND",2016 Q4,82,76201,107.6,59.4,141.2,95.9,107.7,78,54,102,4,28,-20,101.87,70.69,133.05,5.73,36.91,-25.45,56.63,38.27,74.98,2.77,21.13,-15.58,132.11,87.71,176.5,9.09,53.49,-35.3,91.13,60.71,121.54,4.77,35.19,-25.64,99.88,68.49,131.28,7.82,39.21,-23.58
"AND",2017 Q1,115,76199,150.7,81.8,203.1,139,149.2,89,66,113,26,49,2,117.4,86.54,148.26,33.3,64.16,2.44,69.3,50.94,87.65,12.5,30.86,-5.85,164.37,119.98,208.76,38.73,83.12,-5.66,113.12,82.71,143.54,25.88,56.29,-4.54,123.66,92.27,155.06,25.53,56.93,-5.86
"AND",2017 Q2,67,76196,88.5,49.6,117.9,81.4,88.3,68,44,92,-1,23,-25,89.54,58.68,120.4,-1.04,29.82,-31.9,52.6,34.24,70.95,-3,15.36,-21.35,124.02,79.63,168.41,-6.12,38.27,-50.51,86.17,55.76,116.59,-4.77,25.64,-35.19,91.91,60.52,123.31,-3.61,27.78,-35.01
"AND",2017 Q3,57,76193,75.4,43.2,98.8,68.5,75.4,73,49,97,-16,8,-40,96.18,65.32,127.04,-20.78,10.08,-51.64,57.47,39.12,75.83,-14.27,4.08,-32.63,131.7,87.3,176.09,-32.89,11.5,-77.29,91.35,60.93,121.76,-22.85,7.57,-53.26,99.61,68.22,131.01,-24.21,7.18,-55.61
"AND",2017 Q4,83,76190,108.6,62.7,143.8,100.5,108.5,79,56,103,4,27,-20,103.98,73.12,134.84,4.62,35.48,-26.24,60.02,41.67,78.38,2.68,21.03,-15.68,139.65,95.25,184.04,4.16,48.55,-40.24,96.67,66.26,127.09,3.83,34.24,-26.59,105.72,74.32,137.11,2.78,34.18,-28.61
"AND",2018 Q1,101,76187,132.9,76.7,173.9,120.8,133.2,91,67,115,10,34,-14,119.51,88.33,150.69,13.39,44.57,-17.79,72.69,53.62,91.76,4.01,23.08,-15.06,171.91,125.8,218.02,1.99,48.1,-44.12,118.66,87.07,150.26,2.14,33.73,-29.46,129.49,96.88,162.11,3.71,36.32,-28.91
"AND",2018 Q2,68,76184,88.9,48.2,121.2,83.2,88.9,70,46,94,-2,22,-26,91.65,60.47,122.83,-2.75,28.43,-33.93,55.99,36.92,75.06,-7.79,11.28,-26.86,131.56,85.45,177.67,-10.36,35.75,-56.47,91.71,60.12,123.31,-8.51,23.08,-40.11,97.75,65.13,130.36,-8.84,23.77,-41.46
"AND",2018 Q3,84,76181,110.3,66.5,145.2,101.7,110.7,75,51,99,9,33,-15,98.29,67.11,129.47,12.01,43.19,-19.17,60.87,41.8,79.94,5.63,24.7,-13.44,139.24,93.12,185.35,5.96,52.08,-40.15,96.89,65.29,128.48,4.81,36.41,-26.78,105.44,72.83,138.06,5.26,37.87,-27.36
"AND",2018 Q4,82,76178,107.3,60.4,143.3,99.7,107.7,81,57,105,1,25,-23,106.09,74.91,137.27,1.21,32.39,-29.97,63.42,44.35,82.49,-3.02,16.05,-22.09,147.18,101.07,193.3,-3.88,42.23,-50,102.21,70.62,133.81,-2.51,29.08,-34.11,111.54,78.93,144.16,-3.84,28.77,-36.46
"AND",2019 Q1,77,75257,102.1,,,,,93,68,117,-16,9,-40,121.63,89.5,153.75,-19.53,12.6,-51.65,76.09,55.67,96.51,,,,179.45,130.07,228.83,,,,124.21,90.37,158.04,,,,135.32,100.4,170.25,,,
"AND",2019 Q2,68,75740,89.8,,,,,71,46,96,-3,22,-28,93.77,61.64,125.89,-3.97,28.16,-36.09,59.39,38.97,79.81,,,,139.1,89.72,188.48,,,,97.26,63.42,131.09,,,,103.57,68.65,138.5,,,
"AND",2019 Q3,72,76241,94.5,,,,,76,52,101,-4,20,-29,100.4,68.28,132.53,-5.91,26.22,-38.03,64.26,43.84,84.68,,,,146.78,97.39,196.16,,,,102.43,68.6,136.27,,,,111.27,76.35,146.2,,,
"AND",2019 Q4,84,76745,109.4,,,,,83,58,107,1,26,-23,108.2,76.08,140.33,1.2,33.32,-30.93,66.81,46.39,87.23,,,,154.73,105.34,204.11,,,,107.76,73.92,141.59,,,,117.38,82.45,152.3,,,
"AND",2020 Q1,111,77123,143.9,,,,,94,68,120,17,43,-9,123.74,90.11,157.37,20.16,53.79,-13.47,79.48,57.19,101.78,,,,186.99,133.07,240.91,,,,129.75,92.81,166.69,,,,141.15,103.02,179.29,,,
"AND",2020 Q2,122,77372,157.7,,,,,73,47,99,49,75,23,95.88,62.25,129.51,61.82,95.45,28.19,62.78,40.49,85.08,,,,146.64,92.72,200.56,,,,102.8,65.86,139.74,,,,109.4,71.27,147.54,,,
"AND",2020 Q3,75,77622,96.6,,,,,78,52,104,-3,23,-29,102.52,68.89,136.15,-5.92,27.71,-39.55,67.66,45.36,89.95,,,,154.32,100.4,208.23,,,,107.97,71.03,144.91,,,,117.1,78.97,155.24,,,
"AND",2020 Q4,111,77873,142.6,,,,,84,58,110,27,53,1,110.32,76.69,143.95,32.28,65.91,-1.35,70.21,47.91,92.5,,,,162.27,108.35,216.18,,,,113.3,76.36,150.24,,,,123.2,85.07,161.34,,,
"AND",2021 Q1,114,78152,145.9,,,,,96,68,123,18,46,-9,125.85,90.21,161.49,20.05,55.69,-15.59,82.88,58.31,107.45,,,,194.53,135.11,253.95,,,,135.29,94.58,176.01,,,,146.98,104.95,189.02,,,
"AND",2021 Q2,94,78462,119.8,,,,,74,47,102,20,47,-8,97.99,62.35,133.63,21.81,57.45,-13.83,66.18,41.61,90.75,,,,154.18,94.76,213.6,,,,108.34,67.63,149.06,,,,115.24,73.2,157.27,,,
"AND",2021 Q3,83,78776,105.4,,,,,80,52,107,3,31,-24,104.63,68.99,140.27,0.77,36.41,-34.87,71.05,46.48,95.62,,,,161.86,102.43,221.28,,,,113.52,72.8,154.23,,,,122.93,80.9,164.97,,,
