"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"CAN","Canada",3,"world_mortality",2014-12-29,2023-04-17,"all"
"CHE","Switzerland",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"CHE","Switzerland",3,"mortality_org",2000-01-03,2023-08-28,"0-14, 15-64, 65-74, 75-84, 85+, all"
"CHE","Switzerland",3,"world_mortality",2014-12-29,2023-08-14,"all"
"CHL","Chile",3,"mortality_org",2016-01-04,2023-09-04,"0-14, 15-64, 65-74, 75-84, 85+, all"
"CHL","Chile",3,"world_mortality",2016-01-04,2023-09-04,"all"
"COL","Colombia",3,"world_mortality",2014-12-29,2023-03-27,"all"
"CPV","Cape Verde",2,"world_mortality",2015-01-01,2021-12-01,"all"
"CRI","Costa Rica",2,"world_mortality",2015-01-01,2022-12-01,"all"
"CUB","Cuba",2,"world_mortality",2015-01-01,2022-12-01,"all"
"CYP","Cyprus",3,"eurostat",2014-12-29,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"CYP","Cyprus",3,"world_mortality",2014-12-29,2023-07-24,"all"
"CZE","Czech Republic",3,"eurostat",2005-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"CZE","Czech Republic",3,"mortality_org",2005-01-03,2023-07-24,"0-14, 15-64, 65-74, 75-84, 85+, all"
"CZE","Czech Republic",3,"world_mortality",2014-12-29,2023-07-24,"all"
"DEU","Germany",3,"destatis",2000-01-03,2023-09-04,"0-29, 30-44, 45-64, 65-74, 75-84, 85+, all"
"DEU","Germany",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
