"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"SVK","Slovakia",3,"mortality_org",2000-01-03,2023-08-21,"0-14, 15-64, 65-74, 75-84, 85+, all"
"SVK","Slovakia",3,"world_mortality",2014-12-29,2023-08-07,"all"
"SVN","Slovenia",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"SVN","Slovenia",3,"mortality_org",2000-01-03,2023-08-14,"0-14, 15-64, 65-74, 75-84, 85+, all"
"SVN","Slovenia",3,"world_mortality",2014-12-29,2023-08-14,"all"
"SWE","Sweden",3,"mortality_org",2000-01-03,2023-08-21,"0-14, 15-64, 65-74, 75-84, 85+, all"
"SWE","Sweden",3,"world_mortality",2014-12-29,2023-04-10,"all"
"SYC","Seychelles",2,"world_mortality",2015-01-01,2022-12-01,"all"
"THA","Thailand",2,"world_mortality",2015-01-01,2023-08-01,"all"
"TJK","Tajikistan",2,"world_mortality",2015-01-01,2021-12-01,"all"
"TUN","Tunisia",2,"world_mortality",2015-01-01,2022-07-01,"all"
"TUR","Turkey",2,"world_mortality",2015-01-01,2022-12-01,"all"
"TWN","Taiwan",3,"mortality_org",2000-01-03,2021-12-27,"0-14, 15-64, 65-74, 75-84, 85+, all"
"TWN","Taiwan",2,"world_mortality",2015-01-01,2023-08-01,"all"
"UKR","Ukraine",2,"world_mortality",2015-01-01,2022-01-01,"all"
"URY","Uruguay",2,"world_mortality",2015-01-01,2023-03-01,"all"
"USA","United States",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA","United States",3,"mortality_org",2015-01-05,2023-05-15,"0-14, 15-64, 65-74, 75-84, 85+, all"
"USA","United States",3,"world_mortality",2014-12-29,2023-07-17,"all"
"USA","United States",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-AK","USA - Alaska",3,"cdc",2017-01-02,2023-07-31,"all"
"USA-AK","USA - Alaska",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-AK","USA - Alaska",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-AL","USA - Alabama",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-AL","USA - Alabama",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-AL","USA - Alabama",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-AR","USA - Arkansas",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-AR","USA - Arkansas",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-AR","USA - Arkansas",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-AZ","USA - Arizona",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-AZ","USA - Arizona",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-CA","USA - California",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-CA","USA - California",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-CO","USA - Colorado",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-CO","USA - Colorado",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-CO","USA - Colorado",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-CT","USA - Connecticut",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-CT","USA - Connecticut",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-CT","USA - Connecticut",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-DC","USA - District of Columbia",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-DC","USA - District of Columbia",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-DC","USA - District of Columbia",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-DE","USA - Delaware",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-DE","USA - Delaware",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-DE","USA - Delaware",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-FL","USA - Florida",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-FL","USA - Florida",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-GA","USA - Georgia",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-GA","USA - Georgia",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-HI","USA - Hawaii",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-HI","USA - Hawaii",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-HI","USA - Hawaii",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-IA","USA - Iowa",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-IA","USA - Iowa",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-IA","USA - Iowa",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-ID","USA - Idaho",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-ID","USA - Idaho",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-ID","USA - Idaho",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-IL","USA - Illinois",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-IL","USA - Illinois",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-IN","USA - Indiana",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-IN","USA - Indiana",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-KS","USA - Kansas",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-KS","USA - Kansas",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-KS","USA - Kansas",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-KY","USA - Kentucky",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-KY","USA - Kentucky",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-KY","USA - Kentucky",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-LA","USA - Louisiana",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-LA","USA - Louisiana",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-LA","USA - Louisiana",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-MA","USA - Massachusetts",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MA","USA - Massachusetts",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-MA","USA - Massachusetts",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-MD","USA - Maryland",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MD","USA - Maryland",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-MD","USA - Maryland",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-ME","USA - Maine",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-ME","USA - Maine",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-ME","USA - Maine",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-MI","USA - Michigan",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-MI","USA - Michigan",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-MN","USA - Minnesota",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MN","USA - Minnesota",2,"cdc",2000-01-01,2023-04-01,"all"
