"iso3c","chart_type","type","window"
"SVK","yearly","asmr_who","5"
"SVN","yearly","asmr_who","5"
"SWE","yearly","asmr_who","9"
"SWZ","yearly","asmr_who",
"SXM","yearly","asmr_who",
"SYC","yearly","asmr_who",
"SYR","yearly","asmr_who",
"TCA","yearly","asmr_who",
"TCD","yearly","asmr_who",
"TGO","yearly","asmr_who",
"THA","yearly","asmr_who",
"TJK","yearly","asmr_who",
"TKL","yearly","asmr_who",
"TKM","yearly","asmr_who",
"TLS","yearly","asmr_who",
"TON","yearly","asmr_who",
"TTO","yearly","asmr_who",
"TUN","yearly","asmr_who",
"TUR","yearly","asmr_who",
"TUV","yearly","asmr_who",
"TWN","yearly","asmr_who","6"
"TZA","yearly","asmr_who",
"UGA","yearly","asmr_who",
"UKR","yearly","asmr_who",
"URY","yearly","asmr_who",
"USA","yearly","asmr_who","6"
"USA-AK","yearly","asmr_who","10"
"USA-AL","yearly","asmr_who","5"
"USA-AR","yearly","asmr_who","5"
"USA-AZ","yearly","asmr_who","5"
"USA-CA","yearly","asmr_who","5"
"USA-CO","yearly","asmr_who","5"
"USA-CT","yearly","asmr_who","5"
"USA-DC","yearly","asmr_who","5"
"USA-DE","yearly","asmr_who","5"
"USA-FL","yearly","asmr_who","5"
"USA-GA","yearly","asmr_who","5"
"USA-HI","yearly","asmr_who","5"
"USA-IA","yearly","asmr_who","6"
"USA-ID","yearly","asmr_who","5"
"USA-IL","yearly","asmr_who","5"
"USA-IN","yearly","asmr_who","5"
"USA-KS","yearly","asmr_who","6"
"USA-KY","yearly","asmr_who","5"
"USA-LA","yearly","asmr_who","5"
"USA-MA","yearly","asmr_who","5"
"USA-MD","yearly","asmr_who","5"
"USA-ME","yearly","asmr_who","5"
"USA-MI","yearly","asmr_who","5"
"USA-MN","yearly","asmr_who","5"
"USA-MO","yearly","asmr_who","5"
"USA-MS","yearly","asmr_who","5"
"USA-MT","yearly","asmr_who","7"
"USA-NC","yearly","asmr_who","5"
"USA-ND","yearly","asmr_who","9"
"USA-NE","yearly","asmr_who","6"
"USA-NH","yearly","asmr_who","5"
"USA-NJ","yearly","asmr_who","5"
"USA-NM","yearly","asmr_who","5"
"USA-NV","yearly","asmr_who","5"
"USA-NY","yearly","asmr_who","5"
"USA-OH","yearly","asmr_who","5"
"USA-OK","yearly","asmr_who","10"
"USA-OR","yearly","asmr_who","5"
"USA-PA","yearly","asmr_who","5"
"USA-RI","yearly","asmr_who","5"
"USA-SC","yearly","asmr_who","5"
"USA-SD","yearly","asmr_who","6"
"USA-TN","yearly","asmr_who","5"
"USA-TX","yearly","asmr_who","6"
"USA-UT","yearly","asmr_who","5"
"USA-VA","yearly","asmr_who","5"
"USA-VT","yearly","asmr_who","6"
"USA-WA","yearly","asmr_who","7"
"USA-WI","yearly","asmr_who","5"
"USA-WV","yearly","asmr_who","5"
"USA-WY","yearly","asmr_who","6"
"UZB","yearly","asmr_who",
"VCT","yearly","asmr_who",
"VEN","yearly","asmr_who",
"VGB","yearly","asmr_who",
"VIR","yearly","asmr_who",
"VNM","yearly","asmr_who",
"VUT","yearly","asmr_who",
"WLF","yearly","asmr_who",
"WSM","yearly","asmr_who",
"XKX","yearly","asmr_who",
"YEM","yearly","asmr_who",
"ZAF","yearly","asmr_who",
"ZMB","yearly","asmr_who",
"ZWE","yearly","asmr_who",
"ALB","yearly","asmr_esp",
"ABW","yearly","asmr_esp",
"AFG","yearly","asmr_esp",
"AGO","yearly","asmr_esp",
"AIA","yearly","asmr_esp",
"AND","yearly","asmr_esp","5"
"ARE","yearly","asmr_esp",
"ARG","yearly","asmr_esp",
"ARM","yearly","asmr_esp",
"ASM","yearly","asmr_esp",
"ATG","yearly","asmr_esp",
"AUS","yearly","asmr_esp",
"AUT","yearly","asmr_esp","5"
"AZE","yearly","asmr_esp",
"BDI","yearly","asmr_esp",
"BEL","yearly","asmr_esp","6"
"BEN","yearly","asmr_esp",
"BES","yearly","asmr_esp",
"BFA","yearly","asmr_esp",
"BGD","yearly","asmr_esp",
"BGR","yearly","asmr_esp","6"
"BHR","yearly","asmr_esp",
"BHS","yearly","asmr_esp",
"BIH","yearly","asmr_esp",
"BLM","yearly","asmr_esp",
"BLR","yearly","asmr_esp",
"BLZ","yearly","asmr_esp",
"BMU","yearly","asmr_esp",
"BOL","yearly","asmr_esp",
"BRA","yearly","asmr_esp",
"BRB","yearly","asmr_esp",
"BRN","yearly","asmr_esp",
"BTN","yearly","asmr_esp",
"BWA","yearly","asmr_esp",
"CAF","yearly","asmr_esp",
"CAN","yearly","asmr_esp","5"
"CHE","yearly","asmr_esp","5"
"CHL","yearly","asmr_esp",
"CHN","yearly","asmr_esp",
"CIV","yearly","asmr_esp",
"CMR","yearly","asmr_esp",
"COD","yearly","asmr_esp",
"COG","yearly","asmr_esp",
"COK","yearly","asmr_esp",
"COL","yearly","asmr_esp",
"COM","yearly","asmr_esp",
"CPV","yearly","asmr_esp",
"CRI","yearly","asmr_esp",
"CUB","yearly","asmr_esp",
"CUW","yearly","asmr_esp",
"CYM","yearly","asmr_esp",
"CYP","yearly","asmr_esp",
"CZE","yearly","asmr_esp","5"
"DEU","yearly","asmr_esp","6"
"DEU-BB","yearly","asmr_esp","5"
"DEU-BE","yearly","asmr_esp","11"
"DEU-BW","yearly","asmr_esp","11"
"DEU-BY","yearly","asmr_esp","10"
"DEU-HB","yearly","asmr_esp","12"
"DEU-HE","yearly","asmr_esp","11"
"DEU-HH","yearly","asmr_esp","11"
"DEU-MV","yearly","asmr_esp","11"
"DEU-NI","yearly","asmr_esp","11"
"DEU-NW","yearly","asmr_esp","9"
"DEU-RP","yearly","asmr_esp","11"
"DEU-SH","yearly","asmr_esp","8"
"DEU-SL","yearly","asmr_esp","7"
"DEU-SN","yearly","asmr_esp","11"
"DEU-ST","yearly","asmr_esp","10"
"DEU-TH","yearly","asmr_esp","10"
"DJI","yearly","asmr_esp",
"DMA","yearly","asmr_esp",
"DNK","yearly","asmr_esp","5"
"DOM","yearly","asmr_esp",
"DZA","yearly","asmr_esp",
"ECU","yearly","asmr_esp",
"EGY","yearly","asmr_esp",
"ERI","yearly","asmr_esp",
"ESH","yearly","asmr_esp",
"ESP","yearly","asmr_esp","6"
"EST","yearly","asmr_esp","5"
"ETH","yearly","asmr_esp",
"FIN","yearly","asmr_esp","5"
"FJI","yearly","asmr_esp",
"FLK","yearly","asmr_esp",
"FRA","yearly","asmr_esp","6"
"FRO","yearly","asmr_esp",
"FSM","yearly","asmr_esp",
"GAB","yearly","asmr_esp",
"GBR","yearly","asmr_esp",
"GBRTENW","yearly","asmr_esp","5"
"GBR_NIR","yearly","asmr_esp",
"GBR_SCO","yearly","asmr_esp","5"
"GEO","yearly","asmr_esp",
"GGY","yearly","asmr_esp",
"GHA","yearly","asmr_esp",
"GIB","yearly","asmr_esp",
"GIN","yearly","asmr_esp",
"GLP","yearly","asmr_esp",
"GMB","yearly","asmr_esp",
"GNB","yearly","asmr_esp",
"GNQ","yearly","asmr_esp",
"GRC","yearly","asmr_esp",
"GRD","yearly","asmr_esp",
"GRL","yearly","asmr_esp",
"GTM","yearly","asmr_esp",
"GUF","yearly","asmr_esp",
"GUM","yearly","asmr_esp",
"GUY","yearly","asmr_esp",
"HKG","yearly","asmr_esp",
"HND","yearly","asmr_esp",
"HRV","yearly","asmr_esp","12"
"HTI","yearly","asmr_esp",
"HUN","yearly","asmr_esp","12"
"IDN","yearly","asmr_esp",
"IMN","yearly","asmr_esp",
"IND","yearly","asmr_esp",
"IRL","yearly","asmr_esp",
"IRN","yearly","asmr_esp",
"IRQ","yearly","asmr_esp",
"ISL","yearly","asmr_esp","12"
"ISR","yearly","asmr_esp","6"
"ITA","yearly","asmr_esp","5"
"JAM","yearly","asmr_esp",
"JEY","yearly","asmr_esp",
"JOR","yearly","asmr_esp",
"JPN","yearly","asmr_esp",
"KAZ","yearly","asmr_esp",
"KEN","yearly","asmr_esp",
"KGZ","yearly","asmr_esp",
"KHM","yearly","asmr_esp",
"KIR","yearly","asmr_esp",
"KNA","yearly","asmr_esp",
"KOR","yearly","asmr_esp","6"
"KWT","yearly","asmr_esp",
"LAO","yearly","asmr_esp",
"LBN","yearly","asmr_esp",
"LBR","yearly","asmr_esp",
"LBY","yearly","asmr_esp",
"LCA","yearly","asmr_esp",
"LIE","yearly","asmr_esp","10"
"LKA","yearly","asmr_esp",
"LSO","yearly","asmr_esp",
"LTU","yearly","asmr_esp","12"
"LUX","yearly","asmr_esp","6"
"LVA","yearly","asmr_esp","5"
"MAC","yearly","asmr_esp",
"MAF","yearly","asmr_esp",
"MAR","yearly","asmr_esp",
"MCO","yearly","asmr_esp",
"MDA","yearly","asmr_esp",
"MDG","yearly","asmr_esp",
"MDV","yearly","asmr_esp",
"MEX","yearly","asmr_esp",
"MHL","yearly","asmr_esp",
"MKD","yearly","asmr_esp",
"MLI","yearly","asmr_esp",
"MLT","yearly","asmr_esp","5"
"MMR","yearly","asmr_esp",
"MNE","yearly","asmr_esp","11"
"MNG","yearly","asmr_esp",
"MNP","yearly","asmr_esp",
"MOZ","yearly","asmr_esp",
"MRT","yearly","asmr_esp",
"MSR","yearly","asmr_esp",
"MTQ","yearly","asmr_esp",
"MUS","yearly","asmr_esp",
"MWI","yearly","asmr_esp",
"MYS","yearly","asmr_esp",
"MYT","yearly","asmr_esp",
"NAM","yearly","asmr_esp",
"NCL","yearly","asmr_esp",
"NER","yearly","asmr_esp",
"NGA","yearly","asmr_esp",
"NIC","yearly","asmr_esp",
"NIU","yearly","asmr_esp",
"NLD","yearly","asmr_esp","5"
"NOR","yearly","asmr_esp","12"
"NPL","yearly","asmr_esp",
"NRU","yearly","asmr_esp",
"NZL","yearly","asmr_esp","5"
"OMN","yearly","asmr_esp",
"PAK","yearly","asmr_esp",
"PAN","yearly","asmr_esp",
"PER","yearly","asmr_esp",
"PHL","yearly","asmr_esp",
"PLW","yearly","asmr_esp",
"PNG","yearly","asmr_esp",
"POL","yearly","asmr_esp","5"
"PRI","yearly","asmr_esp",
"PRK","yearly","asmr_esp",
"PRT","yearly","asmr_esp","6"
"PRY","yearly","asmr_esp",
"PSE","yearly","asmr_esp",
"PYF","yearly","asmr_esp",
"QAT","yearly","asmr_esp",
"REU","yearly","asmr_esp",
"ROU","yearly","asmr_esp",
"RUS","yearly","asmr_esp","8"
"RWA","yearly","asmr_esp",
"SAU","yearly","asmr_esp",
"SDN","yearly","asmr_esp",
"SEN","yearly","asmr_esp",
"SGP","yearly","asmr_esp",
"SHN","yearly","asmr_esp",
"SLB","yearly","asmr_esp",
"SLE","yearly","asmr_esp",
"SLV","yearly","asmr_esp",
"SMR","yearly","asmr_esp",
"SOM","yearly","asmr_esp",
"SPM","yearly","asmr_esp",
"SRB","yearly","asmr_esp","8"
"SSD","yearly","asmr_esp",
"STP","yearly","asmr_esp",
"SUR","yearly","asmr_esp",
"SVK","yearly","asmr_esp","5"
"SVN","yearly","asmr_esp","5"
"SWE","yearly","asmr_esp","12"
"SWZ","yearly","asmr_esp",
"SXM","yearly","asmr_esp",
"SYC","yearly","asmr_esp",
"SYR","yearly","asmr_esp",
"TCA","yearly","asmr_esp",
"TCD","yearly","asmr_esp",
"TGO","yearly","asmr_esp",
"THA","yearly","asmr_esp",
"TJK","yearly","asmr_esp",
"TKL","yearly","asmr_esp",
"TKM","yearly","asmr_esp",
"TLS","yearly","asmr_esp",
"TON","yearly","asmr_esp",
"TTO","yearly","asmr_esp",
"TUN","yearly","asmr_esp",
"TUR","yearly","asmr_esp",
"TUV","yearly","asmr_esp",
"TWN","yearly","asmr_esp","6"
"TZA","yearly","asmr_esp",
"UGA","yearly","asmr_esp",
"UKR","yearly","asmr_esp",
"URY","yearly","asmr_esp",
"USA","yearly","asmr_esp","5"
"USA-AK","yearly","asmr_esp","11"
"USA-AL","yearly","asmr_esp","8"
"USA-AR","yearly","asmr_esp","5"
"USA-AZ","yearly","asmr_esp","5"
"USA-CA","yearly","asmr_esp","5"
"USA-CO","yearly","asmr_esp","5"
"USA-CT","yearly","asmr_esp","5"
"USA-DC","yearly","asmr_esp","5"
"USA-DE","yearly","asmr_esp","7"
"USA-FL","yearly","asmr_esp","5"
"USA-GA","yearly","asmr_esp","6"
"USA-HI","yearly","asmr_esp","7"
"USA-IA","yearly","asmr_esp","7"
"USA-ID","yearly","asmr_esp","5"
"USA-IL","yearly","asmr_esp","5"
"USA-IN","yearly","asmr_esp","5"
"USA-KS","yearly","asmr_esp","6"
"USA-KY","yearly","asmr_esp","5"
"USA-LA","yearly","asmr_esp","8"
"USA-MA","yearly","asmr_esp","5"
"USA-MD","yearly","asmr_esp","5"
"USA-ME","yearly","asmr_esp","5"
"USA-MI","yearly","asmr_esp","5"
"USA-MN","yearly","asmr_esp","5"
"USA-MO","yearly","asmr_esp","6"
"USA-MS","yearly","asmr_esp","5"
"USA-MT","yearly","asmr_esp","7"
"USA-NC","yearly","asmr_esp","5"
"USA-ND","yearly","asmr_esp","10"
"USA-NE","yearly","asmr_esp","6"
"USA-NH","yearly","asmr_esp","5"
"USA-NJ","yearly","asmr_esp","5"
"USA-NM","yearly","asmr_esp","6"
"USA-NV","yearly","asmr_esp","8"
"USA-NY","yearly","asmr_esp","5"
"USA-OH","yearly","asmr_esp","5"
"USA-OK","yearly","asmr_esp","7"
"USA-OR","yearly","asmr_esp","5"
"USA-PA","yearly","asmr_esp","5"
"USA-RI","yearly","asmr_esp","5"
"USA-SC","yearly","asmr_esp","5"
"USA-SD","yearly","asmr_esp","6"
"USA-TN","yearly","asmr_esp","5"
"USA-TX","yearly","asmr_esp","6"
"USA-UT","yearly","asmr_esp","5"
"USA-VA","yearly","asmr_esp","5"
"USA-VT","yearly","asmr_esp","5"
"USA-WA","yearly","asmr_esp","8"
"USA-WI","yearly","asmr_esp","5"
"USA-WV","yearly","asmr_esp","6"
"USA-WY","yearly","asmr_esp","6"
"UZB","yearly","asmr_esp",
"VCT","yearly","asmr_esp",
"VEN","yearly","asmr_esp",
"VGB","yearly","asmr_esp",
"VIR","yearly","asmr_esp",
"VNM","yearly","asmr_esp",
"VUT","yearly","asmr_esp",
"WLF","yearly","asmr_esp",
"WSM","yearly","asmr_esp",
"XKX","yearly","asmr_esp",
"YEM","yearly","asmr_esp",
"ZAF","yearly","asmr_esp",
"ZMB","yearly","asmr_esp",
"ZWE","yearly","asmr_esp",
"ALB","yearly","asmr_usa",
"ABW","yearly","asmr_usa",
"AFG","yearly","asmr_usa",
"AGO","yearly","asmr_usa",
"AIA","yearly","asmr_usa",
"AND","yearly","asmr_usa","5"
"ARE","yearly","asmr_usa",
"ARG","yearly","asmr_usa",
"ARM","yearly","asmr_usa",
"ASM","yearly","asmr_usa",
"ATG","yearly","asmr_usa",
"AUS","yearly","asmr_usa",
"AUT","yearly","asmr_usa","5"
"AZE","yearly","asmr_usa",
"BDI","yearly","asmr_usa",
"BEL","yearly","asmr_usa","6"
"BEN","yearly","asmr_usa",
"BES","yearly","asmr_usa",
"BFA","yearly","asmr_usa",
"BGD","yearly","asmr_usa",
"BGR","yearly","asmr_usa","6"
"BHR","yearly","asmr_usa",
"BHS","yearly","asmr_usa",
"BIH","yearly","asmr_usa",
"BLM","yearly","asmr_usa",
"BLR","yearly","asmr_usa",
"BLZ","yearly","asmr_usa",
"BMU","yearly","asmr_usa",
"BOL","yearly","asmr_usa",
"BRA","yearly","asmr_usa",
"BRB","yearly","asmr_usa",
"BRN","yearly","asmr_usa",
"BTN","yearly","asmr_usa",
"BWA","yearly","asmr_usa",
"CAF","yearly","asmr_usa",
"CAN","yearly","asmr_usa","5"
"CHE","yearly","asmr_usa","5"
"CHL","yearly","asmr_usa",
"CHN","yearly","asmr_usa",
"CIV","yearly","asmr_usa",
"CMR","yearly","asmr_usa",
"COD","yearly","asmr_usa",
"COG","yearly","asmr_usa",
"COK","yearly","asmr_usa",
"COL","yearly","asmr_usa",
"COM","yearly","asmr_usa",
"CPV","yearly","asmr_usa",
"CRI","yearly","asmr_usa",
"CUB","yearly","asmr_usa",
"CUW","yearly","asmr_usa",
"CYM","yearly","asmr_usa",
"CYP","yearly","asmr_usa",
"CZE","yearly","asmr_usa","5"
"DEU","yearly","asmr_usa","6"
"DEU-BB","yearly","asmr_usa","5"
"DEU-BE","yearly","asmr_usa","11"
"DEU-BW","yearly","asmr_usa","11"
"DEU-BY","yearly","asmr_usa","10"
"DEU-HB","yearly","asmr_usa","12"
"DEU-HE","yearly","asmr_usa","11"
"DEU-HH","yearly","asmr_usa","11"
"DEU-MV","yearly","asmr_usa","12"
"DEU-NI","yearly","asmr_usa","11"
"DEU-NW","yearly","asmr_usa","9"
"DEU-RP","yearly","asmr_usa","11"
"DEU-SH","yearly","asmr_usa","8"
"DEU-SL","yearly","asmr_usa","7"
"DEU-SN","yearly","asmr_usa","11"
"DEU-ST","yearly","asmr_usa","11"
"DEU-TH","yearly","asmr_usa","10"
"DJI","yearly","asmr_usa",
"DMA","yearly","asmr_usa",
"DNK","yearly","asmr_usa","5"
"DOM","yearly","asmr_usa",
"DZA","yearly","asmr_usa",
"ECU","yearly","asmr_usa",
"EGY","yearly","asmr_usa",
"ERI","yearly","asmr_usa",
"ESH","yearly","asmr_usa",
"ESP","yearly","asmr_usa","6"
"EST","yearly","asmr_usa","5"
"ETH","yearly","asmr_usa",
"FIN","yearly","asmr_usa","6"
"FJI","yearly","asmr_usa",
"FLK","yearly","asmr_usa",
"FRA","yearly","asmr_usa","9"
"FRO","yearly","asmr_usa",
"FSM","yearly","asmr_usa",
"GAB","yearly","asmr_usa",
"GBR","yearly","asmr_usa",
"GBRTENW","yearly","asmr_usa","5"
"GBR_NIR","yearly","asmr_usa",
"GBR_SCO","yearly","asmr_usa","5"
"GEO","yearly","asmr_usa",
"GGY","yearly","asmr_usa",
"GHA","yearly","asmr_usa",
"GIB","yearly","asmr_usa",
"GIN","yearly","asmr_usa",
"GLP","yearly","asmr_usa",
"GMB","yearly","asmr_usa",
"GNB","yearly","asmr_usa",
"GNQ","yearly","asmr_usa",
"GRC","yearly","asmr_usa",
"GRD","yearly","asmr_usa",
"GRL","yearly","asmr_usa",
"GTM","yearly","asmr_usa",
"GUF","yearly","asmr_usa",
"GUM","yearly","asmr_usa",
"GUY","yearly","asmr_usa",
"HKG","yearly","asmr_usa",
"HND","yearly","asmr_usa",
"HRV","yearly","asmr_usa","12"
"HTI","yearly","asmr_usa",
"HUN","yearly","asmr_usa","12"
"IDN","yearly","asmr_usa",
"IMN","yearly","asmr_usa",
"IND","yearly","asmr_usa",
"IRL","yearly","asmr_usa",
"IRN","yearly","asmr_usa",
"IRQ","yearly","asmr_usa",
"ISL","yearly","asmr_usa","11"
"ISR","yearly","asmr_usa","6"
"ITA","yearly","asmr_usa","5"
"JAM","yearly","asmr_usa",
"JEY","yearly","asmr_usa",
"JOR","yearly","asmr_usa",
"JPN","yearly","asmr_usa",
"KAZ","yearly","asmr_usa",
"KEN","yearly","asmr_usa",
"KGZ","yearly","asmr_usa",
"KHM","yearly","asmr_usa",
"KIR","yearly","asmr_usa",
"KNA","yearly","asmr_usa",
"KOR","yearly","asmr_usa","6"
"KWT","yearly","asmr_usa",
"LAO","yearly","asmr_usa",
"LBN","yearly","asmr_usa",
"LBR","yearly","asmr_usa",
"LBY","yearly","asmr_usa",
"LCA","yearly","asmr_usa",
"LIE","yearly","asmr_usa","6"
"LKA","yearly","asmr_usa",
"LSO","yearly","asmr_usa",
"LTU","yearly","asmr_usa","12"
"LUX","yearly","asmr_usa","6"
"LVA","yearly","asmr_usa","5"
"MAC","yearly","asmr_usa",
"MAF","yearly","asmr_usa",
"MAR","yearly","asmr_usa",
"MCO","yearly","asmr_usa",
"MDA","yearly","asmr_usa",
"MDG","yearly","asmr_usa",
"MDV","yearly","asmr_usa",
"MEX","yearly","asmr_usa",
"MHL","yearly","asmr_usa",
"MKD","yearly","asmr_usa",
"MLI","yearly","asmr_usa",
"MLT","yearly","asmr_usa","5"
"MMR","yearly","asmr_usa",
"MNE","yearly","asmr_usa","11"
"MNG","yearly","asmr_usa",
"MNP","yearly","asmr_usa",
"MOZ","yearly","asmr_usa",
"MRT","yearly","asmr_usa",
"MSR","yearly","asmr_usa",
"MTQ","yearly","asmr_usa",
"MUS","yearly","asmr_usa",
"MWI","yearly","asmr_usa",
"MYS","yearly","asmr_usa",
"MYT","yearly","asmr_usa",
"NAM","yearly","asmr_usa",
"NCL","yearly","asmr_usa",
"NER","yearly","asmr_usa",
"NGA","yearly","asmr_usa",
"NIC","yearly","asmr_usa",
"NIU","yearly","asmr_usa",
"NLD","yearly","asmr_usa","5"
"NOR","yearly","asmr_usa","12"
"NPL","yearly","asmr_usa",
"NRU","yearly","asmr_usa",
"NZL","yearly","asmr_usa","5"
"OMN","yearly","asmr_usa",
"PAK","yearly","asmr_usa",
"PAN","yearly","asmr_usa",
"PER","yearly","asmr_usa",
"PHL","yearly","asmr_usa",
"PLW","yearly","asmr_usa",
"PNG","yearly","asmr_usa",
"POL","yearly","asmr_usa","5"
"PRI","yearly","asmr_usa",
"PRK","yearly","asmr_usa",
"PRT","yearly","asmr_usa","6"
"PRY","yearly","asmr_usa",
"PSE","yearly","asmr_usa",
"PYF","yearly","asmr_usa",
"QAT","yearly","asmr_usa",
"REU","yearly","asmr_usa",
"ROU","yearly","asmr_usa",
"RUS","yearly","asmr_usa","8"
"RWA","yearly","asmr_usa",
"SAU","yearly","asmr_usa",
"SDN","yearly","asmr_usa",
"SEN","yearly","asmr_usa",
"SGP","yearly","asmr_usa",
"SHN","yearly","asmr_usa",
"SLB","yearly","asmr_usa",
"SLE","yearly","asmr_usa",
"SLV","yearly","asmr_usa",
"SMR","yearly","asmr_usa",
"SOM","yearly","asmr_usa",
"SPM","yearly","asmr_usa",
"SRB","yearly","asmr_usa","8"
"SSD","yearly","asmr_usa",
"STP","yearly","asmr_usa",
"SUR","yearly","asmr_usa",
"SVK","yearly","asmr_usa","5"
"SVN","yearly","asmr_usa","5"
"SWE","yearly","asmr_usa","12"
"SWZ","yearly","asmr_usa",
"SXM","yearly","asmr_usa",
"SYC","yearly","asmr_usa",
"SYR","yearly","asmr_usa",
"TCA","yearly","asmr_usa",
"TCD","yearly","asmr_usa",
"TGO","yearly","asmr_usa",
"THA","yearly","asmr_usa",
"TJK","yearly","asmr_usa",
"TKL","yearly","asmr_usa",
"TKM","yearly","asmr_usa",
"TLS","yearly","asmr_usa",
"TON","yearly","asmr_usa",
"TTO","yearly","asmr_usa",
"TUN","yearly","asmr_usa",
"TUR","yearly","asmr_usa",
"TUV","yearly","asmr_usa",
"TWN","yearly","asmr_usa","6"
"TZA","yearly","asmr_usa",
"UGA","yearly","asmr_usa",
"UKR","yearly","asmr_usa",
"URY","yearly","asmr_usa",
"USA","yearly","asmr_usa","5"
"USA-AK","yearly","asmr_usa","11"
"USA-AL","yearly","asmr_usa","5"
"USA-AR","yearly","asmr_usa","9"
"USA-AZ","yearly","asmr_usa","5"
"USA-CA","yearly","asmr_usa","5"
"USA-CO","yearly","asmr_usa","5"
"USA-CT","yearly","asmr_usa","5"
"USA-DC","yearly","asmr_usa","5"
"USA-DE","yearly","asmr_usa","6"
"USA-FL","yearly","asmr_usa","5"
"USA-GA","yearly","asmr_usa","5"
"USA-HI","yearly","asmr_usa","6"
"USA-IA","yearly","asmr_usa","7"
"USA-ID","yearly","asmr_usa","5"
"USA-IL","yearly","asmr_usa","5"
"USA-IN","yearly","asmr_usa","5"
"USA-KS","yearly","asmr_usa","6"
"USA-KY","yearly","asmr_usa","5"
"USA-LA","yearly","asmr_usa","8"
"USA-MA","yearly","asmr_usa","5"
"USA-MD","yearly","asmr_usa","5"
"USA-ME","yearly","asmr_usa","5"
"USA-MI","yearly","asmr_usa","5"
"USA-MN","yearly","asmr_usa","5"
"USA-MO","yearly","asmr_usa","6"
"USA-MS","yearly","asmr_usa","5"
"USA-MT","yearly","asmr_usa","7"
"USA-NC","yearly","asmr_usa","5"
"USA-ND","yearly","asmr_usa","10"
"USA-NE","yearly","asmr_usa","6"
"USA-NH","yearly","asmr_usa","5"
"USA-NJ","yearly","asmr_usa","5"
"USA-NM","yearly","asmr_usa","6"
"USA-NV","yearly","asmr_usa","8"
"USA-NY","yearly","asmr_usa","5"
"USA-OH","yearly","asmr_usa","5"
"USA-OK","yearly","asmr_usa","7"
"USA-OR","yearly","asmr_usa","5"
"USA-PA","yearly","asmr_usa","5"
"USA-RI","yearly","asmr_usa","5"
"USA-SC","yearly","asmr_usa","5"
"USA-SD","yearly","asmr_usa","6"
"USA-TN","yearly","asmr_usa","5"
"USA-TX","yearly","asmr_usa","6"
"USA-UT","yearly","asmr_usa","5"
"USA-VA","yearly","asmr_usa","5"
"USA-VT","yearly","asmr_usa","6"
"USA-WA","yearly","asmr_usa","8"
"USA-WI","yearly","asmr_usa","5"
"USA-WV","yearly","asmr_usa","6"
"USA-WY","yearly","asmr_usa","9"
"UZB","yearly","asmr_usa",
"VCT","yearly","asmr_usa",
"VEN","yearly","asmr_usa",
"VGB","yearly","asmr_usa",
"VIR","yearly","asmr_usa",
"VNM","yearly","asmr_usa",
"VUT","yearly","asmr_usa",
"WLF","yearly","asmr_usa",
"WSM","yearly","asmr_usa",
"XKX","yearly","asmr_usa",
"YEM","yearly","asmr_usa",
"ZAF","yearly","asmr_usa",
"ZMB","yearly","asmr_usa",
"ZWE","yearly","asmr_usa",
"ALB","yearly","asmr_country",
"ABW","yearly","asmr_country",
"AFG","yearly","asmr_country",
"AGO","yearly","asmr_country",
"AIA","yearly","asmr_country",
"AND","yearly","asmr_country","5"
"ARE","yearly","asmr_country",
"ARG","yearly","asmr_country",
"ARM","yearly","asmr_country",
"ASM","yearly","asmr_country",
"ATG","yearly","asmr_country",
"AUS","yearly","asmr_country",
"AUT","yearly","asmr_country","5"
"AZE","yearly","asmr_country",
"BDI","yearly","asmr_country",
"BEL","yearly","asmr_country","6"
"BEN","yearly","asmr_country",
"BES","yearly","asmr_country",
"BFA","yearly","asmr_country",
"BGD","yearly","asmr_country",
"BGR","yearly","asmr_country","6"
"BHR","yearly","asmr_country",
"BHS","yearly","asmr_country",
"BIH","yearly","asmr_country",
"BLM","yearly","asmr_country",
"BLR","yearly","asmr_country",
"BLZ","yearly","asmr_country",
"BMU","yearly","asmr_country",
"BOL","yearly","asmr_country",
"BRA","yearly","asmr_country",
"BRB","yearly","asmr_country",
"BRN","yearly","asmr_country",
"BTN","yearly","asmr_country",
"BWA","yearly","asmr_country",
"CAF","yearly","asmr_country",
"CAN","yearly","asmr_country","5"
"CHE","yearly","asmr_country","5"
"CHL","yearly","asmr_country",
"CHN","yearly","asmr_country",
"CIV","yearly","asmr_country",
"CMR","yearly","asmr_country",
"COD","yearly","asmr_country",
"COG","yearly","asmr_country",
"COK","yearly","asmr_country",
"COL","yearly","asmr_country",
"COM","yearly","asmr_country",
"CPV","yearly","asmr_country",
"CRI","yearly","asmr_country",
"CUB","yearly","asmr_country",
"CUW","yearly","asmr_country",
"CYM","yearly","asmr_country",
"CYP","yearly","asmr_country",
"CZE","yearly","asmr_country","5"
"DEU","yearly","asmr_country","6"
"DEU-BB","yearly","asmr_country","11"
"DEU-BE","yearly","asmr_country","10"
"DEU-BW","yearly","asmr_country","11"
"DEU-BY","yearly","asmr_country","10"
"DEU-HB","yearly","asmr_country","12"
"DEU-HE","yearly","asmr_country","7"
"DEU-HH","yearly","asmr_country","10"
"DEU-MV","yearly","asmr_country","11"
"DEU-NI","yearly","asmr_country","9"
"DEU-NW","yearly","asmr_country","8"
"DEU-RP","yearly","asmr_country","11"
"DEU-SH","yearly","asmr_country","8"
"DEU-SL","yearly","asmr_country","7"
"DEU-SN","yearly","asmr_country","11"
