"iso3c","chart_type","type","window"
"REU","yearly","deaths","9"
"ROU","yearly","deaths","12"
"RUS","yearly","deaths","12"
"RWA","yearly","deaths","12"
"SAU","yearly","deaths","5"
"SDN","yearly","deaths","7"
"SEN","yearly","deaths","5"
"SGP","yearly","deaths","12"
"SHN","yearly","deaths",
"SLB","yearly","deaths","8"
"SLE","yearly","deaths","6"
"SLV","yearly","deaths","5"
"SMR","yearly","deaths","12"
"SOM","yearly","deaths","12"
"SPM","yearly","deaths",
"SRB","yearly","deaths","5"
"SSD","yearly","deaths","12"
"STP","yearly","deaths","5"
"SUR","yearly","deaths","5"
"SVK","yearly","deaths","11"
"SVN","yearly","deaths","6"
"SWE","yearly","deaths","8"
"SWZ","yearly","deaths","5"
"SXM","yearly","deaths","11"
"SYC","yearly","deaths","8"
"SYR","yearly","deaths","12"
"TCA","yearly","deaths","7"
"TCD","yearly","deaths","5"
"TGO","yearly","deaths","5"
"THA","yearly","deaths","5"
"TJK","yearly","deaths","6"
"TKL","yearly","deaths","5"
"TKM","yearly","deaths","5"
"TLS","yearly","deaths","5"
"TON","yearly","deaths","5"
"TTO","yearly","deaths","6"
"TUN","yearly","deaths","5"
"TUR","yearly","deaths","6"
"TUV","yearly","deaths","5"
"TWN","yearly","deaths","8"
"TZA","yearly","deaths","5"
"UGA","yearly","deaths","5"
"UKR","yearly","deaths","5"
"URY","yearly","deaths","5"
"USA","yearly","deaths","6"
"USA-AK","yearly","deaths","10"
"USA-AL","yearly","deaths","5"
"USA-AR","yearly","deaths","9"
"USA-AZ","yearly","deaths","5"
"USA-CA","yearly","deaths","5"
"USA-CO","yearly","deaths","5"
"USA-CT","yearly","deaths","5"
"USA-DC","yearly","deaths","5"
"USA-DE","yearly","deaths","5"
"USA-FL","yearly","deaths","5"
"USA-GA","yearly","deaths","5"
"USA-HI","yearly","deaths","7"
"USA-IA","yearly","deaths","7"
"USA-ID","yearly","deaths","5"
"USA-IL","yearly","deaths","5"
"USA-IN","yearly","deaths","5"
"USA-KS","yearly","deaths","6"
"USA-KY","yearly","deaths","5"
"USA-LA","yearly","deaths","7"
"USA-MA","yearly","deaths","5"
"USA-MD","yearly","deaths","5"
"USA-ME","yearly","deaths","5"
"USA-MI","yearly","deaths","5"
"USA-MN","yearly","deaths","5"
"USA-MO","yearly","deaths","5"
"USA-MS","yearly","deaths","6"
"USA-MT","yearly","deaths","7"
"USA-NC","yearly","deaths","5"
"USA-ND","yearly","deaths","5"
"USA-NE","yearly","deaths","7"
"USA-NH","yearly","deaths","5"
"USA-NJ","yearly","deaths","5"
"USA-NM","yearly","deaths","10"
"USA-NV","yearly","deaths","5"
"USA-NY","yearly","deaths","5"
"USA-OH","yearly","deaths","5"
"USA-OK","yearly","deaths","9"
"USA-OR","yearly","deaths","5"
"USA-PA","yearly","deaths","5"
"USA-RI","yearly","deaths","5"
"USA-SC","yearly","deaths","5"
"USA-SD","yearly","deaths","6"
"USA-TN","yearly","deaths","5"
"USA-TX","yearly","deaths","5"
"USA-UT","yearly","deaths","5"
"USA-VA","yearly","deaths","5"
"USA-VT","yearly","deaths","6"
"USA-WA","yearly","deaths","5"
"USA-WI","yearly","deaths","5"
