"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"AUS","2015-2016",27574,15959657,172.8,,,,,,,,,,,,
"AUS","2016-2017",27539,16166427,170.4,,,,,,,,,,,,
"AUS","2017-2018",28065,16373749,171.4,,,,,,,,,,,,
"AUS","2018-2019",28032,16550868,169.4,,,,,,,,,,,,
"AUS","2019-2020",27798,16645867,167,,,,,,,,,,,,
"AUS","2020-2021",27470,16672548,164.8,,,,,,,,,,,,
"AUS","2021-2022",28548,16686619,171.1,,,,,,,,,,,,
"AUT","2022-2023",12286,5802023,211.8,,,,,,,,,,,,
"BEL","2022-2023",15365,7359188,208.8,,,,,,,,,,,,
"BGR","2022-2023",20102,4293406,468.2,,,,,,,,,,,,
"CAN","2010-2011",50746,23747801,213.7,,,,,,,,,,,,
"CAN","2011-2012",50329,23894432,210.6,,,,,,,,,,,,
"CAN","2012-2013",50322,24023015,209.5,,,,,,,,,,,,
"CAN","2013-2014",50662,24125183,210,,,,,,,,,,,,
"CAN","2014-2015",51833,24217690,214,51962,50666,53257,-129,1167,-1424,214.86,209.38,220.34,-0.86,4.62,-6.34
"CAN","2015-2016",52450,24340009,215.5,52530,51362,53697,-80,1088,-1247,215.58,210.64,220.52,-0.08,4.86,-5.02
"CAN","2016-2017",53115,24514194,216.7,53098,51976,54220,17,1139,-1105,216.3,211.55,221.05,0.4,5.15,-4.35
"CAN","2017-2018",54385,24726787,219.9,53666,52498,54834,719,1887,-449,217.02,212.08,221.96,2.88,7.82,-2.06
"CAN","2018-2019",53706,24933146,215.4,54234,52939,55529,-528,767,-1823,217.74,212.26,223.22,-2.34,3.14,-7.82
"CAN","2019-2020",54826,25058268,218.8,54802,53318,56286,24,1508,-1460,218.46,212.18,224.74,0.34,6.62,-5.94
"CAN","2020-2021",59425,25036434,237.4,55370,53657,57084,4055,5768,2341,219.18,211.93,226.43,18.22,25.47,10.97
"CAN","2021-2022",60634,24912023,243.4,55938,53968,57908,4696,6666,2726,219.9,211.56,228.24,23.5,31.84,15.16
"CHE","2022-2023",7958,5786288,137.5,,,,,,,,,,,,
"CHL","2016-2017",27338,12051272,226.9,,,,,,,,,,,,
"CHL","2017-2018",26590,12106445,219.6,,,,,,,,,,,,
"CHL","2018-2019",27560,12147707,226.9,,,,,,,,,,,,
"CHL","2019-2020",30052,12178957,246.7,,,,,,,,,,,,
"CHL","2020-2021",34963,12200088,286.6,,,,,,,,,,,,
"CHL","2021-2022",33034,12218520,270.4,,,,,,,,,,,,
"CHL","2022-2023",30555,12237147,249.7,,,,,,,,,,,,
"DNK","2022-2023",7193,3768261,190.9,,,,,,,,,,,,
"ESP","2022-2023",59183,30974662,191.1,,,,,,,,,,,,
"EST","2022-2023",3073,827989,371.1,,,,,,,,,,,,
"FIN","1990-1991",11953,3370529,354.6,,,,,,,,,,,,
"FIN","1991-1992",12010,3384864,354.8,,,,,,,,,,,,
"FIN","1992-1993",11152,3395748,328.4,,,,,,,,,,,,
"FIN","1993-1994",10963,3403405,322.1,,,,,,,,,,,,
"FIN","1994-1995",10841,3409591,317.9,11694,7413,15975,-853,3428,-5134,342.71,219.33,466.1,-24.81,98.57,-148.2
"FIN","1995-1996",10563,3416705,309.2,10917,6970,14864,-354,3593,-4301,319.25,205.49,433,-10.05,103.71,-123.8
"FIN","1996-1997",10567,3427371,308.3,10140,6372,13908,427,4195,-3341,295.78,187.16,404.4,12.52,121.14,-96.1
"FIN","1997-1998",10545,3441513,306.4,9363,5595,13131,1182,4950,-2586,272.32,163.7,380.94,34.08,142.7,-74.54
"FIN","1998-1999",10622,3454904,307.4,8586,4639,12533,2036,5983,-1911,248.85,135.1,362.61,58.55,172.3,-55.21
"FIN","1999-2000",5371,3462220,155.1,7809,3528,12090,-2438,1843,-6719,225.39,102,348.77,-70.29,53.1,-193.67
"FIN","2021-2022",3753,3423241,109.6,,,,,,,,,,,,
"FIN","2022-2023",7242,3422829,211.6,,,,,,,,,,,,
"FRA","2000-2001",103882,38672860,268.6,,,,,,,,,,,,
"FRA","2001-2002",105423,38940844,270.7,,,,,,,,,,,,
"FRA","2002-2003",104328,39222253,266,,,,,,,,,,,,
"FRA","2003-2004",104816,39511837,265.3,,,,,,,,,,,,
"FRA","2004-2005",103629,39807185,260.3,,,,,,,,,,,,
"FRA","2005-2006",103267,40118255,257.4,,,,,,,,,,,,
"FRA","2006-2007",104096,40357861,257.9,,,,,,,,,,,,
"FRA","2007-2008",105359,40515990,260,,,,,,,,,,,,
"FRA","2008-2009",105826,40623604,260.5,101059,45695,156422,4767,60131,-50596,,,,,,
"FRA","2009-2010",106481,40718599,261.5,98311,44624,151997,8170,61857,-45516,,,,,,
"FRA","2010-2011",105632,40739466,259.3,95563,43183,147942,10069,62449,-42310,217.47,48.4,386.53,41.83,210.9,-127.23
"FRA","2011-2012",104363,40678796,256.6,92815,41342,144287,11548,63021,-39924,213.96,52.12,375.8,42.64,204.48,-119.2
"FRA","2012-2013",50625,40630555,124.6,90067,39081,141052,-39442,11544,-90427,210.45,53.98,366.92,-85.85,70.62,-242.32
"FRA","2016-2017",46948,40311183,116.5,79075,25751,132398,-32127,21197,-85450,196.42,39.95,352.89,-79.92,76.55,-236.39
"FRA","2017-2018",94627,40313207,234.7,76327,21416,131238,18300,73211,-36611,192.91,31.07,354.74,41.79,203.63,-120.04
"FRA","2018-2019",92291,40315196,228.9,73579,16733,130424,18712,75558,-38133,189.4,20.33,358.46,39.5,208.57,-129.56
"FRA","2019-2020",91768,40313526,227.6,70831,11738,129923,20937,80030,-38155,185.89,7.97,363.82,41.71,219.63,-136.22
