"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"ARM","2020-2021",37553,,,,,,,2837098,1315.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARM","2021-2022",31526,,,,,,,2779605,1133.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATG","2015-2016",529,,,,,,,89958,588.1,,,,,,
"ATG","2016-2017",565,,,,,,,90249,626.1,,,,,,
"ATG","2017-2018",612,,,,,,,90958,672.9,,,,,,
"ATG","2018-2019",601,,,,,,,91249,658.6,,,,,,
"ATG","2019-2020",581,,,,,,,91958,631.8,,,,,,
"ATG","2020-2021",659,,,,,,,92124,715.2,,,,,,
"AUS","2015-2016",156824,,,,,,,24286918,645.6,,,,,,,352.6,,,,,,,804.6,,,,,,,564.3,,,,,,,677,,,,,,
"AUS","2016-2017",164808,,,,,,,24675947,667.7,,,,,,,359.4,,,,,,,824.9,,,,,,,577.4,,,,,,,693.7,,,,,,
"AUS","2017-2018",159176,,,,,,,25057048,635.2,,,,,,,341.6,,,,,,,774.7,,,,,,,544.1,,,,,,,652.7,,,,,,
"AUS","2018-2019",164373,,,,,,,25388908,647.3,,,,,,,341.9,,,,,,,778.6,,,,,,,546.3,,,,,,,655.8,,,,,,
"AUS","2019-2020",162530,,,,,,,25620172,634.4,,,,,,,330.4,,,,,,,747.7,,,,,,,525.5,,,,,,,630.4,,,,,,
"AUS","2020-2021",168276,,,,,,,25773190,652.9,,,,,,,330.4,,,,,,,751.1,,,,,,,526.9,,,,,,,633,,,,,,
"AUS","2021-2022",188136,,,,,,,25910860,726,,,,,,,355.4,,,,,,,813.8,,,,,,,570,,,,,,,685.2,,,,,,
"AUT","2000-2001",74140,,,,,,,8031942,923.1,,,,,,,509.6,,,,,,,1166.4,,,,,,,810.7,,,,,,,1212.6,,,,,,
"AUT","2001-2002",75938,,,,,,,8072165,940.8,,,,,,,500.6,,,,,,,1150.7,,,,,,,798,,,,,,,1195.8,,,,,,
"AUT","2002-2003",77998,,,,,,,8110550,961.7,,,,,,,503.9,,,,,,,1157.1,,,,,,,802.9,,,,,,,1202.3,,,,,,
"AUT","2003-2004",74175,,,,,,,8157185,909.4,,,,,,,471,,,,,,,1077.1,,,,,,,747.3,,,,,,,1119.1,,,,,,
"AUT","2004-2005",75303,74125,70921,77330,1178,4382,-2027,8213782,916.9,908.8,868.67,948.93,8.1,48.23,-32.03,468.3,,,,,,,1070.7,,,,,,,742.7,,,,,,,1112.5,,,,,,
"AUT","2005-2006",74660,74700,71556,77844,-40,3104,-3184,8260305,903.9,910.43,871.06,949.8,-6.53,32.84,-45.9,454.4,,,,,,,1040.9,,,,,,,721.3,,,,,,,1081.5,,,,,,
"AUT","2006-2007",73999,75275,72183,78367,-1276,1816,-4368,8288818,892.8,912.06,873.34,950.78,-19.26,19.46,-57.98,441.1,443.24,428.31,458.16,-2.14,12.79,-17.06,1012.1,,,,,,,701,,,,,,,1051.9,,,,,,
"AUT","2007-2008",75120,75850,72802,78899,-730,2318,-3779,8314514,903.5,913.69,875.51,951.86,-10.19,27.99,-48.36,438.7,438.34,423.77,452.91,0.36,14.93,-14.21,1010,1004.75,959.82,1049.68,5.25,50.18,-39.68,698.5,695.97,666.09,725.84,2.53,32.41,-27.34,1049.4,1044.8,997.94,1091.67,4.6,51.46,-42.27
"AUT","2008-2009",77274,76425,73411,79440,849,3863,-2166,8338616,926.7,915.32,877.57,953.07,11.38,49.13,-26.37,442.5,433.45,419.18,447.72,9.05,23.32,-5.22,1017.3,997.1,953.4,1040.8,20.2,63.9,-23.5,703.9,690.15,661.09,719.2,13.75,42.81,-15.3,1057.7,1037.03,991.45,1082.61,20.67,66.25,-24.91
"AUT","2009-2010",76661,77000,74010,79990,-339,2651,-3329,8357485,917.3,916.95,879.51,954.39,0.35,37.79,-37.09,428.7,428.56,414.53,442.59,0.14,14.17,-13.89,984.7,989.45,946.76,1032.14,-4.75,37.94,-47.44,682,684.33,655.94,712.71,-2.33,26.06,-30.71,1024.1,1029.26,984.73,1073.79,-5.16,39.37,-49.69
"AUT","2010-2011",76570,77575,74600,80550,-1005,1970,-3980,8383343,913.4,918.58,881.32,955.83,-5.18,32.08,-42.43,418.6,423.67,409.81,437.53,-5.07,8.79,-18.93,961.1,981.8,939.88,1023.72,-20.7,21.22,-62.62,665.7,678.51,650.64,706.38,-12.81,15.06,-40.68,1000.4,1021.49,977.77,1065.21,-21.09,22.63,-64.81
