"iso3c","date","deaths","population","cmr","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"USA",2017 Q2,16520,103595022,15.9,16227,15446,17008,293,1074,-488,15.65,15.01,16.3,0.25,0.89,-0.4
"USA",2017 Q3,16152,103495237,15.6,16210,15429,16991,-58,723,-839,15.69,15.05,16.33,-0.09,0.55,-0.73
"USA",2017 Q4,15811,103394908,15.3,15767,14986,16548,44,825,-737,15.25,14.61,15.9,0.05,0.69,-0.6
"USA",2018 Q1,15315,103288364,14.8,15058,14264,15852,257,1051,-537,14.58,13.92,15.23,0.22,0.88,-0.43
"USA",2018 Q2,15401,103174815,14.9,15754,15015,16493,-353,386,-1092,15.2,14.59,15.81,-0.3,0.31,-0.91
"USA",2018 Q3,15659,103060011,15.2,15737,14998,16476,-78,661,-817,15.23,14.63,15.84,-0.03,0.57,-0.64
"USA",2018 Q4,14910,102944580,14.5,15295,14555,16034,-385,355,-1124,14.8,14.19,15.41,-0.3,0.31,-0.91
"USA",2019 Q1,14328,103043434,13.9,14585,13791,15379,-257,537,-1051,14.12,13.47,14.78,-0.22,0.43,-0.88
"USA",2019 Q2,15341,103363128,14.8,15281,14500,16062,60,841,-721,14.75,14.1,15.39,0.05,0.7,-0.59
"USA",2019 Q3,15400,103686354,14.9,15264,14483,16045,136,917,-645,14.78,14.14,15.42,0.12,0.76,-0.52
"USA",2019 Q4,15163,104011347,14.6,14822,14041,15603,341,1122,-440,14.35,13.7,14.99,0.25,0.9,-0.39
"USA",2020 Q1,15096,104099707,14.5,14112,13242,14983,984,1854,113,13.67,12.95,14.38,0.83,1.55,0.12
"USA",2020 Q2,16371,103946216,15.7,14809,13915,15703,1562,2456,668,14.29,13.56,15.03,1.41,2.14,0.67
"USA",2020 Q3,17305,103791882,16.7,14792,13898,15686,2513,3407,1619,14.33,13.59,15.06,2.37,3.11,1.64
"USA",2020 Q4,16083,103636705,15.5,14349,13455,15243,1734,2628,840,13.89,13.16,14.63,1.61,2.34,0.87
"USA",2021 Q1,15853,103552666,15.3,13640,12635,14644,2213,3218,1209,13.22,12.39,14.04,2.08,2.91,1.26
"USA",2021 Q2,17497,103541262,16.9,14336,13280,15392,3161,4217,2105,13.84,12.97,14.71,3.06,3.93,2.19
"USA",2021 Q3,17937,103529732,17.3,14319,13263,15375,3618,4674,2562,13.87,13,14.74,3.43,4.3,2.56
"USA",2021 Q4,17145,103518139,16.6,13877,12821,14932,3268,4324,2213,13.44,12.57,14.31,3.16,4.03,2.29
"USA",2022 Q1,15953,103506672,15.4,13167,11989,14345,2786,3964,1608,12.76,11.79,13.73,2.64,3.61,1.67
"USA",2022 Q2,16701,103495268,16.1,13863,12616,15111,2838,4085,1590,13.38,12.36,14.41,2.72,3.74,1.69
"USA",2022 Q3,17150,103483739,16.6,13846,12599,15094,3304,4551,2056,13.42,12.39,14.44,3.18,4.21,2.16
"USA",2022 Q4,16769,103472146,16.2,13404,12156,14651,3365,4613,2118,12.98,11.96,14.01,3.22,4.24,2.19
"USA",2023 Q1,15609,103460680,15.1,12694,11319,14070,2915,4290,1539,12.31,11.18,13.44,2.79,3.92,1.66
"USA",2023 Q2,15399,103449276,14.9,13391,11933,14848,2008,3466,551,12.93,11.73,14.13,1.97,3.17,0.77
"USA-AZ",2017 Q2,390,2312881,16.9,381,324,439,9,66,-49,16.44,14.03,18.85,0.46,2.87,-1.95
"USA-AZ",2017 Q3,356,2315377,15.4,387,329,444,-31,27,-88,16.67,14.26,19.09,-1.27,1.14,-3.69
"USA-AZ",2017 Q4,374,2317886,16.2,379,321,437,-5,53,-63,16.37,13.96,18.79,-0.17,2.24,-2.59
"USA-AZ",2018 Q1,397,2320547,17.1,387,328,445,10,69,-48,16.65,14.2,19.11,0.45,2.9,-2.01
"USA-AZ",2018 Q2,381,2323381,16.4,385,330,440,-4,51,-59,16.63,14.35,18.92,-0.23,2.05,-2.52
"USA-AZ",2018 Q3,435,2326246,18.7,390,336,445,45,99,-10,16.87,14.58,19.15,1.83,4.12,-0.45
"USA-AZ",2018 Q4,385,2329127,16.5,383,328,437,2,57,-52,16.57,14.28,18.85,-0.07,2.22,-2.35
"USA-AZ",2019 Q1,380,2325305,16.4,390,332,449,-10,48,-69,16.85,14.39,19.3,-0.45,2.01,-2.9
"USA-AZ",2019 Q2,384,2314571,16.6,389,331,446,-5,53,-62,16.83,14.41,19.24,-0.23,2.19,-2.64
"USA-AZ",2019 Q3,380,2303718,16.5,394,336,452,-14,44,-72,17.06,14.65,19.47,-0.56,1.85,-2.97
"USA-AZ",2019 Q4,389,2292806,17,386,329,444,3,60,-55,16.76,14.35,19.17,0.24,2.65,-2.17
"USA-AZ",2020 Q1,418,2287003,18.3,394,330,458,24,88,-40,17.04,14.35,19.72,1.26,3.95,-1.42
"USA-AZ",2020 Q2,430,2286420,18.8,393,326,459,37,104,-29,17.02,14.26,19.78,1.78,4.54,-0.98
"USA-AZ",2020 Q3,478,2285833,20.9,398,332,464,80,146,14,17.25,14.49,20.01,3.65,6.41,0.89
"USA-AZ",2020 Q4,443,2285244,19.4,390,324,456,53,119,-13,16.95,14.19,19.71,2.45,5.21,-0.31
"USA-AZ",2021 Q1,411,2284206,18,398,324,472,13,87,-61,17.23,14.13,20.33,0.77,3.87,-2.33
"USA-AZ",2021 Q2,469,2282702,20.6,396,318,474,73,151,-5,17.21,13.95,20.47,3.39,6.65,0.13
"USA-AZ",2021 Q3,503,2281182,22.1,402,324,480,101,179,23,17.44,14.18,20.7,4.66,7.92,1.4
"USA-AZ",2021 Q4,477,2279653,20.9,394,316,472,83,161,5,17.14,13.88,20.4,3.76,7.02,0.5
"USA-AZ",2022 Q1,428,2278141,18.8,402,315,489,26,113,-61,17.42,13.79,21.06,1.38,5.01,-2.26
"USA-AZ",2022 Q2,428,2276638,18.8,400,308,492,28,120,-64,17.4,13.55,21.25,1.4,5.25,-2.45
"USA-AZ",2022 Q3,446,2275118,19.6,405,313,498,41,133,-52,17.64,13.78,21.49,1.96,5.82,-1.89
"USA-AZ",2022 Q4,430,2273589,18.9,398,306,490,32,124,-60,17.34,13.48,21.19,1.56,5.42,-2.29
"USA-AZ",2023 Q1,399,2272078,17.6,405,304,507,-6,95,-108,17.62,13.37,21.86,-0.02,4.23,-4.26
"USA-AZ",2023 Q2,402,2270575,17.7,404,296,512,-2,106,-110,17.59,13.1,22.09,0.11,4.6,-4.39
"USA-CA",2017 Q2,1574,12712649,12.4,1528,1380,1676,46,194,-102,12.04,10.9,13.17,0.36,1.5,-0.77
"USA-CA",2017 Q3,1506,12682715,11.9,1489,1341,1637,17,165,-131,11.77,10.63,12.91,0.13,1.27,-1.01
"USA-CA",2017 Q4,1431,12652617,11.3,1453,1305,1601,-22,126,-170,11.47,10.33,12.61,-0.17,0.97,-1.31
"USA-CA",2018 Q1,1514,12618669,12,1472,1322,1623,42,192,-109,11.68,10.53,12.84,0.32,1.47,-0.84
"USA-CA",2018 Q2,1477,12580568,11.7,1484,1344,1624,-7,133,-147,11.77,10.69,12.84,-0.07,1.01,-1.14
"USA-CA",2018 Q3,1369,12542046,10.9,1445,1305,1585,-76,64,-216,11.5,10.42,12.58,-0.6,0.48,-1.68
"USA-CA",2018 Q4,1366,12503313,10.9,1409,1269,1549,-43,97,-183,11.2,10.12,12.28,-0.3,0.78,-1.38
"USA-CA",2019 Q1,1387,12486828,11.1,1429,1278,1579,-42,109,-192,11.42,10.26,12.57,-0.32,0.84,-1.47
"USA-CA",2019 Q2,1401,12493118,11.2,1440,1292,1588,-39,109,-187,11.5,10.36,12.64,-0.3,0.84,-1.44
"USA-CA",2019 Q3,1459,12499476,11.7,1401,1253,1549,58,206,-90,11.23,10.09,12.37,0.47,1.61,-0.67
"USA-CA",2019 Q4,1429,12505870,11.4,1365,1217,1513,64,212,-84,10.93,9.79,12.07,0.47,1.61,-0.67
"USA-CA",2020 Q1,1431,12471351,11.5,1385,1220,1549,46,211,-118,11.15,9.88,12.41,0.35,1.62,-0.91
"USA-CA",2020 Q2,1530,12395012,12.3,1396,1227,1566,134,303,-36,11.23,9.93,12.53,1.07,2.37,-0.23
"USA-CA",2020 Q3,1735,12318253,14.1,1357,1187,1526,378,548,209,10.96,9.66,12.26,3.14,4.44,1.84
"USA-CA",2020 Q4,1674,12241075,13.7,1321,1151,1490,353,523,184,10.66,9.36,11.96,3.04,4.34,1.74
"USA-CA",2021 Q1,1629,12185158,13.4,1341,1150,1531,288,479,98,10.88,9.41,12.34,2.52,3.99,1.06
"USA-CA",2021 Q2,1632,12150771,13.4,1352,1152,1552,280,480,80,10.96,9.42,12.5,2.44,3.98,0.9
"USA-CA",2021 Q3,1656,12116003,13.7,1313,1113,1513,343,543,143,10.69,9.15,12.23,3.01,4.55,1.47
