"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Colorado","08","2007","2007",8847,62355,14188.1
,"Colorado","08","2008","2008",9294,64898,14320.9
,"Colorado","08","2009","2009",9172,67946,13499.0
,"Colorado","08","2010","2010",9604,69613,13796.3
,"Colorado","08","2011","2011",10090,73797,13672.6
,"Colorado","08","2012","2012",10444,76510,13650.5
,"Colorado","08","2013","2013",10702,79272,13500.4
,"Colorado","08","2014","2014",11045,81627,13531.1
,"Colorado","08","2015","2015",11561,83979,13766.5
,"Colorado","08","2016","2016",11673,85771,13609.5
,"Colorado","08","2017","2017",11928,86268,13826.7
"Total","Colorado","08",,,177540,1249168,14212.7
,"Connecticut","09","1999","1999",9237,62821,14703.7
,"Connecticut","09","2000","2000",9562,64273,14877.2
,"Connecticut","09","2001","2001",9692,66180,14644.9
,"Connecticut","09","2002","2002",10123,68378,14804.5
,"Connecticut","09","2003","2003",10147,70942,14303.2
,"Connecticut","09","2004","2004",10015,72366,13839.4
,"Connecticut","09","2005","2005",10652,74694,14260.9
,"Connecticut","09","2006","2006",10638,77047,13807.2
,"Connecticut","09","2007","2007",10586,79087,13385.3
,"Connecticut","09","2008","2008",10949,81313,13465.3
,"Connecticut","09","2009","2009",10900,83295,13086.0
,"Connecticut","09","2010","2010",11181,84898,13169.9
,"Connecticut","09","2011","2011",11825,87199,13560.9
,"Connecticut","09","2012","2012",11777,88168,13357.5
,"Connecticut","09","2013","2013",12021,89370,13450.8
,"Connecticut","09","2014","2014",12227,89785,13618.1
,"Connecticut","09","2015","2015",12380,90124,13736.6
,"Connecticut","09","2016","2016",12208,89928,13575.3
,"Connecticut","09","2017","2017",12643,92655,13645.2
"Total","Connecticut","09",,,208763,1512523,13802.3
,"Delaware","10","1999","1999",1545,10239,15089.4
,"Delaware","10","2000","2000",1731,10549,16409.1
,"Delaware","10","2001","2001",1700,10865,15646.6
,"Delaware","10","2002","2002",1685,11329,14873.3
,"Delaware","10","2003","2003",1781,11781,15117.6
,"Delaware","10","2004","2004",1813,12228,14826.6
,"Delaware","10","2005","2005",2005,12854,15598.3
,"Delaware","10","2006","2006",1913,13306,14377.0
,"Delaware","10","2007","2007",2001,13984,14309.2
,"Delaware","10","2008","2008",2121,14596,14531.4
,"Delaware","10","2009","2009",2149,15195,14142.8
,"Delaware","10","2010","2010",2248,15744,14278.5
,"Delaware","10","2011","2011",2236,16232,13775.3
,"Delaware","10","2012","2012",2439,16820,14500.6
,"Delaware","10","2013","2013",2373,17484,13572.4
,"Delaware","10","2014","2014",2488,17951,13860.0
,"Delaware","10","2015","2015",2593,18652,13902.0
,"Delaware","10","2016","2016",2625,19087,13752.8
,"Delaware","10","2017","2017",2694,19516,13804.1
"Total","Delaware","10",,,40140,278412,14417.5
,"District of Columbia","11","1999","1999",1295,8762,14779.7
,"District of Columbia","11","2000","2000",1325,8975,14763.2
,"District of Columbia","11","2001","2001",1266,8869,14274.4
,"District of Columbia","11","2002","2002",1257,8839,14221.1
,"District of Columbia","11","2003","2003",1265,8741,14472.0
,"District of Columbia","11","2004","2004",1247,8815,14146.3
,"District of Columbia","11","2005","2005",1273,9075,14027.5
,"District of Columbia","11","2006","2006",1228,9174,13385.7
,"District of Columbia","11","2007","2007",1316,9479,13883.3
,"District of Columbia","11","2008","2008",1254,9755,12854.9
,"District of Columbia","11","2009","2009",1218,10039,12132.7
,"District of Columbia","11","2010","2010",1209,10315,11720.8
,"District of Columbia","11","2011","2011",1235,10616,11633.4
,"District of Columbia","11","2012","2012",1301,11003,11824.0
,"District of Columbia","11","2013","2013",1350,11195,12059.0
,"District of Columbia","11","2014","2014",1297,11203,11577.3
,"District of Columbia","11","2015","2015",1293,11447,11295.5
,"District of Columbia","11","2016","2016",1274,11370,11204.9
,"District of Columbia","11","2017","2017",1247,12133,10277.8
"Total","District of Columbia","11",,,24150,189805,12723.6
,"Florida","12","1999","1999",46510,322911,14403.3
,"Florida","12","2000","2000",46944,331287,14170.2
,"Florida","12","2001","2001",48137,335243,14358.8
,"Florida","12","2002","2002",48486,339024,14301.6
,"Florida","12","2003","2003",49118,346101,14191.8
,"Florida","12","2004","2004",49064,353221,13890.5
,"Florida","12","2005","2005",50670,364446,13903.3
,"Florida","12","2006","2006",50641,376766,13441.0
,"Florida","12","2007","2007",50652,390625,12966.9
,"Florida","12","2008","2008",52910,405381,13051.9
,"Florida","12","2009","2009",52757,422087,12499.1
,"Florida","12","2010","2010",56025,434125,12905.3
,"Florida","12","2011","2011",55985,467391,11978.2
,"Florida","12","2012","2012",58635,482753,12146.0
,"Florida","12","2013","2013",60067,505719,11877.5
,"Florida","12","2014","2014",61447,522291,11764.9
,"Florida","12","2015","2015",63317,540276,11719.4
,"Florida","12","2016","2016",63876,555979,11488.9
,"Florida","12","2017","2017",66022,555552,11884.0
"Total","Florida","12",,,1031263,8051178,12808.8
,"Georgia","13","1999","1999",13749,86409,15911.5
,"Georgia","13","2000","2000",14239,87857,16207.0
,"Georgia","13","2001","2001",14502,88461,16393.7
,"Georgia","13","2002","2002",14615,89610,16309.6
,"Georgia","13","2003","2003",15085,90757,16621.3
,"Georgia","13","2004","2004",14758,92421,15968.2
,"Georgia","13","2005","2005",15398,96512,15954.5
,"Georgia","13","2006","2006",15938,101108,15763.3
,"Georgia","13","2007","2007",16590,104462,15881.4
,"Georgia","13","2008","2008",16662,108040,15422.1
,"Georgia","13","2009","2009",16797,111401,15078.0
,"Georgia","13","2010","2010",17573,113823,15438.9
,"Georgia","13","2011","2011",17627,119248,14781.8
,"Georgia","13","2012","2012",18318,123483,14834.4
,"Georgia","13","2013","2013",18525,128018,14470.6
,"Georgia","13","2014","2014",18954,131194,14447.3
,"Georgia","13","2015","2015",19499,135947,14343.1
,"Georgia","13","2016","2016",19443,138135,14075.4
,"Georgia","13","2017","2017",20113,142597,14104.8
"Total","Georgia","13",,,318385,2089483,15237.5
,"Hawaii","15","1999","1999",2141,16908,12662.6
,"Hawaii","15","2000","2000",2189,17564,12463.0
,"Hawaii","15","2001","2001",2320,18741,12379.3
,"Hawaii","15","2002","2002",2552,19592,13025.7
,"Hawaii","15","2003","2003",2558,20577,12431.4
,"Hawaii","15","2004","2004",2725,21589,12622.2
,"Hawaii","15","2005","2005",2749,22953,11976.6
,"Hawaii","15","2006","2006",2892,24142,11979.1
,"Hawaii","15","2007","2007",3123,25401,12294.8
,"Hawaii","15","2008","2008",3119,26892,11598.2
,"Hawaii","15","2009","2009",3329,28509,11677.0
,"Hawaii","15","2010","2010",3236,30238,10701.8
,"Hawaii","15","2011","2011",3492,32698,10679.6
,"Hawaii","15","2012","2012",3787,34623,10937.8
,"Hawaii","15","2013","2013",3877,35288,10986.7
,"Hawaii","15","2014","2014",3997,36891,10834.6
,"Hawaii","15","2015","2015",4169,38303,10884.3
,"Hawaii","15","2016","2016",4103,38952,10533.5
,"Hawaii","15","2017","2017",4270,40341,10584.8
"Total","Hawaii","15",,,60628,530202,11434.9
,"Idaho","16","1999","1999",2801,17544,15965.6
,"Idaho","16","2000","2000",2785,18057,15423.4
,"Idaho","16","2001","2001",2864,18567,15425.2
,"Idaho","16","2002","2002",3000,19019,15773.7
,"Idaho","16","2003","2003",3217,19766,16275.4
,"Idaho","16","2004","2004",3002,20212,14852.6
,"Idaho","16","2005","2005",3267,21072,15504.0
,"Idaho","16","2006","2006",3250,22101,14705.2
,"Idaho","16","2007","2007",3421,23012,14866.2
,"Idaho","16","2008","2008",3434,23684,14499.2
,"Idaho","16","2009","2009",3519,24571,14321.8
,"Idaho","16","2010","2010",3655,25242,14479.8
,"Idaho","16","2011","2011",4106,26184,15681.3
,"Idaho","16","2012","2012",4010,26610,15069.5
,"Idaho","16","2013","2013",3940,27138,14518.4
,"Idaho","16","2014","2014",4013,27349,14673.3
,"Idaho","16","2015","2015",4154,27934,14870.8
,"Idaho","16","2016","2016",4158,28435,14622.8
