"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",8844,315928,2799.4
,"Alabama","01","2000","2000",8992,316748,2838.8
,"Alabama","01","2001","2001",8863,318262,2784.8
,"Alabama","01","2002","2002",8582,318459,2694.9
,"Alabama","01","2003","2003",8542,320967,2661.3
,"Alabama","01","2004","2004",8431,323711,2604.5
,"Alabama","01","2005","2005",8474,329027,2575.5
,"Alabama","01","2006","2006",8410,336048,2502.6
,"Alabama","01","2007","2007",8483,342611,2476.0
,"Alabama","01","2008","2008",8595,354234,2426.4
,"Alabama","01","2009","2009",8775,364755,2405.7
,"Alabama","01","2010","2010",8903,370501,2403.0
,"Alabama","01","2011","2011",8987,380180,2363.9
,"Alabama","01","2012","2012",9373,402571,2328.3
,"Alabama","01","2013","2013",9839,418704,2349.9
,"Alabama","01","2014","2014",10044,435428,2306.7
,"Alabama","01","2015","2015",10347,450273,2297.9
,"Alabama","01","2016","2016",11012,464669,2369.9
,"Alabama","01","2017","2017",11208,477332,2348.1
"Total","Alabama","01",,,174704,7040408,2481.4
,"Alaska","02","1999","1999",541,21731,2489.5
,"Alaska","02","2000","2000",534,22507,2372.6
,"Alaska","02","2001","2001",543,23338,2326.7
,"Alaska","02","2002","2002",502,24115,2081.7
,"Alaska","02","2003","2003",541,25031,2161.3
,"Alaska","02","2004","2004",537,25949,2069.4
,"Alaska","02","2005","2005",528,26825,1968.3
,"Alaska","02","2006","2006",586,27990,2093.6
,"Alaska","02","2007","2007",588,29703,1979.6
,"Alaska","02","2008","2008",635,31798,1997.0
,"Alaska","02","2009","2009",655,33759,1940.2
,"Alaska","02","2010","2010",684,35350,1934.9
,"Alaska","02","2011","2011",716,37702,1899.1
,"Alaska","02","2012","2012",736,41000,1795.1
,"Alaska","02","2013","2013",723,43810,1650.3
,"Alaska","02","2014","2014",761,46606,1632.8
,"Alaska","02","2015","2015",836,49155,1700.7
,"Alaska","02","2016","2016",943,52387,1800.1
,"Alaska","02","2017","2017",919,55904,1643.9
"Total","Alaska","02",,,12508,654660,1910.6
,"Arizona","04","1999","1999",7831,362714,2159.0
,"Arizona","04","2000","2000",7799,363841,2143.5
,"Arizona","04","2001","2001",7509,368912,2035.4
,"Arizona","04","2002","2002",7595,375319,2023.6
,"Arizona","04","2003","2003",7483,383311,1952.2
,"Arizona","04","2004","2004",7516,394895,1903.3
,"Arizona","04","2005","2005",7851,408816,1920.4
,"Arizona","04","2006","2006",7716,423965,1820.0
,"Arizona","04","2007","2007",7518,439585,1710.2
,"Arizona","04","2008","2008",7794,461986,1687.1
,"Arizona","04","2009","2009",7975,483182,1650.5
,"Arizona","04","2010","2010",8088,497892,1624.4
,"Arizona","04","2011","2011",8342,521580,1599.4
,"Arizona","04","2012","2012",8923,558589,1597.4
,"Arizona","04","2013","2013",9239,590110,1565.6
,"Arizona","04","2014","2014",9902,622486,1590.7
,"Arizona","04","2015","2015",10511,653014,1609.6
,"Arizona","04","2016","2016",11175,682820,1636.6
,"Arizona","04","2017","2017",11439,701409,1630.9
"Total","Arizona","04",,,162206,9294426,1745.2
,"Arkansas","05","1999","1999",5395,197936,2725.6
,"Arkansas","05","2000","2000",5259,198334,2651.6
,"Arkansas","05","2001","2001",5226,198248,2636.1
,"Arkansas","05","2002","2002",5174,198262,2609.7
,"Arkansas","05","2003","2003",4961,200441,2475.0
,"Arkansas","05","2004","2004",4930,202755,2431.5
,"Arkansas","05","2005","2005",5083,206253,2464.4
,"Arkansas","05","2006","2006",4808,212125,2266.6
,"Arkansas","05","2007","2007",4937,217281,2272.2
,"Arkansas","05","2008","2008",5318,224652,2367.2
,"Arkansas","05","2009","2009",5301,230814,2296.7
,"Arkansas","05","2010","2010",5320,234602,2267.7
,"Arkansas","05","2011","2011",5508,240264,2292.5
,"Arkansas","05","2012","2012",5789,252770,2290.2
,"Arkansas","05","2013","2013",6063,261551,2318.1
,"Arkansas","05","2014","2014",6167,270213,2282.3
,"Arkansas","05","2015","2015",6548,277411,2360.4
,"Arkansas","05","2016","2016",6595,283580,2325.6
,"Arkansas","05","2017","2017",6881,290509,2368.6
"Total","Arkansas","05",,,105263,4398001,2393.4
,"California","06","1999","1999",41859,1888004,2217.1
,"California","06","2000","2000",40249,1887823,2132.0
,"California","06","2001","2001",39950,1897877,2105.0
,"California","06","2002","2002",39080,1907462,2048.8
,"California","06","2003","2003",38406,1929662,1990.3
,"California","06","2004","2004",36922,1950335,1893.1
,"California","06","2005","2005",36667,1972493,1858.9
,"California","06","2006","2006",35846,1992873,1798.7
,"California","06","2007","2007",35356,2046051,1728.0
,"California","06","2008","2008",36110,2132744,1693.1
,"California","06","2009","2009",35917,2216229,1620.6
,"California","06","2010","2010",36090,2275336,1586.1
,"California","06","2011","2011",36756,2377066,1546.3
,"California","06","2012","2012",38609,2539119,1520.6
,"California","06","2013","2013",40384,2688985,1501.8
,"California","06","2014","2014",41258,2834360,1455.6
,"California","06","2015","2015",44780,2977403,1504.0
,"California","06","2016","2016",45834,3089002,1483.8
,"California","06","2017","2017",48029,3195800,1502.9
"Total","California","06",,,748102,43798624,1708.0
,"Colorado","08","1999","1999",4819,224419,2147.3
,"Colorado","08","2000","2000",4746,226310,2097.1
,"Colorado","08","2001","2001",4710,229542,2051.9
,"Colorado","08","2002","2002",4724,231951,2036.6
,"Colorado","08","2003","2003",4686,236052,1985.2
,"Colorado","08","2004","2004",4363,241146,1809.3
,"Colorado","08","2005","2005",4516,247777,1822.6
,"Colorado","08","2006","2006",4447,257920,1724.2
,"Colorado","08","2007","2007",4497,268696,1673.6
,"Colorado","08","2008","2008",4831,283469,1704.2
,"Colorado","08","2009","2009",4910,298945,1642.4
,"Colorado","08","2010","2010",4790,309960,1545.4
,"Colorado","08","2011","2011",4908,327889,1496.8
,"Colorado","08","2012","2012",5328,358320,1486.9
,"Colorado","08","2013","2013",5666,385152,1471.1
,"Colorado","08","2014","2014",6183,409949,1508.2
,"Colorado","08","2015","2015",6356,433698,1465.5
,"Colorado","08","2016","2016",6571,457780,1435.4
,"Colorado","08","2017","2017",6968,479220,1454.0
"Total","Colorado","08",,,98019,5908195,1659.0
,"Connecticut","09","1999","1999",4990,233337,2138.5
